#nx=3 [0.00000000000E+00,1.00000000000E-01] [1.00000000000E-01,2.00000000000E-01] [2.00000000000E-01,3.00000000000E-01] [3.00000000000E-01,4.00000000000E-01] [4.00000000000E-01,5.00000000000E-01] [5.00000000000E-01,6.00000000000E-01] [6.00000000000E-01,7.00000000000E-01] [7.00000000000E-01,8.00000000000E-01] [8.00000000000E-01,9.00000000000E-01] [9.00000000000E-01,1.00000000000E+00] [1.00000000000E+00,1.20000000000E+00] [1.20000000000E+00,1.30000000000E+00] [1.30000000000E+00,1.40000000000E+00] [1.40000000000E+00,1.50000000000E+00] [1.50000000000E+00,1.60000000000E+00] [1.60000000000E+00,1.70000000000E+00] [1.70000000000E+00,1.80000000000E+00] [1.80000000000E+00,1.90000000000E+00] [1.90000000000E+00,2.00000000000E+00] [2.00000000000E+00,2.10000000000E+00] [2.10000000000E+00,2.20000000000E+00] [2.20000000000E+00,2.30000000000E+00] [2.30000000000E+00,2.40000000000E+00] [2.40000000000E+00,2.50000000000E+00] [2.50000000000E+00,2.60000000000E+00] [2.60000000000E+00,2.70000000000E+00] [2.70000000000E+00,2.80000000000E+00] [2.80000000000E+00,2.90000000000E+00] [2.90000000000E+00,3.00000000000E+00] [3.00000000000E+00,3.10000000000E+00] [3.10000000000E+00,3.20000000000E+00] [3.20000000000E+00,3.30000000000E+00] [3.30000000000E+00,3.40000000000E+00] [3.40000000000E+00,3.50000000000E+00] [3.50000000000E+00,3.60000000000E+00] [3.60000000000E+00,3.70000000000E+00] [3.70000000000E+00,3.80000000000E+00] [3.80000000000E+00,3.90000000000E+00] [3.90000000000E+00,4.00000000000E+00] [4.00000000000E+00,4.20000000000E+00] [4.20000000000E+00,4.40000000000E+00] 
../LO/LOjob/068/00/WpJ.WpJ_LO.LO.abs_yj1.s6800.tab.gz 8.32626675261E-03 8.15926808277E-03 8.30051920707E-03 8.23580902706E-03 8.27157150320E-03 8.30457601364E-03 8.36234638347E-03 8.40929339168E-03 8.29607485763E-03 8.64450885916E-03 8.53188197687E-03 8.29303787947E-03 8.27142952429E-03 8.46091835776E-03 8.22405252814E-03 8.24448918298E-03 8.26599329307E-03 8.47274120301E-03 8.27053612885E-03 8.40773725017E-03 8.57653769990E-03 8.01326222103E-03 8.16682675247E-03 8.34880176285E-03 8.65066776844E-03 8.65051865153E-03 8.47471175645E-03 8.12766962602E-03 7.21360498618E-03 8.42949148905E-03 8.07095526622E-03 7.99270269516E-03 8.33053916233E-03 8.42727713651E-03 8.14378721289E-03 8.31821911784E-03 8.42957711351E-03 8.25551380367E-03 8.38446583035E-03 8.37365067335E-03 8.42550648644E-03
../LO/LOjob/018/00/WpJ.WpJ_LO.LO.abs_yj1.s1800.tab.gz 8.42479928110E-03 8.26971718677E-03 8.22417797576E-03 8.19367959352E-03 8.26055676726E-03 8.41073898749E-03 8.19735002436E-03 8.45864281912E-03 8.41602814752E-03 8.47369166509E-03 8.31513901862E-03 8.31645157172E-03 8.29747418426E-03 8.45867978799E-03 8.31278383481E-03 8.42178924908E-03 8.25339361555E-03 8.53435797241E-03 8.46721973273E-03 8.54405782190E-03 8.55384882905E-03 8.20370201325E-03 8.26117733411E-03 8.15061670386E-03 8.66513659570E-03 8.60125411090E-03 8.67747885453E-03 8.74760113878E-03 8.72367227183E-03 8.33357119334E-03 8.50040950544E-03 8.54128971840E-03 7.78772624700E-03 8.58083382507E-03 8.63727265647E-03 8.33446848951E-03 8.41734588323E-03 8.34081675852E-03 8.44484796575E-03 8.36728142775E-03 8.35372141255E-03
../LO/LOjob/014/00/WpJ.WpJ_LO.LO.abs_yj1.s1400.tab.gz 8.31464013743E-03 8.53277032188E-03 8.16216702738E-03 8.36337484313E-03 8.24318266818E-03 8.43292523700E-03 8.25825161115E-03 8.24746369917E-03 8.34957456336E-03 8.60595021186E-03 8.25445339070E-03 8.47309697976E-03 8.25441437487E-03 8.19348360783E-03 8.38738110809E-03 8.21550463741E-03 8.45172287302E-03 8.26103118130E-03 8.04194297713E-03 8.36829695857E-03 8.53854747731E-03 7.95657510188E-03 8.76538999797E-03 8.64932827345E-03 8.45895017302E-03 8.07226088481E-03 8.19127592300E-03 8.71381618221E-03 8.22097326734E-03 8.48507735639E-03 7.97089185065E-03 7.86930029115E-03 8.46992942215E-03 8.58063834013E-03 8.54089181602E-03 8.34892156200E-03 8.45115695425E-03 8.38045797220E-03 8.20262507934E-03 8.38141574704E-03 8.33761533989E-03
../LO/LOjob/056/00/WpJ.WpJ_LO.LO.abs_yj1.s5600.tab.gz 8.43915646225E-03 8.24988326180E-03 8.26342336958E-03 8.41371402723E-03 8.25699504362E-03 8.28629186255E-03 8.33529968598E-03 8.45316476372E-03 8.33088587442E-03 8.56063622658E-03 8.48422569129E-03 8.29923717082E-03 8.41424816486E-03 8.45811074021E-03 8.25283788134E-03 8.48648013112E-03 8.10991795617E-03 8.58187353141E-03 8.31090541268E-03 8.27803576239E-03 8.28392935189E-03 8.62968697414E-03 8.49536319568E-03 8.32330835430E-03 8.71971102134E-03 8.49030939973E-03 8.72154517465E-03 8.36135612708E-03 8.34217433242E-03 8.23437446129E-03 8.62812718308E-03 8.63716268958E-03 8.43166154764E-03 8.59466802798E-03 8.51749086115E-03 8.49229687487E-03 8.39998895933E-03 8.28382040267E-03 8.30120147138E-03 8.47848088237E-03 8.37855210163E-03
../LO/LOjob/098/00/WpJ.WpJ_LO.LO.abs_yj1.s9800.tab.gz 8.32275371774E-03 8.51269177237E-03 8.37033536500E-03 8.36104846621E-03 8.49515799254E-03 8.34050875139E-03 8.23805767896E-03 8.33764926641E-03 8.32224435552E-03 8.30683748547E-03 8.41321764796E-03 8.35348313068E-03 8.43320008429E-03 8.22378908374E-03 8.28487524736E-03 8.09580926477E-03 8.33544733001E-03 8.06147867005E-03 8.31572598269E-03 8.06065353218E-03 8.64708306148E-03 8.22128827202E-03 8.51249205952E-03 8.58387875310E-03 8.74255685433E-03 8.20007760481E-03 7.81525628838E-03 8.29953998351E-03 7.99060630938E-03 8.48650821485E-03 8.52616225465E-03 8.58949387613E-03 8.50819195353E-03 8.56235258352E-03 8.70810055997E-03 8.49319537834E-03 8.44880510940E-03 8.39234354805E-03 8.41691183083E-03 8.42614152919E-03 8.54969014343E-03
../LO/LOjob/006/00/WpJ.WpJ_LO.LO.abs_yj1.s600.tab.gz 8.27583338929E-03 8.54419848945E-03 8.22667498515E-03 8.33692339888E-03 8.33891168060E-03 8.24715006461E-03 8.30298281097E-03 8.42443097546E-03 8.22039812926E-03 8.44502635151E-03 8.37796207565E-03 8.48721106373E-03 8.23714466328E-03 8.44887836768E-03 8.26974609480E-03 8.39567936786E-03 8.07239414700E-03 8.16547436131E-03 8.50496366864E-03 8.20823398940E-03 8.55788572793E-03 8.33647909738E-03 8.55141295437E-03 8.44995242788E-03 8.10375271843E-03 8.40933932865E-03 7.51414216604E-03 8.31802896852E-03 8.21741695383E-03 8.57279306605E-03 7.68264920109E-03 8.55486255477E-03 8.38844234376E-03 8.58580247835E-03 8.63652881991E-03 8.38505928528E-03 8.34189900185E-03 8.30753925061E-03 8.38188508107E-03 8.56416670651E-03 8.45094040714E-03
../LO/LOjob/094/00/WpJ.WpJ_LO.LO.abs_yj1.s9400.tab.gz 8.15948933668E-03 8.50495977546E-03 8.42488572786E-03 8.15655159861E-03 8.37756582926E-03 8.44939881435E-03 8.38979160545E-03 8.35478550951E-03 8.21476800617E-03 8.57154449106E-03 8.36901186597E-03 8.30551228842E-03 8.27172351506E-03 8.29539353208E-03 8.35277370061E-03 8.49583803344E-03 8.34251133767E-03 8.26403112252E-03 8.36032454907E-03 8.33389553880E-03 8.35840630460E-03 8.39120232741E-03 8.73892238036E-03 8.04575923799E-03 8.43084139932E-03 8.41065894366E-03 8.48990155904E-03 8.74801100313E-03 8.69011742054E-03 7.86555258536E-03 8.53011018371E-03 8.26499124740E-03 8.48026786128E-03 8.53831248663E-03 7.34135193814E-03 8.40992010247E-03 8.50181917373E-03 8.46684134233E-03 8.37797703518E-03 8.30041298019E-03 8.30242993420E-03
../LO/LOjob/002/00/WpJ.WpJ_LO.LO.abs_yj1.s200.tab.gz 8.20099511148E-03 8.35989333844E-03 8.34509135986E-03 8.45631121173E-03 8.27276137692E-03 8.49548064578E-03 8.40545631664E-03 8.35809931236E-03 8.28374196480E-03 8.29605372446E-03 8.33174091002E-03 8.22386944244E-03 8.30836981607E-03 8.16599938666E-03 8.50054388307E-03 8.38511909937E-03 8.29480508084E-03 8.07782421425E-03 8.44974514701E-03 8.05068712790E-03 8.76393809037E-03 8.29263003548E-03 8.62222613148E-03 8.39850757411E-03 8.61817868726E-03 8.52969661770E-03 8.76351835649E-03 8.57402821957E-03 8.55852834844E-03 8.17442537143E-03 8.60339505231E-03 8.01668598399E-03 8.47126594234E-03 8.55539977529E-03 8.63002233073E-03 8.33076121113E-03 7.95443724572E-03 8.43651912960E-03 8.02861080211E-03 8.33074444626E-03 8.42874090584E-03
../LO/LOjob/048/00/WpJ.WpJ_LO.LO.abs_yj1.s4800.tab.gz 8.23517624788E-03 8.44997999214E-03 8.24898207155E-03 8.25871998145E-03 8.32134802453E-03 8.27820866422E-03 8.32530492925E-03 8.35276183412E-03 8.31427197561E-03 8.41364191921E-03 8.46903245477E-03 8.21827848796E-03 8.28326492094E-03 8.30710047888E-03 8.40598988088E-03 8.23913373249E-03 8.34551906133E-03 8.23080957400E-03 8.52719965591E-03 8.37273609974E-03 8.45494545456E-03 8.15198193310E-03 8.41718376192E-03 8.10844311521E-03 8.72635843744E-03 8.61326009504E-03 8.69759096566E-03 8.49037340419E-03 8.63857834588E-03 8.47762910196E-03 8.28192840374E-03 7.07897845744E-03 8.29433701794E-03 8.50331236435E-03 8.54959830107E-03 8.33579975709E-03 8.35947516056E-03 8.51550892654E-03 8.40256623853E-03 8.30525793588E-03 8.47579111781E-03
../LO/LOjob/119/00/WpJ.WpJ_LO.LO.abs_yj1.s11900.tab.gz 8.25990345279E-03 8.41385580663E-03 8.50244472209E-03 8.32153745712E-03 8.38383787130E-03 8.13180410988E-03 8.27711498875E-03 8.29537224579E-03 8.43785515962E-03 8.47235881006E-03 8.31102281019E-03 8.38430663187E-03 8.43413918999E-03 8.37201563610E-03 8.26911471939E-03 8.28437499558E-03 8.32556595228E-03 8.20739218551E-03 8.05420932786E-03 8.37756838769E-03 8.16423916350E-03 8.34890512625E-03 8.48116795718E-03 8.64405153053E-03 7.62141377908E-03 8.70500135797E-03 8.20813315437E-03 8.62328559809E-03 8.69071544512E-03 8.48311728910E-03 8.51999644461E-03 8.57844253503E-03 8.29016405045E-03 8.51392951301E-03 7.67686414064E-03 7.51444679385E-03 8.41001472615E-03 8.31882659213E-03 8.29081467115E-03 8.20877938119E-03 8.33735971094E-03
