#nx=3 [5.00000000000E+01,1.00000000000E+02] [1.00000000000E+02,1.50000000000E+02] [1.50000000000E+02,2.00000000000E+02] [2.00000000000E+02,2.50000000000E+02] [2.50000000000E+02,3.00000000000E+02] [3.00000000000E+02,3.50000000000E+02] [3.50000000000E+02,4.00000000000E+02] [4.00000000000E+02,4.50000000000E+02] [4.50000000000E+02,5.00000000000E+02] [5.00000000000E+02,5.50000000000E+02] [5.50000000000E+02,6.00000000000E+02] [6.00000000000E+02,6.50000000000E+02] [6.50000000000E+02,7.00000000000E+02] [7.00000000000E+02,8.00000000000E+02] [8.00000000000E+02,9.00000000000E+02] [9.00000000000E+02,1.00000000000E+03] [1.00000000000E+03,1.10000000000E+03] [1.10000000000E+03,1.20000000000E+03] [1.20000000000E+03,1.40000000000E+03] [1.40000000000E+03,1.60000000000E+03] [1.60000000000E+03,2.50000000000E+03] 
../LO/LOjob/068/00/WpJ.WpJ_LO.LO.ht_full.s6800.tab.gz 8.20273741761E-03 8.33361720923E-03 8.32593546608E-03 8.32926370391E-03 8.33523460223E-03 8.33181473933E-03 8.36001580504E-03 8.33078882501E-03 8.33295942356E-03 8.31517346340E-03 8.33015960445E-03 8.32808563604E-03 8.32170753000E-03 8.32471673924E-03 8.32720805605E-03 8.40836311381E-03 8.34414223628E-03 8.33737935778E-03 8.45289923042E-03 8.28788307795E-03 8.40837327031E-03
../LO/LOjob/018/00/WpJ.WpJ_LO.LO.ht_full.s1800.tab.gz 8.74034050658E-03 8.33632367310E-03 8.32296628289E-03 8.32051751513E-03 8.32494808003E-03 8.33807580980E-03 8.33306686691E-03 8.33657481817E-03 8.34226680938E-03 8.33753795693E-03 8.34293181894E-03 8.33685143111E-03 8.32870455351E-03 8.33907068594E-03 8.32975369788E-03 8.39954049105E-03 8.34870449188E-03 8.37004888265E-03 8.43808630102E-03 8.31342933855E-03 8.32293321560E-03
../LO/LOjob/014/00/WpJ.WpJ_LO.LO.ht_full.s1400.tab.gz 8.26234280514E-03 8.31370256374E-03 8.33850145685E-03 8.32746808696E-03 8.34183423056E-03 8.33872419937E-03 8.32880203324E-03 8.34203455299E-03 8.33365381414E-03 8.32999863396E-03 8.33112403306E-03 8.32788230424E-03 8.32193911002E-03 8.34735806932E-03 8.32482818367E-03 8.39688277857E-03 8.32932422262E-03 8.35335619673E-03 8.38072194726E-03 8.43540608759E-03 8.49974323896E-03
../LO/LOjob/056/00/WpJ.WpJ_LO.LO.ht_full.s5600.tab.gz 8.81930465644E-03 8.34313327921E-03 8.33658312784E-03 8.34204964273E-03 8.32871461765E-03 8.34863578974E-03 8.31910975338E-03 8.31694780028E-03 8.32952310942E-03 8.32375581581E-03 8.32770795956E-03 8.34425779875E-03 8.31305138686E-03 8.31455368983E-03 8.33316748135E-03 8.38453869721E-03 8.32544913535E-03 8.36464705630E-03 8.37775722084E-03 8.37404574357E-03 8.64176506236E-03
../LO/LOjob/098/00/WpJ.WpJ_LO.LO.ht_full.s9800.tab.gz 8.47936722971E-03 8.32853307055E-03 8.33486892288E-03 8.33742550001E-03 8.33298142816E-03 8.33320899122E-03 8.34278619819E-03 8.31854203160E-03 8.34034064732E-03 8.33865176646E-03 8.33141491160E-03 8.31649268050E-03 8.34678694508E-03 8.33250445501E-03 8.33656324458E-03 8.38225023598E-03 8.32494277091E-03 8.31159501499E-03 8.44276274760E-03 8.33840247717E-03 8.27894782426E-03
../LO/LOjob/006/00/WpJ.WpJ_LO.LO.ht_full.s600.tab.gz 8.24241302807E-03 8.31515481563E-03 8.33670517586E-03 8.32756190866E-03 8.32070344706E-03 8.33386608596E-03 8.33470728640E-03 8.32736567899E-03 8.33258944666E-03 8.30865584885E-03 8.34058056855E-03 8.33680151256E-03 8.31741615370E-03 8.34190772779E-03 8.32650844876E-03 8.41280155875E-03 8.35282327769E-03 8.29703555843E-03 8.41474442745E-03 8.34647588335E-03 8.36847068825E-03
../LO/LOjob/094/00/WpJ.WpJ_LO.LO.ht_full.s9400.tab.gz 8.36829775894E-03 8.33947252165E-03 8.32994381096E-03 8.32314366013E-03 8.33038402644E-03 8.33329107866E-03 8.32280157084E-03 8.32966816388E-03 8.33581757990E-03 8.33747554365E-03 8.35239189270E-03 8.32613125272E-03 8.35454839950E-03 8.33395550481E-03 8.34114460633E-03 8.41034484377E-03 8.33723894301E-03 8.28868853014E-03 8.38591369117E-03 8.43071753215E-03 8.45342096288E-03
../LO/LOjob/002/00/WpJ.WpJ_LO.LO.ht_full.s200.tab.gz 8.27524004850E-03 8.35816497967E-03 8.33267920497E-03 8.33748099666E-03 8.33395738799E-03 8.33565938743E-03 8.31142686033E-03 8.32517562352E-03 8.32584845682E-03 8.33072024954E-03 8.34300000490E-03 8.33539938876E-03 8.33981092449E-03 8.33187944666E-03 8.33875189087E-03 8.40894301575E-03 8.33336258496E-03 8.30661749708E-03 8.36984649485E-03 8.33680615614E-03 8.36982490756E-03
../LO/LOjob/048/00/WpJ.WpJ_LO.LO.ht_full.s4800.tab.gz 8.30107897926E-03 8.33728517219E-03 8.33276769085E-03 8.34387521388E-03 8.33445065495E-03 8.34061196230E-03 8.33636873564E-03 8.33408890540E-03 8.34728536386E-03 8.34292819034E-03 8.33128923017E-03 8.33189202399E-03 8.33539011844E-03 8.33223034120E-03 8.32886692500E-03 8.38615590903E-03 8.34082730106E-03 8.33751648239E-03 8.41689350752E-03 8.38762097069E-03 8.56670365151E-03
../LO/LOjob/119/00/WpJ.WpJ_LO.LO.ht_full.s11900.tab.gz 8.35144640243E-03 8.31150287337E-03 8.32928527307E-03 8.33832062291E-03 8.33522233868E-03 8.33229054820E-03 8.32797756172E-03 8.33395694948E-03 8.35088462424E-03 8.32383410069E-03 8.33678803194E-03 8.33964157657E-03 8.34266568692E-03 8.33662752840E-03 8.32733970140E-03 8.41804444808E-03 8.33396550596E-03 8.36446000393E-03 8.44166253116E-03 8.23313151828E-03 8.33389366652E-03
../LO/LOjob/044/00/WpJ.WpJ_LO.LO.ht_full.s4400.tab.gz 8.08780646805E-03 8.31187317291E-03 8.33176989442E-03 8.32869088293E-03 8.32378580220E-03 8.32198808382E-03 8.34168652062E-03 8.32882621044E-03 8.34895096243E-03 8.34302007748E-03 8.30942292032E-03 8.34837872705E-03 8.36086022321E-03 8.33681097979E-03 8.33939159616E-03 8.39322023407E-03 8.34350828424E-03 8.30569517720E-03 8.40675255161E-03 8.35989978926E-03 8.37167060538E-03
../LO/LOjob/086/00/WpJ.WpJ_LO.LO.ht_full.s8600.tab.gz 8.21692008749E-03 8.34534978664E-03 8.32675313171E-03 8.33645049584E-03 8.32769531544E-03 8.32898768567E-03 8.33364753666E-03 8.34416222537E-03 8.33374058961E-03 8.33304510698E-03 8.32638766414E-03 8.33746893773E-03 8.34924723154E-03 8.32812404604E-03 8.32615162935E-03 8.42098941426E-03 8.32620521828E-03 8.33350589621E-03 8.37564005220E-03 8.15870440627E-03 8.29926777167E-03
../LO/LOjob/082/00/WpJ.WpJ_LO.LO.ht_full.s8200.tab.gz 8.26500725145E-03 8.33196867167E-03 8.33900918661E-03 8.33174174455E-03 8.32884111898E-03 8.34347862170E-03 8.32758886684E-03 8.34043588164E-03 8.32943588989E-03 8.34410408690E-03 8.33245258254E-03 8.34544162699E-03 8.33437878831E-03 8.34678600363E-03 8.33388829957E-03 8.41020358299E-03 8.33111099476E-03 8.34784990380E-03 8.41664534187E-03 8.24414688051E-03 8.39519115984E-03
../LO/LOjob/107/00/WpJ.WpJ_LO.LO.ht_full.s10700.tab.gz 8.07014484588E-03 8.33635795573E-03 8.33639482730E-03 8.33688257171E-03 8.34599027811E-03 8.35305059434E-03 8.33180565153E-03 8.34159339998E-03 8.33601972250E-03 8.33000764789E-03 8.32876910301E-03 8.33553334884E-03 8.34665504841E-03 8.33841494161E-03 8.33688831689E-03 8.39581071829E-03 8.33048064579E-03 8.34859309528E-03 8.38548106932E-03 8.30805168565E-03 0.00000000000E+00
../LO/LOjob/032/00/WpJ.WpJ_LO.LO.ht_full.s3200.tab.gz 8.50173268594E-03 8.32817771288E-03 8.33647875825E-03 8.32684309897E-03 8.33513551263E-03 8.33661326143E-03 8.32517614558E-03 8.32417620132E-03 8.32357672972E-03 8.31569296727E-03 8.34473444947E-03 8.32087693043E-03 8.34957591427E-03 8.33870450406E-03 8.33391939356E-03 8.39133400460E-03 8.32848923014E-03 8.31799336178E-03 8.42817419317E-03 8.39725530545E-03 8.55157366965E-03
../LO/LOjob/103/00/WpJ.WpJ_LO.LO.ht_full.s10300.tab.gz 8.47608114363E-03 8.33420143239E-03 8.32554971276E-03 8.33259150484E-03 8.33637411903E-03 8.33067877241E-03 8.34518186686E-03 8.32296057180E-03 8.33271016644E-03 8.33476806295E-03 8.34024396345E-03 8.32372194792E-03 8.32412646722E-03 8.33092642383E-03 8.32813905718E-03 8.39974722632E-03 8.35051152387E-03 8.34835385038E-03 8.37945808338E-03 8.21606698303E-03 8.35648837815E-03
../LO/LOjob/074/00/WpJ.WpJ_LO.LO.ht_full.s7400.tab.gz 8.44295415208E-03 8.31584773466E-03 8.34557070064E-03 8.34033929817E-03 8.33653382708E-03 8.32815547648E-03 8.34055867952E-03 8.34020591229E-03 8.33829937900E-03 8.33096658917E-03 8.33138701880E-03 8.33163673521E-03 8.34655636537E-03 8.33264526566E-03 8.33438712358E-03 8.41635766384E-03 8.33918296087E-03 8.34393989496E-03 8.40130469188E-03 8.30606448503E-03 8.42668573381E-03
../LO/LOjob/070/00/WpJ.WpJ_LO.LO.ht_full.s7000.tab.gz 8.63920199481E-03 8.32842103869E-03 8.33845667813E-03 8.34306166063E-03 8.33392093446E-03 8.32128941613E-03 8.34004193997E-03 8.31349869865E-03 8.34751316280E-03 8.34487824011E-03 8.33656084981E-03 8.34716057462E-03 8.33255400915E-03 8.31453337786E-03 8.33324637852E-03 8.39989730051E-03 8.32213984644E-03 8.32338365196E-03 8.42775721814E-03 8.29829187180E-03 8.38735883433E-03
../LO/LOjob/020/00/WpJ.WpJ_LO.LO.ht_full.s2000.tab.gz 8.52664167248E-03 8.34412832745E-03 8.32773793828E-03 8.33397507725E-03 8.32813246677E-03 8.33283977991E-03 8.32430326716E-03 8.34619041715E-03 8.31437131360E-03 8.32840628693E-03 8.33708803396E-03 8.32731824492E-03 8.33432911237E-03 8.33679348779E-03 8.34969564992E-03 8.41021624238E-03 8.32393063329E-03 8.31313284778E-03 8.35619632042E-03 8.47069413990E-03 8.32264374640E-03
../LO/LOjob/062/00/WpJ.WpJ_LO.LO.ht_full.s6200.tab.gz 8.34307627940E-03 8.36754159631E-03 8.33731845194E-03 8.33650069268E-03 8.33589423722E-03 8.33792701846E-03 8.33237665015E-03 8.33643924103E-03 8.31438350412E-03 8.33855504090E-03 8.32838897217E-03 8.32357620464E-03 8.30485994775E-03 8.33635303335E-03 8.34731339046E-03 8.40528639794E-03 8.31380681966E-03 8.29048199224E-03 8.38844459412E-03 8.36701922795E-03 8.30140058500E-03
../LO/LOjob/019/00/WpJ.WpJ_LO.LO.ht_full.s1900.tab.gz 8.51904829495E-03 8.32629488930E-03 8.33313167936E-03 8.33584305447E-03 8.33636581979E-03 8.33814559762E-03 8.35052488106E-03 8.33641568754E-03 8.33762133434E-03 8.36006789407E-03 8.31453147811E-03 8.31642131135E-03 8.33796139557E-03 8.34233125139E-03 8.33331140617E-03 8.39089503335E-03 8.33214107333E-03 8.32516706002E-03 8.46383706930E-03 8.33997262724E-03 8.39664362032E-03
