#nx=3 [3.00000000000E+01,4.00000000000E+01] [4.00000000000E+01,6.00000000000E+01] [6.00000000000E+01,8.00000000000E+01] [8.00000000000E+01,1.00000000000E+02] [1.00000000000E+02,1.20000000000E+02] [1.20000000000E+02,1.40000000000E+02] [1.40000000000E+02,1.60000000000E+02] [1.60000000000E+02,1.80000000000E+02] [1.80000000000E+02,2.00000000000E+02] [2.00000000000E+02,2.20000000000E+02] [2.20000000000E+02,2.40000000000E+02] [2.40000000000E+02,2.60000000000E+02] [2.60000000000E+02,2.80000000000E+02] [2.80000000000E+02,3.00000000000E+02] [3.00000000000E+02,3.50000000000E+02] [3.50000000000E+02,4.00000000000E+02] [4.00000000000E+02,4.50000000000E+02] [4.50000000000E+02,5.00000000000E+02] [5.00000000000E+02,5.50000000000E+02] [5.50000000000E+02,6.00000000000E+02] [6.00000000000E+02,7.00000000000E+02] [7.00000000000E+02,1.00000000000E+03] 
../LO/LOjob/068/00/WpJ.WpJ_LO.LO.ptj1.s6800.tab.gz 8.32028591290E-03 8.32436522766E-03 8.32235627516E-03 8.33278657607E-03 8.40940915925E-03 8.33437688598E-03 8.41345803440E-03 8.34203161946E-03 8.36011768075E-03 8.31899370892E-03 8.33624476017E-03 8.38872330318E-03 8.32632929889E-03 8.32524249710E-03 8.32473418785E-03 8.32227401187E-03 8.32981849583E-03 8.40493708707E-03 8.33131636203E-03 8.32626967055E-03 8.33260810843E-03 8.33776845089E-03
../LO/LOjob/018/00/WpJ.WpJ_LO.LO.ptj1.s1800.tab.gz 8.38731627863E-03 8.33810614246E-03 8.32386163593E-03 8.31417953196E-03 8.39776774783E-03 8.32912572888E-03 8.41255147552E-03 8.32321153171E-03 8.32482133187E-03 8.34630035718E-03 8.34548017973E-03 8.40393760374E-03 8.34171584745E-03 8.32812902794E-03 8.33936416443E-03 8.34357127124E-03 8.33138266214E-03 8.39441826992E-03 8.33317090094E-03 8.34871943078E-03 8.33795079407E-03 8.33451846689E-03
../LO/LOjob/014/00/WpJ.WpJ_LO.LO.ptj1.s1400.tab.gz 8.30122397293E-03 8.33013019685E-03 8.34562787877E-03 8.33214620832E-03 8.39764510734E-03 8.35276082967E-03 8.40878485142E-03 8.33744483616E-03 8.32853717341E-03 8.34502577825E-03 8.33636614119E-03 8.39414592793E-03 8.32342644987E-03 8.32295198476E-03 8.33256240243E-03 8.34503714498E-03 8.32697706142E-03 8.40086417181E-03 8.33003276385E-03 8.33051488202E-03 8.33422815705E-03 8.34747941681E-03
../LO/LOjob/056/00/WpJ.WpJ_LO.LO.ptj1.s5600.tab.gz 8.40322293443E-03 8.34295868086E-03 8.34297991715E-03 8.33405677888E-03 8.41430981478E-03 8.33229976111E-03 8.41256680248E-03 8.32691100200E-03 8.33626191551E-03 8.31285387230E-03 8.33251807185E-03 8.38603269892E-03 8.32107660461E-03 8.33153113126E-03 8.32903212643E-03 8.31497536227E-03 8.33042113679E-03 8.39651703903E-03 8.32731116904E-03 8.33962709786E-03 8.33345663402E-03 8.33854824295E-03
../LO/LOjob/098/00/WpJ.WpJ_LO.LO.ptj1.s9800.tab.gz 8.34721334800E-03 8.33410044822E-03 8.32979119799E-03 8.34126835734E-03 8.39809639130E-03 8.33807733601E-03 8.39539978780E-03 8.32982062872E-03 8.35872898064E-03 8.31783785685E-03 8.32607923407E-03 8.41283487569E-03 8.32843389392E-03 8.31510500576E-03 8.33761691866E-03 8.33939104443E-03 8.33404831761E-03 8.39867585515E-03 8.33663517722E-03 8.34247648047E-03 8.32556941598E-03 8.34689964441E-03
../LO/LOjob/006/00/WpJ.WpJ_LO.LO.ptj1.s600.tab.gz 8.29839879568E-03 8.33733482530E-03 8.33570184192E-03 8.32345127925E-03 8.40166528558E-03 8.32635628794E-03 8.40679912852E-03 8.34474173168E-03 8.31957320477E-03 8.33410116616E-03 8.33358170568E-03 8.38868391137E-03 8.33061841997E-03 8.32582616331E-03 8.33054955213E-03 8.33625441437E-03 8.33028551183E-03 8.41786106723E-03 8.35052847713E-03 8.33348301020E-03 8.34628430359E-03 8.32638786803E-03
../LO/LOjob/094/00/WpJ.WpJ_LO.LO.ptj1.s9400.tab.gz 8.34707799975E-03 8.33108333333E-03 8.33117820336E-03 8.32024594175E-03 8.38868011811E-03 8.32553854384E-03 8.39984465514E-03 8.32836345373E-03 8.33713697791E-03 8.32689441037E-03 8.33153075006E-03 8.41574226473E-03 8.33334373995E-03 8.34833990934E-03 8.33530798099E-03 8.33568303022E-03 8.34406309330E-03 8.40514160014E-03 8.33188626283E-03 8.32731938653E-03 8.33068104345E-03 8.32392935770E-03
../LO/LOjob/002/00/WpJ.WpJ_LO.LO.ptj1.s200.tab.gz 8.35884205931E-03 8.32805850760E-03 8.33859586925E-03 8.32178103956E-03 8.40704146413E-03 8.33767973238E-03 8.39815097311E-03 8.31273626668E-03 8.31869159889E-03 8.32155715184E-03 8.33290959576E-03 8.39088474092E-03 8.33498724834E-03 8.33192340586E-03 8.34338124018E-03 8.32708115107E-03 8.33323524905E-03 8.40786045273E-03 8.32558324591E-03 8.32471916993E-03 8.34633009621E-03 8.34222341343E-03
../LO/LOjob/048/00/WpJ.WpJ_LO.LO.ptj1.s4800.tab.gz 8.33708555484E-03 8.32762430449E-03 8.33439239840E-03 8.33569684493E-03 8.41703118739E-03 8.32673223186E-03 8.41792372215E-03 8.34301899677E-03 8.32763961125E-03 8.33866336044E-03 8.33352622629E-03 8.42664821856E-03 8.33649661357E-03 8.33827994742E-03 8.32525670692E-03 8.33161011987E-03 8.32783628524E-03 8.39192204308E-03 8.33731482349E-03 8.32644124486E-03 8.32879201737E-03 8.33905380641E-03
../LO/LOjob/119/00/WpJ.WpJ_LO.LO.ptj1.s11900.tab.gz 8.31155878250E-03 8.32682757368E-03 8.33487918555E-03 8.33699238304E-03 8.40638917547E-03 8.33513872588E-03 8.38990836139E-03 8.33235995918E-03 8.32836008612E-03 8.33794751436E-03 8.35719083955E-03 8.39697571107E-03 8.32925601760E-03 8.34545276474E-03 8.33984793824E-03 8.33309998110E-03 8.33490981395E-03 8.40271175106E-03 8.33813553752E-03 8.32774513879E-03 8.33771152513E-03 8.33382646857E-03
