0             25       0.999558
25             50       0.993732
50             75       0.987906
75            100       0.976601
100            125       0.964961
125            150       0.950256
150            175       0.933439
175            200       0.914578
200            250       0.885475
250            300       0.847184
300            350       0.809287
350            400       0.768156
400            450       0.727399
450            500       0.689157
500            600       0.631105
600            800       0.539792
