   3.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   4.44208      0.668499       1.16592      0.664323       1.16501      0.417588E-02  0.904814E-03   1.82934      0.668373      0.668130      0.496931      -.405038E-02   0.00000       0.00000      0.496883    
  0.109648E-03   4.47397      0.660425       1.14964      0.655951       1.14867      0.447382E-02  0.975753E-03   1.80462      0.659207      0.658944      0.489770      -.325563E-02   0.00000       0.00000      0.489722    
  0.120226E-03   4.49993      0.652529       1.13363      0.647721       1.13257      0.480713E-02  0.105660E-02   1.78029      0.650187      0.649901      0.482718      -.246544E-02   0.00000       0.00000      0.482669    
  0.131825E-03   4.52360      0.644707       1.11772      0.639550       1.11658      0.515687E-02  0.114216E-02   1.75613      0.641227      0.640917      0.475711      -.167696E-02   0.00000       0.00000      0.475661    
  0.144543E-03   4.54395      0.636993       1.10197      0.631463       1.10074      0.553015E-02  0.123448E-02   1.73220      0.632354      0.632018      0.468769      -.890909E-03   0.00000       0.00000      0.468717    
  0.158489E-03   4.56000      0.629431       1.08644      0.623491       1.08510      0.593988E-02  0.133753E-02   1.70859      0.623599      0.623235      0.461916      -.108034E-03   0.00000       0.00000      0.461863    
  0.173779E-03   4.57399      0.621946       1.07101      0.615577       1.06956      0.636883E-02  0.144633E-02   1.68514      0.614903      0.614509      0.455107      0.673280E-03   0.00000       0.00000      0.455054    
  0.190545E-03   4.58408      0.614610       1.05579      0.607773       1.05422      0.683705E-02  0.156700E-02   1.66200      0.606322      0.605894      0.448384      0.145158E-02   0.00000       0.00000      0.448330    
  0.208928E-03   4.59126      0.607397       1.04074      0.600057       1.03904      0.734013E-02  0.169848E-02   1.63910      0.597830      0.597366      0.441728      0.222739E-02   0.00000       0.00000      0.441674    
  0.229085E-03   4.59657      0.600263       1.02579      0.592397       1.02396      0.786604E-02  0.183706E-02   1.61635      0.589396      0.588894      0.435117      0.300157E-02   0.00000       0.00000      0.435062    
  0.251186E-03   4.59757      0.593326       1.01111      0.584873       1.00911      0.845343E-02  0.199524E-02   1.59399      0.581101      0.580557      0.428611      0.377150E-02   0.00000       0.00000      0.428556    
  0.275420E-03   4.59681      0.586478      0.996536      0.577407      0.994373      0.907091E-02  0.216326E-02   1.57178      0.572867      0.572278      0.422151      0.453934E-02   0.00000       0.00000      0.422095    
  0.301992E-03   4.59367      0.579748      0.982118      0.570019      0.979773      0.972884E-02  0.234454E-02   1.54979      0.564715      0.564076      0.415753      0.530435E-02   0.00000       0.00000      0.415697    
  0.331127E-03   4.58731      0.573195      0.967919      0.562743      0.965371      0.104523E-01  0.254788E-02   1.52811      0.556678      0.555986      0.409442      0.606469E-02   0.00000       0.00000      0.409386    
  0.363073E-03   4.57944      0.566729      0.953828      0.555520      0.951065      0.112098E-01  0.276288E-02   1.50658      0.548697      0.547948      0.403173      0.682252E-02   0.00000       0.00000      0.403117    
  0.398101E-03   4.56877      0.560432      0.939940      0.548397      0.936939      0.120353E-01  0.300138E-02   1.48534      0.540822      0.540010      0.396985      0.757530E-02   0.00000       0.00000      0.396929    
  0.436509E-03   4.55592      0.554279      0.926220      0.541355      0.922958      0.129237E-01  0.326231E-02   1.46431      0.533032      0.532153      0.390861      0.832318E-02   0.00000       0.00000      0.390805    
  0.478622E-03   4.54170      0.548217      0.912607      0.534365      0.909069      0.138525E-01  0.353767E-02   1.44343      0.525297      0.524347      0.384778      0.906790E-02   0.00000       0.00000      0.384723    
  0.524798E-03   4.52440      0.542381      0.899247      0.527493      0.895395      0.148879E-01  0.385208E-02   1.42289      0.517689      0.516659      0.378791      0.980393E-02   0.00000       0.00000      0.378736    
  0.575429E-03   4.50576      0.536652      0.886003      0.520674      0.881816      0.159782E-01  0.418719E-02   1.40249      0.510138      0.509023      0.372847      0.105353E-01   0.00000       0.00000      0.372793    
  0.630945E-03   4.48544      0.531059      0.872906      0.513921      0.868358      0.171378E-01  0.454842E-02   1.38228      0.502660      0.501454      0.366957      0.112608E-01   0.00000       0.00000      0.366904    
  0.691816E-03   4.46275      0.525679      0.860031      0.507264      0.855076      0.184147E-01  0.495522E-02   1.36234      0.495288      0.493981      0.361147      0.119759E-01   0.00000       0.00000      0.361094    
  0.758561E-03   4.43895      0.520403      0.847261      0.500652      0.841875      0.197517E-01  0.538578E-02   1.34253      0.487966      0.486553      0.355373      0.126856E-01   0.00000       0.00000      0.355322    
  0.831745E-03   4.41318      0.515326      0.834688      0.494120      0.828824      0.212055E-01  0.586304E-02   1.32294      0.480736      0.479207      0.349667      0.133846E-01   0.00000       0.00000      0.349618    
  0.911989E-03   4.38579      0.510428      0.822284      0.487656      0.815898      0.227723E-01  0.638689E-02   1.30355      0.473582      0.471928      0.344018      0.140731E-01   0.00000       0.00000      0.343970    
  0.999975E-03   4.35742      0.505642      0.809987      0.481231      0.803046      0.244103E-01  0.694015E-02   1.28428      0.466477      0.464689      0.338403      0.147549E-01   0.00000       0.00000      0.338357    
  0.109645E-02   4.32685      0.501129      0.797936      0.474897      0.790365      0.262318E-01  0.757129E-02   1.26526      0.459478      0.457543      0.332866      0.154191E-01   0.00000       0.00000      0.332822    
  0.120223E-02   4.29529      0.496755      0.786005      0.468603      0.777759      0.281524E-01  0.824579E-02   1.24636      0.452529      0.450437      0.327365      0.160737E-01   0.00000       0.00000      0.327323    
  0.131822E-02   4.26255      0.492547      0.774216      0.462356      0.765244      0.301906E-01  0.897173E-02   1.22760      0.445639      0.443379      0.321905      0.167169E-01   0.00000       0.00000      0.321865    
  0.144540E-02   4.22806      0.488615      0.762653      0.456178      0.752862      0.324369E-01  0.979150E-02   1.20904      0.438838      0.436392      0.316507      0.173396E-01   0.00000       0.00000      0.316470    
  0.158485E-02   4.19279      0.484817      0.751197      0.450029      0.740537      0.347880E-01  0.106595E-01   1.19057      0.432077      0.429435      0.311137      0.179521E-01   0.00000       0.00000      0.311102    
  0.173775E-02   4.15610      0.481270      0.739935      0.443932      0.728315      0.373377E-01  0.116199E-01   1.17225      0.425387      0.422532      0.305815      0.185450E-01   0.00000       0.00000      0.305783    
  0.190540E-02   4.11821      0.477964      0.728852      0.437876      0.716175      0.400877E-01  0.126764E-01   1.15405      0.418758      0.415671      0.300532      0.191182E-01   0.00000       0.00000      0.300504    
  0.208923E-02   4.07961      0.474804      0.717876      0.431843      0.704084      0.429611E-01  0.137924E-01   1.13593      0.412164      0.408835      0.295273      0.196792E-01   0.00000       0.00000      0.295249    
  0.229079E-02   4.03942      0.472003      0.707153      0.425858      0.692091      0.461455E-01  0.150624E-01   1.11795      0.405648      0.402048      0.290063      0.202097E-01   0.00000       0.00000      0.290042    
  0.251180E-02   3.99847      0.469396      0.696560      0.419890      0.680138      0.495056E-01  0.164221E-01   1.10003      0.399167      0.395281      0.284874      0.207231E-01   0.00000       0.00000      0.284857    
  0.275413E-02   3.95667      0.467005      0.686112      0.413944      0.668230      0.530616E-01  0.178819E-01   1.08217      0.392726      0.388535      0.279708      0.212174E-01   0.00000       0.00000      0.279695    
  0.301984E-02   3.91351      0.464999      0.675912      0.408020      0.656380      0.569788E-01  0.195322E-01   1.06440      0.386343      0.381815      0.274573      0.216770E-01   0.00000       0.00000      0.274564    
  0.331118E-02   3.86975      0.463179      0.665827      0.402104      0.644548      0.610746E-01  0.212790E-01   1.04665      0.379984      0.375103      0.269450      0.221196E-01   0.00000       0.00000      0.269446    
  0.363064E-02   3.82493      0.461697      0.655953      0.396198      0.632747      0.654999E-01  0.232053E-01   1.02894      0.373667      0.368401      0.264346      0.225309E-01   0.00000       0.00000      0.264346    
  0.398091E-02   3.77912      0.460560      0.646283      0.390291      0.620957      0.702697E-01  0.253256E-01   1.01125      0.367380      0.361700      0.259252      0.229102E-01   0.00000       0.00000      0.259258    
  0.436498E-02   3.73273      0.459630      0.636736      0.384382      0.609172      0.752477E-01  0.275640E-01  0.993554      0.361112      0.354997      0.254164      0.232702E-01   0.00000       0.00000      0.254175    
  0.478610E-02   3.68505      0.459195      0.627475      0.378459      0.597376      0.807357E-01  0.300993E-01  0.975835      0.354875      0.348280      0.249081      0.235837E-01   0.00000       0.00000      0.249096    
  0.524785E-02   3.63669      0.459043      0.618375      0.372520      0.585560      0.865231E-01  0.328149E-01  0.958081      0.348650      0.341546      0.243994      0.238705E-01   0.00000       0.00000      0.244014    
  0.575415E-02   3.58760      0.459190      0.609444      0.366565      0.573724      0.926245E-01  0.357196E-01  0.940289      0.342436      0.334795      0.238903      0.241293E-01   0.00000       0.00000      0.238929    
  0.630929E-02   3.53726      0.459891      0.600821      0.360565      0.561823      0.993257E-01  0.389980E-01  0.922389      0.336229      0.327997      0.233794      0.243361E-01   0.00000       0.00000      0.233826    
  0.691799E-02   3.48633      0.460857      0.592345      0.354540      0.549883      0.106317      0.424617E-01  0.904424      0.330022      0.321173      0.228673      0.245182E-01   0.00000       0.00000      0.228710    
  0.758542E-02   3.43438      0.462293      0.584129      0.348467      0.537869      0.113827      0.462604E-01  0.886335      0.323810      0.314298      0.223529      0.246564E-01   0.00000       0.00000      0.223571    
  0.831724E-02   3.38138      0.464227      0.576188      0.342332      0.525755      0.121895      0.504324E-01  0.868087      0.317583      0.307357      0.218351      0.247488E-01   0.00000       0.00000      0.218399    
  0.911966E-02   3.32776      0.466451      0.568406      0.336160      0.513581      0.130291      0.548255E-01  0.849740      0.311345      0.300376      0.213152      0.248148E-01   0.00000       0.00000      0.213205    
  0.999950E-02   3.27272      0.469342      0.560989      0.329892      0.501242      0.139450      0.597463E-01  0.831134      0.305069      0.293291      0.207893      0.248231E-01   0.00000       0.00000      0.207952    
  0.109642E-01   3.21705      0.472542      0.553750      0.323575      0.488827      0.148967      0.649231E-01  0.812402      0.298773      0.286155      0.202608      0.248018E-01   0.00000       0.00000      0.202672    
  0.120220E-01   3.16013      0.476338      0.546853      0.317160      0.476251      0.159177      0.706022E-01  0.793411      0.292435      0.278917      0.197265      0.247254E-01   0.00000       0.00000      0.197334    
  0.131819E-01   3.10201      0.480686      0.540276      0.310646      0.463509      0.170040      0.767667E-01  0.774156      0.286046      0.271575      0.191862      0.246001E-01   0.00000       0.00000      0.191935    
  0.144536E-01   3.04264      0.485597      0.534032      0.304024      0.450588      0.181573      0.834434E-01  0.754612      0.279599      0.264119      0.186391      0.244252E-01   0.00000       0.00000      0.186469    
  0.158481E-01   2.98205      0.491043      0.528110      0.297292      0.437486      0.193751      0.906246E-01  0.734778      0.273089      0.256550      0.180853      0.242037E-01   0.00000       0.00000      0.180936    
  0.173770E-01   2.92017      0.497035      0.522527      0.290443      0.424190      0.206592      0.983371E-01  0.714633      0.266508      0.248861      0.175243      0.239349E-01   0.00000       0.00000      0.175329    
  0.190535E-01   2.85679      0.503637      0.517331      0.283455      0.410667      0.220181      0.106664      0.694123      0.259841      0.241030      0.169548      0.236138E-01   0.00000       0.00000      0.169638    
  0.208917E-01   2.79184      0.510839      0.512531      0.276321      0.396911      0.234518      0.115620      0.673233      0.253080      0.233054      0.163764      0.232414E-01   0.00000       0.00000      0.163857    
  0.229073E-01   2.72534      0.518606      0.508114      0.269043      0.382926      0.249563      0.125188      0.651969      0.246222      0.224936      0.157894      0.228209E-01   0.00000       0.00000      0.157990    
  0.251174E-01   2.65721      0.526936      0.504095      0.261612      0.368706      0.265324      0.135389      0.630318      0.239259      0.216672      0.151936      0.223527E-01   0.00000       0.00000      0.152034    
