   6464.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   77.5205       6.30667       8.99836       6.29284       8.98758      0.138218E-01  0.107756E-01   15.2804       3.44124       3.44249       3.28822       2.85160       2.25707       0.00000       3.28802    
  0.109648E-03   74.8005       6.11259       8.71864       6.09794       8.70726      0.146522E-01  0.113743E-01   14.8052       3.33934       3.34067       3.18829       2.75860       2.17850       0.00000       3.18809    
  0.120226E-03   72.1946       5.92575       8.44944       5.91018       8.43741      0.155637E-01  0.120264E-01   14.3476       3.24107       3.24248       3.09196       2.66911       2.10318       0.00000       3.09176    
  0.131825E-03   69.6347       5.74184       8.18451       5.72532       8.17181      0.165122E-01  0.127027E-01   13.8971       3.14426       3.14577       2.99709       2.58106       2.02916       0.00000       2.99689    
  0.144543E-03   67.1408       5.56213       7.92570       5.54462       7.91229      0.175135E-01  0.134134E-01   13.4569       3.04957       3.05116       2.90431       2.49505       1.95701       0.00000       2.90411    
  0.158489E-03   64.7355       5.38813       7.67515       5.36954       7.66097      0.185948E-01  0.141759E-01   13.0305       2.95773       2.95942       2.81437       2.41181       1.88739       0.00000       2.81417    
  0.173779E-03   62.3733       5.21692       7.42864       5.19720       7.41367      0.197179E-01  0.149652E-01   12.6109       2.86728       2.86908       2.72581       2.32992       1.81898       0.00000       2.72561    
  0.190545E-03   60.0938       5.05106       7.18988       5.03014       7.17407      0.209253E-01  0.158085E-01   12.2042       2.77951       2.78142       2.63991       2.25063       1.75294       0.00000       2.63972    
  0.208928E-03   57.8779       4.88936       6.95713       4.86716       6.94043      0.222059E-01  0.166984E-01   11.8076       2.69381       2.69584       2.55608       2.17335       1.68870       0.00000       2.55589    
  0.229085E-03   55.7032       4.73036       6.72826       4.70683       6.71064      0.235344E-01  0.176186E-01   11.4175       2.60946       2.61161       2.47359       2.09737       1.62563       0.00000       2.47340    
  0.251186E-03   53.6256       4.57775       6.50860       4.55276       6.48998      0.249889E-01  0.186181E-01   11.0427       2.52829       2.53058       2.39426       2.02447       1.56533       0.00000       2.39407    
  0.275420E-03   51.5890       4.42786       6.29285       4.40136       6.27320      0.265037E-01  0.196552E-01   10.6746       2.44847       2.45090       2.31628       1.95289       1.50620       0.00000       2.31610    
  0.301992E-03   49.6077       4.28164       6.08237       4.25354       6.06163      0.280996E-01  0.207428E-01   10.3152       2.37048       2.37306       2.24011       1.88306       1.44863       0.00000       2.23993    
  0.331127E-03   47.7036       4.14059       5.87930       4.11076       5.85739      0.298235E-01  0.219094E-01   9.96815       2.29504       2.29779       2.16650       1.81572       1.39328       0.00000       2.16632    
  0.363073E-03   45.8364       4.00201       5.67977       3.97040       5.65666      0.316129E-01  0.231163E-01   9.62706       2.22084       2.22375       2.09410       1.74956       1.33897       0.00000       2.09394    
  0.398101E-03   44.0383       3.86810       5.48691       3.83457       5.46251      0.335318E-01  0.244023E-01   9.29708       2.14894       2.15203       2.02401       1.68563       1.28663       0.00000       2.02385    
  0.436509E-03   42.2956       3.73795       5.29942       3.70239       5.27366      0.355677E-01  0.257591E-01   8.97605       2.07889       2.08217       1.95576       1.62349       1.23588       0.00000       1.95561    
  0.478622E-03   40.5879       3.61019       5.11532       3.57251       5.08816      0.376785E-01  0.271612E-01   8.66067       2.01002       2.01350       1.88869       1.56249       1.18612       0.00000       1.88854    
  0.524798E-03   38.9611       3.48797       4.93911       3.44798       4.91043      0.399821E-01  0.286789E-01   8.35841       1.94387       1.94756       1.82433       1.50411       1.13867       0.00000       1.82419    
  0.575429E-03   37.3700       3.36822       4.76640       3.32584       4.73615      0.423824E-01  0.302538E-01   8.06199       1.87893       1.88285       1.76119       1.44691       1.09225       0.00000       1.76106    
