   1.89999998             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03  -.933358      0.521479      0.864110      0.518337      0.863561      0.314191E-02  0.549837E-03   1.38190      0.518337      0.518136      0.345424       0.00000       0.00000       0.00000      0.345424    
  0.109648E-03  -.788407      0.515685      0.854081      0.512305      0.853480      0.338041E-02  0.601615E-03   1.36578      0.512305      0.512088      0.341392       0.00000       0.00000       0.00000      0.341392    
  0.120226E-03  -.652347      0.510028      0.844234      0.506379      0.843572      0.364889E-02  0.661556E-03   1.34995      0.506379      0.506143      0.337429       0.00000       0.00000       0.00000      0.337429    
  0.131825E-03  -.519753      0.504427      0.834460      0.500496      0.833734      0.393136E-02  0.725419E-03   1.33423      0.500496      0.500241      0.333494       0.00000       0.00000       0.00000      0.333494    
  0.144543E-03  -.392124      0.498908      0.824791      0.494674      0.823996      0.423387E-02  0.794898E-03   1.31867      0.494674      0.494398      0.329598       0.00000       0.00000       0.00000      0.329598    
  0.158489E-03  -.270949      0.493503      0.815266      0.488935      0.814393      0.456760E-02  0.873378E-03   1.30333      0.488935      0.488636      0.325757       0.00000       0.00000       0.00000      0.325757    
  0.173779E-03  -.152867      0.488155      0.805811      0.483237      0.804854      0.491784E-02  0.956695E-03   1.28809      0.483237      0.482913      0.321942       0.00000       0.00000       0.00000      0.321942    
  0.190545E-03  -.406191E-01  0.482918      0.796491      0.477617      0.795441      0.530188E-02  0.105004E-02   1.27306      0.477617      0.477265      0.318176       0.00000       0.00000       0.00000      0.318176    
  0.208928E-03  0.672795E-01  0.477772      0.787277      0.472056      0.786124      0.571610E-02  0.115259E-02   1.25818      0.472056      0.471675      0.314450       0.00000       0.00000       0.00000      0.314450    
  0.229085E-03  0.172362      0.472684      0.778131      0.466534      0.776870      0.615006E-02  0.126118E-02   1.24340      0.466534      0.466122      0.310748       0.00000       0.00000       0.00000      0.310748    
  0.251186E-03  0.271008      0.467742      0.769148      0.461104      0.767761      0.663751E-02  0.138656E-02   1.22887      0.461104      0.460657      0.307104       0.00000       0.00000       0.00000      0.307104    
  0.275420E-03  0.367009      0.462865      0.760234      0.455713      0.758714      0.715128E-02  0.152044E-02   1.21443      0.455713      0.455228      0.303486       0.00000       0.00000       0.00000      0.303486    
  0.301992E-03  0.459454      0.458075      0.751415      0.450375      0.749749      0.770040E-02  0.166575E-02   1.20012      0.450375      0.449850      0.299900       0.00000       0.00000       0.00000      0.299900    
  0.331127E-03  0.547062      0.453417      0.742730      0.445110      0.740899      0.830715E-02  0.183020E-02   1.18601      0.445110      0.444540      0.296360       0.00000       0.00000       0.00000      0.296360    
  0.363073E-03  0.632400      0.448823      0.734109      0.439879      0.732104      0.894391E-02  0.200481E-02   1.17198      0.439879      0.439262      0.292841       0.00000       0.00000       0.00000      0.292841    
  0.398101E-03  0.713529      0.444355      0.725609      0.434714      0.723409      0.964064E-02  0.219993E-02   1.15812      0.434714      0.434046      0.289364       0.00000       0.00000       0.00000      0.289364    
  0.436509E-03  0.791377      0.439995      0.717210      0.429602      0.714795      0.103933E-01  0.241474E-02   1.14440      0.429602      0.428877      0.285918       0.00000       0.00000       0.00000      0.285918    
  0.478622E-03  0.867156      0.435704      0.708873      0.424523      0.706231      0.111819E-01  0.264221E-02   1.13075      0.424523      0.423739      0.282492       0.00000       0.00000       0.00000      0.282492    
  0.524798E-03  0.938267      0.431585      0.700685      0.419519      0.697781      0.120656E-01  0.290414E-02   1.11730      0.419519      0.418669      0.279112       0.00000       0.00000       0.00000      0.279112    
  0.575429E-03   1.00736      0.427548      0.692564      0.414550      0.689380      0.129985E-01  0.318441E-02   1.10393      0.414550      0.413628      0.275752       0.00000       0.00000       0.00000      0.275752    
  0.630945E-03   1.07389      0.423616      0.684529      0.409622      0.681041      0.139935E-01  0.348784E-02   1.09066      0.409622      0.408625      0.272416       0.00000       0.00000       0.00000      0.272416    
  0.691816E-03   1.13679      0.419850      0.676621      0.404756      0.672789      0.150944E-01  0.383186E-02   1.07755      0.404756      0.403674      0.269116       0.00000       0.00000       0.00000      0.269116    
  0.758561E-03   1.19802      0.416167      0.668774      0.399917      0.664577      0.162496E-01  0.419712E-02   1.06449      0.399917      0.398746      0.265831       0.00000       0.00000       0.00000      0.265831    
  0.831745E-03   1.25619      0.412641      0.661040      0.395131      0.656436      0.175107E-01  0.460416E-02   1.05157      0.395131      0.393862      0.262574       0.00000       0.00000       0.00000      0.262574    
  0.911989E-03   1.31186      0.409260      0.653404      0.390386      0.648350      0.188748E-01  0.505308E-02   1.03874      0.390386      0.389010      0.259340       0.00000       0.00000       0.00000      0.259340    
  0.999975E-03   1.36600      0.405970      0.645827      0.385666      0.640299      0.203038E-01  0.552845E-02   1.02596      0.385666      0.384179      0.256119       0.00000       0.00000       0.00000      0.256119    
  0.109645E-02   1.41672      0.402904      0.638392      0.381003      0.632318      0.219008E-01  0.607414E-02   1.01332      0.381003      0.379391      0.252927       0.00000       0.00000       0.00000      0.252927    
  0.120223E-02   1.46588      0.399955      0.631025      0.376366      0.624366      0.235891E-01  0.665913E-02   1.00073      0.376366      0.374620      0.249746       0.00000       0.00000       0.00000      0.249746    
  0.131822E-02   1.51317      0.397144      0.623740      0.371759      0.616449      0.253856E-01  0.729075E-02  0.988207      0.371759      0.369869      0.246580       0.00000       0.00000       0.00000      0.246580    
  0.144540E-02   1.55768      0.394569      0.616584      0.367194      0.608576      0.273748E-01  0.800779E-02  0.975770      0.367194      0.365146      0.243430       0.00000       0.00000       0.00000      0.243430    
  0.158485E-02   1.60092      0.392110      0.609490      0.362648      0.600721      0.294613E-01  0.876891E-02  0.963369      0.362648      0.360433      0.240288       0.00000       0.00000       0.00000      0.240288    
  0.173775E-02   1.64189      0.389868      0.602508      0.358135      0.592894      0.317328E-01  0.961445E-02  0.951029      0.358135      0.355736      0.237157       0.00000       0.00000       0.00000      0.237157    
  0.190540E-02   1.68090      0.387839      0.595630      0.353648      0.585082      0.341916E-01  0.105482E-01  0.938730      0.353648      0.351049      0.234033       0.00000       0.00000       0.00000      0.234033    
  0.208923E-02   1.71873      0.385942      0.588816      0.349175      0.577279      0.367661E-01  0.115366E-01  0.926455      0.349175      0.346367      0.230912       0.00000       0.00000       0.00000      0.230912    
  0.229079E-02   1.75395      0.384366      0.582150      0.344733      0.569483      0.396334E-01  0.126670E-01  0.914216      0.344733      0.341690      0.227793       0.00000       0.00000       0.00000      0.227793    
  0.251180E-02   1.78790      0.382968      0.575562      0.340301      0.561682      0.426671E-01  0.138804E-01  0.901983      0.340301      0.337009      0.224673       0.00000       0.00000       0.00000      0.224673    
  0.275413E-02   1.82042      0.381769      0.569062      0.335883      0.553875      0.458862E-01  0.151865E-01  0.889758      0.335883      0.332325      0.221550       0.00000       0.00000       0.00000      0.221550    
  0.301984E-02   1.85065      0.380928      0.562712      0.331478      0.546042      0.494494E-01  0.166697E-01  0.877521      0.331478      0.327625      0.218417       0.00000       0.00000       0.00000      0.218417    
  0.331118E-02   1.87985      0.380262      0.556434      0.327078      0.538191      0.531835E-01  0.182428E-01  0.865270      0.327078      0.322915      0.215277       0.00000       0.00000       0.00000      0.215277    
  0.363064E-02   1.90721      0.379917      0.550287      0.322684      0.530303      0.572333E-01  0.199835E-01  0.852987      0.322684      0.318182      0.212121       0.00000       0.00000       0.00000      0.212121    
  0.398091E-02   1.93288      0.379903      0.544270      0.318287      0.522364      0.616156E-01  0.219063E-01  0.840651      0.318287      0.313418      0.208946       0.00000       0.00000       0.00000      0.208946    
  0.436498E-02   1.95754      0.380088      0.538332      0.313889      0.514392      0.661988E-01  0.239398E-01  0.828281      0.313889      0.308635      0.205757       0.00000       0.00000       0.00000      0.205757    
  0.478610E-02   1.97995      0.380757      0.532581      0.309479      0.506328      0.712773E-01  0.262532E-01  0.815807      0.309479      0.303797      0.202531       0.00000       0.00000       0.00000      0.202531    
  0.524785E-02   2.00115      0.381706      0.526937      0.305057      0.498200      0.766485E-01  0.287373E-01  0.803257      0.305057      0.298920      0.199280       0.00000       0.00000       0.00000      0.199280    
  0.575415E-02   2.02108      0.382949      0.521406      0.300622      0.490006      0.823267E-01  0.314003E-01  0.790629      0.300622      0.294004      0.196002       0.00000       0.00000       0.00000      0.196002    
  0.630929E-02   2.03880      0.384749      0.516089      0.296154      0.481669      0.885954E-01  0.344191E-01  0.777823      0.296154      0.289002      0.192668       0.00000       0.00000       0.00000      0.192668    
  0.691799E-02   2.05548      0.386816      0.510873      0.291665      0.473258      0.951509E-01  0.376149E-01  0.764924      0.291665      0.283955      0.189303       0.00000       0.00000       0.00000      0.189303    
  0.758542E-02   2.07036      0.389362      0.505842      0.287140      0.464711      0.102221      0.411313E-01  0.751851      0.287140      0.278827      0.185884       0.00000       0.00000       0.00000      0.185884    
  0.831724E-02   2.08340      0.392418      0.501011      0.282568      0.456004      0.109850      0.450070E-01  0.738571      0.282568      0.273602      0.182401       0.00000       0.00000       0.00000      0.182401    
  0.911966E-02   2.09535      0.395775      0.496297      0.277966      0.447200      0.117809      0.490972E-01  0.725166      0.277966      0.268320      0.178880       0.00000       0.00000       0.00000      0.178880    
  0.999950E-02   2.10480      0.399842      0.491868      0.273287      0.438157      0.126555      0.537113E-01  0.711443      0.273287      0.262894      0.175263       0.00000       0.00000       0.00000      0.175263    
  0.109642E-01   2.11315      0.404224      0.487568      0.268570      0.429000      0.135654      0.585680E-01  0.697570      0.268570      0.257400      0.171600       0.00000       0.00000       0.00000      0.171600    
  0.120220E-01   2.11933      0.409227      0.483524      0.263775      0.419616      0.145452      0.639084E-01  0.683391      0.263775      0.251770      0.167846       0.00000       0.00000       0.00000      0.167846    
  0.131819E-01   2.12345      0.414817      0.479731      0.258900      0.410006      0.155917      0.697251E-01  0.668906      0.258900      0.246004      0.164002       0.00000       0.00000       0.00000      0.164002    
  0.144536E-01   2.12542      0.421011      0.476203      0.253936      0.400155      0.167075      0.760473E-01  0.654091      0.253936      0.240093      0.160062       0.00000       0.00000       0.00000      0.160062    
  0.158481E-01   2.12529      0.427785      0.472936      0.248881      0.390066      0.178904      0.828699E-01  0.638947      0.248881      0.234039      0.156026       0.00000       0.00000       0.00000      0.156026    
  0.173770E-01   2.12295      0.435153      0.469945      0.243727      0.379723      0.191426      0.902223E-01  0.623449      0.243727      0.227834      0.151889       0.00000       0.00000       0.00000      0.151889    
  0.190535E-01   2.11805      0.443192      0.467276      0.238454      0.369085      0.204738      0.981909E-01  0.607539      0.238454      0.221451      0.147634       0.00000       0.00000       0.00000      0.147634    
  0.208917E-01   2.11047      0.451899      0.464940      0.233055      0.358144      0.218844      0.106796      0.591199      0.233055      0.214886      0.143258       0.00000       0.00000       0.00000      0.143258    
  0.229073E-01   2.10025      0.461239      0.462932      0.227529      0.346907      0.233711      0.116025      0.574436      0.227529      0.208144      0.138763       0.00000       0.00000       0.00000      0.138763    
  0.251174E-01   2.08723      0.471218      0.461266      0.221866      0.335363      0.249352      0.125903      0.557229      0.221866      0.201218      0.134145       0.00000       0.00000       0.00000      0.134145    
  0.275406E-01   2.07093      0.481901      0.459995      0.216042      0.323471      0.265859      0.136524      0.539513      0.216042      0.194083      0.129389       0.00000       0.00000       0.00000      0.129389    
  0.301976E-01   2.05125      0.493259      0.459120      0.210052      0.311236      0.283207      0.147884      0.521287      0.210052      0.186741      0.124494       0.00000       0.00000       0.00000      0.124494    
  0.331110E-01   2.02821      0.505239      0.458624      0.203896      0.298674      0.301343      0.159951      0.502570      0.203896      0.179204      0.119470       0.00000       0.00000       0.00000      0.119470    
  0.363055E-01   2.00164      0.517825      0.458515      0.197567      0.285786      0.320258      0.172729      0.483353      0.197567      0.171472      0.114315       0.00000       0.00000       0.00000      0.114315    
  0.398081E-01   1.97092      0.531053      0.458834      0.191036      0.272544      0.340017      0.186290      0.463580      0.191036      0.163526      0.109018       0.00000       0.00000       0.00000      0.109018    
  0.436487E-01   1.93604      0.544855      0.459554      0.184305      0.258975      0.360550      0.200579      0.443280      0.184305      0.155385      0.103590       0.00000       0.00000       0.00000      0.103590    
  0.478598E-01   1.89704      0.559156      0.460637      0.177378      0.245115      0.381778      0.215522      0.422494      0.177378      0.147069      0.980461E-01   0.00000       0.00000       0.00000      0.980461E-01
  0.524772E-01   1.85377      0.573907      0.462057      0.170253      0.230987      0.403654      0.231070      0.401240      0.170253      0.138592      0.923948E-01   0.00000       0.00000       0.00000      0.923948E-01
  0.575400E-01   1.80556      0.589085      0.463806      0.162903      0.216598      0.426182      0.247208      0.379501      0.162903      0.129959      0.866391E-01   0.00000       0.00000       0.00000      0.866391E-01
  0.630913E-01   1.75257      0.604583      0.465798      0.155341      0.202009      0.449242      0.263789      0.357351      0.155341      0.121206      0.808037E-01   0.00000       0.00000       0.00000      0.808037E-01
  0.691782E-01   1.69496      0.620303      0.467944      0.147582      0.187283      0.472721      0.280661      0.334865      0.147582      0.112370      0.749131E-01   0.00000       0.00000       0.00000      0.749131E-01
  0.758523E-01   1.63270      0.636154      0.470146      0.139632      0.172477      0.496522      0.297670      0.312109      0.139632      0.103486      0.689908E-01   0.00000       0.00000       0.00000      0.689908E-01
  0.831703E-01   1.56525      0.652026      0.472258      0.131480      0.157668      0.520546      0.314590      0.289148      0.131480      0.946010E-01  0.630673E-01   0.00000       0.00000       0.00000      0.630673E-01
  0.911943E-01   1.49305      0.667784      0.474103      0.123159      0.142950      0.544625      0.331152      0.266109      0.123159      0.857703E-01  0.571802E-01   0.00000       0.00000       0.00000      0.571802E-01
  0.999925E-01   1.41650      0.683299      0.475494      0.114697      0.128413      0.568603      0.347081      0.243110      0.114697      0.770480E-01  0.513653E-01   0.00000       0.00000       0.00000      0.513653E-01
  0.109639       1.33586      0.698434      0.476216      0.106122      0.114152      0.592312      0.362065      0.220274      0.106122      0.684911E-01  0.456607E-01   0.00000       0.00000       0.00000      0.456607E-01
  0.120217       1.25099      0.712939      0.475866      0.974596E-01  0.100328      0.615479      0.375538      0.197788      0.974596E-01  0.601968E-01  0.401312E-01   0.00000       0.00000       0.00000      0.401312E-01
  0.131815       1.16276      0.726641      0.474189      0.887630E-01  0.870311E-01  0.637878      0.387158      0.175794      0.887630E-01  0.522187E-01  0.348125E-01   0.00000       0.00000       0.00000      0.348125E-01
  0.144533       1.07160      0.739223      0.470727      0.800861E-01  0.744156E-01  0.659137      0.396311      0.154502      0.800861E-01  0.446494E-01  0.297662E-01   0.00000       0.00000       0.00000      0.297662E-01
  0.158477      0.978325      0.750396      0.465149      0.714884E-01  0.625718E-01  0.678907      0.402577      0.134060      0.714884E-01  0.375431E-01  0.250287E-01   0.00000       0.00000       0.00000      0.250287E-01
  0.173766      0.883693      0.759628      0.456887      0.630472E-01  0.516577E-01  0.696581      0.405229      0.114705      0.630472E-01  0.309946E-01  0.206631E-01   0.00000       0.00000       0.00000      0.206631E-01
  0.190530      0.788679      0.766444      0.445619      0.548311E-01  0.417293E-01  0.711613      0.403889      0.965604E-01  0.548311E-01  0.250376E-01  0.166917E-01   0.00000       0.00000       0.00000      0.166917E-01
  0.208912      0.694349      0.769924      0.430727      0.469396E-01  0.329233E-01  0.722984      0.397803      0.798629E-01  0.469396E-01  0.197540E-01  0.131693E-01   0.00000       0.00000       0.00000      0.131693E-01
  0.229067      0.601779      0.769277      0.412005      0.394429E-01  0.252374E-01  0.729834      0.386768      0.646803E-01  0.394429E-01  0.151425E-01  0.100950E-01   0.00000       0.00000       0.00000      0.100950E-01
  0.251167      0.512335      0.762983      0.388928      0.324561E-01  0.187574E-01  0.730526      0.370171      0.512134E-01  0.324561E-01  0.112544E-01  0.750294E-02   0.00000       0.00000       0.00000      0.750294E-02
  0.275399      0.427079      0.749870      0.361573      0.260365E-01  0.134055E-01  0.723833      0.348167      0.394420E-01  0.260365E-01  0.804330E-02  0.536220E-02   0.00000       0.00000       0.00000      0.536220E-02
  0.301969      0.347574      0.727721      0.329751      0.202989E-01  0.919226E-02  0.707422      0.320558      0.294911E-01  0.202989E-01  0.551536E-02  0.367691E-02   0.00000       0.00000       0.00000      0.367691E-02
  0.331102      0.274677      0.695223      0.294036      0.152676E-01  0.596534E-02  0.679956      0.288070      0.212329E-01  0.152676E-01  0.357921E-02  0.238614E-02   0.00000       0.00000       0.00000      0.238614E-02
  0.363046      0.209929      0.649904      0.254900      0.110311E-01  0.365600E-02  0.638873      0.251244      0.146871E-01  0.110311E-01  0.219360E-02  0.146240E-02   0.00000       0.00000       0.00000      0.146240E-02
  0.398071      0.153705      0.591267      0.213582      0.755822E-02  0.206597E-02  0.583709      0.211516      0.962419E-02  0.755822E-02  0.123958E-02  0.826387E-03   0.00000       0.00000       0.00000      0.826387E-03
  0.436476      0.106983      0.518426      0.171462      0.486772E-02  0.106726E-02  0.513558      0.170394      0.593497E-02  0.486772E-02  0.640354E-03  0.426903E-03   0.00000       0.00000       0.00000      0.426903E-03
  0.478586      0.698535E-01  0.432976      0.130416      0.289750E-02  0.491548E-03  0.430079      0.129925      0.338904E-02  0.289750E-02  0.294929E-03  0.196619E-03   0.00000       0.00000       0.00000      0.196619E-03
  0.524759      0.420137E-01  0.338761      0.925179E-01  0.155790E-02  0.195248E-03  0.337203      0.923226E-01  0.175315E-02  0.155790E-02  0.117149E-03  0.780990E-04   0.00000       0.00000       0.00000      0.780990E-04
  0.575386      0.226673E-01  0.242352      0.598241E-01  0.731779E-03  0.637633E-04  0.241620      0.597603E-01  0.795542E-03  0.731779E-03  0.382580E-04  0.255053E-04   0.00000       0.00000       0.00000      0.255053E-04
  0.630897      0.105280E-01  0.152735      0.340307E-01  0.285138E-03  0.158978E-04  0.152450      0.340148E-01  0.301035E-03  0.285138E-03  0.953870E-05  0.635914E-05   0.00000       0.00000       0.00000      0.635914E-05
  0.691764      0.392914E-02  0.796984E-01  0.160490E-01  0.845018E-04  0.267291E-05  0.796139E-01  0.160463E-01  0.871747E-04  0.845018E-04  0.160375E-05  0.106916E-05   0.00000       0.00000       0.00000      0.106916E-05
  0.758504      0.103479E-02  0.306660E-01  0.561338E-02  0.161675E-04  0.239479E-06  0.306498E-01  0.561315E-02  0.164070E-04  0.161675E-04  0.143688E-06  0.957917E-07   0.00000       0.00000       0.00000      0.957917E-07
  0.831682      0.144043E-03  0.672045E-02  0.113568E-02  0.138806E-05  0.681023E-08  0.671906E-02  0.113567E-02  0.139487E-05  0.138806E-05  0.408614E-08  0.272409E-08   0.00000       0.00000       0.00000      0.272409E-08
  0.911920      0.420394E-05  0.368369E-03  0.600886E-04  0.166835E-07  0.116432E-10  0.368352E-03  0.600886E-04  0.166951E-07  0.166835E-07  0.698592E-11  0.465728E-11   0.00000       0.00000       0.00000      0.465728E-11
  0.999900      0.195867E-12  0.839493E-10  0.175802E-10  0.319906E-16  0.264617E-22  0.839493E-10  0.175802E-10  0.319906E-16  0.319906E-16  0.159151E-22  0.105530E-22   0.00000       0.00000       0.00000      0.105466E-22
