   100.000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   21.7034       2.13792       2.89191       2.12835       2.88871      0.957520E-02  0.319134E-02   5.01706       1.34606       1.34558       1.18423      0.782286      0.359080       0.00000       1.18405    
  0.109648E-03   21.1699       2.08808       2.82637       2.07791       2.82297      0.101751E-01  0.339672E-02   4.90088       1.31731       1.31679       1.15738      0.760598      0.348972       0.00000       1.15720    
  0.120226E-03   20.6514       2.03986       2.76282       2.02902       2.75920      0.108367E-01  0.362519E-02   4.78822       1.28939       1.28883       1.13133      0.739634      0.339218       0.00000       1.13115    
  0.131825E-03   20.1390       1.99229       2.70009       1.98077       2.69623      0.115266E-01  0.386438E-02   4.67699       1.26180       1.26120       1.10560      0.718963      0.329606       0.00000       1.10542    
  0.144543E-03   19.6354       1.94567       2.63852       1.93341       2.63440      0.122570E-01  0.411894E-02   4.56781       1.23470       1.23405       1.08034      0.698712      0.320199       0.00000       1.08015    
  0.158489E-03   19.1437       1.90032       2.57851       1.88727       2.57411      0.130491E-01  0.439729E-02   4.46138       1.20824       1.20754       1.05569      0.679028      0.311066       0.00000       1.05551    
  0.173779E-03   18.6578       1.85560       2.51926       1.84173       2.51457      0.138735E-01  0.468820E-02   4.35630       1.18211       1.18135       1.03135      0.659622      0.302067       0.00000       1.03116    
  0.190545E-03   18.1830       1.81209       2.46148       1.79732       2.45648      0.147634E-01  0.500476E-02   4.25380       1.15657       1.15575       1.00758      0.640749      0.293325       0.00000       1.00740    
  0.208928E-03   17.7170       1.76951       2.40484       1.75380       2.39949      0.157105E-01  0.534413E-02   4.15329       1.13151       1.13063      0.984270      0.622287      0.284780       0.00000      0.984085    
  0.229085E-03   17.2566       1.72755       2.34893       1.71085       2.34323      0.166949E-01  0.569842E-02   4.05408       1.10676       1.10580      0.961247      0.604094      0.276363       0.00000      0.961063    
  0.251186E-03   16.8097       1.68703       2.29476       1.66925       2.28867      0.177787E-01  0.609297E-02   3.95792       1.08272       1.08169      0.938912      0.586534      0.268248       0.00000      0.938728    
  0.275420E-03   16.3684       1.64714       2.24134       1.62823       2.23483      0.189102E-01  0.650726E-02   3.86306       1.05899       1.05788      0.916869      0.569244      0.260261       0.00000      0.916686    
  0.301992E-03   15.9349       1.60809       2.18891       1.58799       2.18196      0.201060E-01  0.694808E-02   3.76995       1.03567       1.03448      0.895219      0.552318      0.252447       0.00000      0.895038    
  0.331127E-03   15.5124       1.57024       2.13789       1.54884       2.13046      0.214043E-01  0.743198E-02   3.67930       1.01293       1.01164      0.874121      0.535905      0.244874       0.00000      0.873942    
  0.363073E-03   15.0951       1.53296       2.08755       1.51021       2.07961      0.227551E-01  0.793829E-02   3.58982      0.990467      0.989084      0.853288      0.519739      0.237417       0.00000      0.853110    
  0.398101E-03   14.6877       1.49677       2.03848       1.47256       2.02999      0.242103E-01  0.848930E-02   3.50255      0.968525      0.967036      0.832951      0.504035      0.230178       0.00000      0.832776    
  0.436509E-03   14.2883       1.46147       1.99044       1.43571       1.98135      0.257605E-01  0.908190E-02   3.41706      0.947002      0.945399      0.813013      0.488707      0.223113       0.00000      0.812842    
  0.478622E-03   13.8940       1.42673       1.94304       1.39936       1.93334      0.273717E-01  0.970118E-02   3.33270      0.925745      0.924023      0.793328      0.473616      0.216158       0.00000      0.793161    
  0.524798E-03   13.5117       1.39332       1.89717       1.36418       1.88678      0.291410E-01  0.103910E-01   3.25096      0.905104      0.903250      0.774230      0.459078      0.209460       0.00000      0.774067    
  0.575429E-03   13.1347       1.36052       1.85197       1.32953       1.84086      0.309902E-01  0.111172E-01   3.17038      0.884738      0.882745      0.755393      0.444788      0.202876       0.00000      0.755236    
  0.630945E-03   12.7645       1.32847       1.80764       1.29553       1.79575      0.329404E-01  0.118894E-01   3.09128      0.864720      0.862579      0.736886      0.430812      0.196437       0.00000      0.736734    
  0.691816E-03   12.4043       1.29757       1.76458       1.26251       1.75184      0.350585E-01  0.127396E-01   3.01435      0.845211      0.842909      0.718863      0.417299      0.190210       0.00000      0.718718    
  0.758561E-03   12.0488       1.26721       1.72211       1.22994       1.70848      0.372615E-01  0.136299E-01   2.93842      0.825941      0.823470      0.701067      0.404003      0.184082       0.00000      0.700928    
  0.831745E-03   11.7021       1.23785       1.68075       1.19822       1.66615      0.396285E-01  0.145981E-01   2.86437      0.807110      0.804457      0.683688      0.391110      0.178137       0.00000      0.683557    
  0.911989E-03   11.3628       1.20936       1.64032       1.16720       1.62468      0.421513E-01  0.156419E-01   2.79189      0.788648      0.785800      0.666658      0.378556      0.172347       0.00000      0.666535    
  0.999975E-03   11.0281       1.18140       1.60047       1.13663       1.58374      0.447718E-01  0.167333E-01   2.72037      0.770413      0.767361      0.649843      0.366212      0.166651       0.00000      0.649729    
  0.109645E-02   10.7039       1.15468       1.56195       1.10704       1.54400      0.476401E-01  0.179477E-01   2.65105      0.752696      0.749418      0.633518      0.354349      0.161171       0.00000      0.633414    
  0.120223E-02   10.3846       1.12857       1.52406       1.07793       1.50483      0.506396E-01  0.192287E-01   2.58276      0.735220      0.731706      0.617421      0.342713      0.155794       0.00000      0.617327    
  0.131822E-02   10.0713       1.10317       1.48690       1.04938       1.46631      0.537946E-01  0.205888E-01   2.51569      0.718030      0.714267      0.601595      0.331345      0.150536       0.00000      0.601512    
  0.144540E-02   9.76718       1.07889       1.45091       1.02167       1.42882      0.572194E-01  0.220891E-01   2.45049      0.701279      0.697242      0.586182      0.320394      0.145464       0.00000      0.586111    
  0.158485E-02   9.46728       1.05514       1.41544      0.994361       1.39178      0.607780E-01  0.236601E-01   2.38614      0.684727      0.680407      0.570958      0.309633      0.140476       0.00000      0.570899    
  0.173775E-02   9.17506       1.03234       1.38094      0.967756       1.35558      0.645885E-01  0.253652E-01   2.32334      0.668536      0.663910      0.556074      0.299219      0.135642       0.00000      0.556027    
  0.190540E-02   8.88965       1.01042       1.34730      0.941769       1.32010      0.686474E-01  0.272058E-01   2.26187      0.652658      0.647705      0.541485      0.289110      0.130943       0.00000      0.541452    
  0.208923E-02   8.60835      0.989012       1.31418      0.916153       1.28505      0.728587E-01  0.291299E-01   2.20121      0.636968      0.631675      0.527073      0.279185      0.126324       0.00000      0.527053    
  0.229079E-02   8.33634      0.968817       1.28223      0.891370       1.25097      0.774469E-01  0.312647E-01   2.14234      0.621696      0.616031      0.513055      0.269673      0.121886       0.00000      0.513049    
  0.251180E-02   8.06895      0.949237       1.25086      0.866994       1.21735      0.822429E-01  0.335187E-01   2.08434      0.606627      0.600572      0.499227      0.260366      0.117538       0.00000      0.499236    
  0.275413E-02   7.80672      0.930342       1.22015      0.843071       1.18425      0.872708E-01  0.359056E-01   2.02732      0.591785      0.585319      0.485611      0.251287      0.113290       0.00000      0.485636    
  0.301984E-02   7.55287      0.912588       1.19050      0.819873       1.15196      0.927153E-01  0.385377E-01   1.97183      0.577299      0.570388      0.472331      0.242574      0.109201       0.00000      0.472372    
  0.331118E-02   7.30282      0.895360       1.16133      0.796998       1.12004      0.983621E-01  0.412911E-01   1.91704      0.562971      0.555599      0.459200      0.234027      0.105184       0.00000      0.459257    
  0.363064E-02   7.05953      0.879073       1.13302      0.774694       1.08875      0.104379      0.442682E-01   1.86345      0.548922      0.541056      0.446331      0.225772      0.101293       0.00000      0.446404    
  0.398091E-02   6.82248      0.863678       1.10551      0.752905       1.05803      0.110773      0.474791E-01   1.81094      0.535121      0.526730      0.433694      0.217784      0.975188E-01   0.00000      0.433783    
  0.436498E-02   6.58912      0.848809       1.07847      0.731416       1.02764      0.117393      0.508312E-01   1.75906      0.521464      0.512530      0.421193      0.209953      0.938121E-01   0.00000      0.421299    
  0.478610E-02   6.36396      0.835139       1.05249      0.710585      0.997959      0.124554      0.545290E-01   1.70854      0.508118      0.498596      0.408984      0.202467      0.902551E-01   0.00000      0.409108    
  0.524785E-02   6.14309      0.822109       1.02706      0.690085      0.968628      0.132024      0.584293E-01   1.65871      0.494925      0.484791      0.396921      0.195159      0.867748E-01   0.00000      0.397062    
  0.575415E-02   5.92671      0.809749       1.00221      0.669931      0.939665      0.139818      0.625419E-01   1.60960      0.481895      0.471122      0.385011      0.188036      0.833749E-01   0.00000      0.385168    
  0.630929E-02   5.71798      0.798555      0.978352      0.650347      0.911293      0.148209      0.670587E-01   1.56164      0.469123      0.457663      0.373346      0.181224      0.801097E-01   0.00000      0.373520    
  0.691799E-02   5.51264      0.787887      0.954942      0.631006      0.883172      0.156881      0.717700E-01   1.51418      0.456460      0.444292      0.361786      0.174546      0.769034E-01   0.00000      0.361976    
  0.758542E-02   5.31322      0.778139      0.932307      0.612086      0.855478      0.166053      0.768295E-01   1.46756      0.443983      0.431069      0.350403      0.168103      0.737993E-01   0.00000      0.350610    
  0.831724E-02   5.11952      0.769292      0.910427      0.593550      0.828166      0.175743      0.822609E-01   1.42172      0.431671      0.417971      0.339181      0.161878      0.707917E-01   0.00000      0.339403    
  0.911966E-02   4.92879      0.760939      0.888953      0.575213      0.801048      0.185726      0.879048E-01   1.37626      0.419443      0.404936      0.328041      0.155770      0.678343E-01   0.00000      0.328278    
  0.999950E-02   4.74263      0.753504      0.868186      0.557173      0.774181      0.196331      0.940053E-01   1.33135      0.407328      0.391968      0.317009      0.149845      0.649515E-01   0.00000      0.317261    
  0.109642E-01   4.56093      0.746678      0.847959      0.539402      0.747593      0.207276      0.100366       1.28699      0.395326      0.379091      0.306094      0.144076      0.621425E-01   0.00000      0.306359    
  0.120220E-01   4.38632      0.740889      0.828629      0.522048      0.721424      0.218841      0.107204       1.24347      0.383494      0.366344      0.295353      0.138554      0.594493E-01   0.00000      0.295631    
  0.131819E-01   4.21665      0.735897      0.809966      0.504963      0.695504      0.230934      0.114462       1.20047      0.371760      0.353662      0.284718      0.133203      0.568344E-01   0.00000      0.285008    
  0.144536E-01   4.05176      0.731675      0.791953      0.488121      0.669807      0.243553      0.122145       1.15793      0.360110      0.341034      0.274179      0.128011      0.542941E-01   0.00000      0.274479    
  0.158481E-01   3.89120      0.728144      0.774530      0.471485      0.644298      0.256659      0.130232       1.11578      0.348526      0.328447      0.263720      0.122959      0.518206E-01   0.00000      0.264030    
  0.173770E-01   3.73488      0.725282      0.757685      0.455037      0.618958      0.270245      0.138727       1.07399      0.336996      0.315893      0.253335      0.118040      0.494117E-01   0.00000      0.253653    
  0.190535E-01   3.58307      0.723120      0.741456      0.438771      0.593786      0.284348      0.147670       1.03256      0.325515      0.303368      0.243023      0.113256      0.470707E-01   0.00000      0.243347    
  0.208917E-01   3.43554      0.721603      0.725809      0.422662      0.568761      0.298941      0.157049      0.991423      0.314066      0.290863      0.232774      0.108596      0.447936E-01   0.00000      0.233104    
  0.229073E-01   3.29186      0.720649      0.710685      0.406680      0.543859      0.313968      0.166826      0.950540      0.302638      0.278372      0.222580      0.104042      0.425736E-01   0.00000      0.222914    
  0.251174E-01   3.15191      0.720214      0.696060      0.390806      0.519073      0.329408      0.176988      0.909879      0.291219      0.265892      0.212437      0.995872E-01  0.404086E-01   0.00000      0.212772    
  0.275406E-01   3.01589      0.720293      0.681954      0.375031      0.494404      0.345263      0.187550      0.869435      0.279800      0.253421      0.202345      0.952307E-01  0.383016E-01   0.00000      0.202681    
  0.301976E-01   2.88348      0.720804      0.668310      0.359331      0.469846      0.361474      0.198464      0.829176      0.268370      0.240961      0.192301      0.909602E-01  0.362484E-01   0.00000      0.192636    
  0.331110E-01   2.75429      0.721654      0.655062      0.343685      0.445392      0.377969      0.209670      0.789077      0.256923      0.228513      0.182303      0.867622E-01  0.342435E-01   0.00000      0.182635    
  0.363055E-01   2.62813      0.722775      0.642165      0.328080      0.421048      0.394695      0.221117      0.749128      0.245451      0.216084      0.172352      0.826289E-01  0.322852E-01   0.00000      0.172680    
  0.398081E-01   2.50512      0.724104      0.629599      0.312505      0.396840      0.411599      0.232759      0.709345      0.233946      0.203684      0.162459      0.785588E-01  0.303766E-01   0.00000      0.162779    
  0.436487E-01   2.38486      0.725534      0.617278      0.296949      0.372781      0.428585      0.244497      0.669730      0.222408      0.191327      0.152627      0.745411E-01  0.285137E-01   0.00000      0.152940    
  0.478598E-01   2.26699      0.726963      0.605119      0.281404      0.348888      0.445559      0.256231      0.630292      0.210838      0.179028      0.142864      0.705664E-01  0.266927E-01   0.00000      0.143168    
  0.524772E-01   2.15129      0.728294      0.593044      0.265867      0.325191      0.462426      0.267853      0.591058      0.199238      0.166804      0.133182      0.666297E-01  0.249128E-01   0.00000      0.133474    
  0.575400E-01   2.03774      0.729385      0.580956      0.250342      0.301761      0.479043      0.279195      0.552103      0.187612      0.154695      0.123608      0.627301E-01  0.231779E-01   0.00000      0.123888    
  0.630913E-01   1.92597      0.730118      0.568739      0.234836      0.278637      0.495282      0.290102      0.513473      0.175974      0.142727      0.114158      0.588622E-01  0.214852E-01   0.00000      0.114425    
  0.691782E-01   1.81567      0.730384      0.556282      0.219362      0.255863      0.511022      0.300419      0.475225      0.164339      0.130928      0.104850      0.550227E-01  0.198329E-01   0.00000      0.105102    
  0.758523E-01   1.70664      0.730055      0.543462      0.203938      0.233502      0.526116      0.309960      0.437440      0.152726      0.119336      0.957091E-01  0.512120E-01  0.182216E-01   0.00000      0.959449E-01
  0.831703E-01   1.59882      0.728887      0.530067      0.188604      0.211696      0.540283      0.318371      0.400300      0.141168      0.108027      0.867918E-01  0.474361E-01  0.166580E-01   0.00000      0.870111E-01
  0.911943E-01   1.49195      0.726767      0.515962      0.173395      0.190500      0.553372      0.325462      0.363895      0.129697      0.970360E-01  0.781215E-01  0.436977E-01  0.151407E-01   0.00000      0.783238E-01
  0.999925E-01   1.38558      0.723650      0.501056      0.158304      0.169892      0.565346      0.331164      0.328196      0.118317      0.863582E-01  0.696887E-01  0.399867E-01  0.136601E-01   0.00000      0.698736E-01
  0.109639       1.28013      0.719265      0.485141      0.143445      0.150086      0.575820      0.335055      0.293531      0.107111      0.761040E-01  0.615806E-01  0.363337E-01  0.122339E-01   0.00000      0.617479E-01
  0.120217       1.17568      0.713225      0.467889      0.128916      0.131293      0.584309      0.336596      0.260209      0.961572E-01  0.663880E-01  0.538827E-01  0.327588E-01  0.108720E-01   0.00000      0.540326E-01
  0.131815       1.07215      0.705459      0.449241      0.114751      0.113503      0.590708      0.335738      0.228254      0.854855E-01  0.572084E-01  0.465922E-01  0.292657E-01  0.956950E-02   0.00000      0.467249E-01
  0.144533      0.969813      0.695602      0.428960      0.101057      0.968730E-01  0.594546      0.332087      0.197930      0.751789E-01  0.486493E-01  0.397732E-01  0.258776E-01  0.833445E-02   0.00000      0.398893E-01
  0.158477      0.868947      0.683439      0.406975      0.879028E-01  0.814501E-01  0.595536      0.325525      0.169353      0.652918E-01  0.407350E-01  0.334457E-01  0.226110E-01  0.716934E-02   0.00000      0.335458E-01
  0.173766      0.770126      0.668472      0.383090      0.754194E-01  0.673853E-01  0.593053      0.315705      0.142805      0.559232E-01  0.335446E-01  0.276721E-01  0.194962E-01  0.608364E-02   0.00000      0.277571E-01
  0.190530      0.673852      0.650421      0.357342      0.636738E-01  0.546856E-01  0.586747      0.302656      0.118359      0.471233E-01  0.270792E-01  0.224561E-01  0.165505E-01  0.507927E-02   0.00000      0.225271E-01
  0.208912      0.581030      0.628619      0.329652      0.528082E-01  0.434747E-01  0.575811      0.286177      0.962829E-01  0.389992E-01  0.214010E-01  0.178492E-01  0.138090E-01  0.416611E-02   0.00000      0.179075E-01
  0.229067      0.492326      0.602736      0.300226      0.428693E-01  0.337011E-01  0.559866      0.266525      0.765704E-01  0.315837E-01  0.164786E-01  0.138314E-01  0.112856E-01  0.334418E-02   0.00000      0.138782E-01
