   4.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   5.36375      0.824391       1.30987      0.820034       1.30514      0.435772E-02  0.473340E-02   2.12517      0.737399      0.737719      0.567487      0.826348E-01   0.00000       0.00000      0.567417    
  0.109648E-03   5.33752      0.812085       1.29056      0.807419       1.28553      0.466597E-02  0.502945E-02   2.09295      0.726566      0.726909      0.558688      0.808532E-01   0.00000       0.00000      0.558617    
  0.120226E-03   5.31029      0.800124       1.27166      0.795113       1.26631      0.501072E-02  0.535600E-02   2.06142      0.715942      0.716313      0.550066      0.791704E-01   0.00000       0.00000      0.549995    
  0.131825E-03   5.28265      0.788305       1.25294      0.782932       1.24725      0.537242E-02  0.569651E-02   2.03018      0.705404      0.705803      0.541517      0.775277E-01   0.00000       0.00000      0.541444    
  0.144543E-03   5.25444      0.776690       1.23447      0.770931       1.22841      0.575841E-02  0.605701E-02   1.99934      0.694989      0.695417      0.533070      0.759425E-01   0.00000       0.00000      0.532996    
  0.158489E-03   5.22547      0.765355       1.21634      0.759173       1.20989      0.618204E-02  0.644803E-02   1.96906      0.684738      0.685200      0.524764      0.744351E-01   0.00000       0.00000      0.524689    
  0.173779E-03   5.19612      0.754160       1.19837      0.747535       1.19152      0.662551E-02  0.685500E-02   1.93905      0.674569      0.675066      0.516526      0.729658E-01   0.00000       0.00000      0.516451    
  0.190545E-03   5.16606      0.743234       1.18073      0.736125       1.17343      0.710952E-02  0.729436E-02   1.90956      0.664555      0.665090      0.508421      0.715696E-01   0.00000       0.00000      0.508345    
  0.208928E-03   5.13545      0.732522       1.16334      0.724892       1.15558      0.762955E-02  0.776206E-02   1.88047      0.654662      0.655238      0.500419      0.702299E-01   0.00000       0.00000      0.500342    
  0.229085E-03   5.10450      0.721947       1.14612      0.713774       1.13787      0.817314E-02  0.824827E-02   1.85165      0.644848      0.645466      0.492483      0.689267E-01   0.00000       0.00000      0.492406    
  0.251186E-03   5.07271      0.711709       1.12930      0.702928       1.12052      0.878026E-02  0.878372E-02   1.82344      0.635218      0.635885      0.484707      0.677099E-01   0.00000       0.00000      0.484630    
  0.275420E-03   5.04058      0.701616       1.11265      0.692198       1.10331      0.941847E-02  0.934289E-02   1.79551      0.625668      0.626386      0.476999      0.665296E-01   0.00000       0.00000      0.476922    
  0.301992E-03   5.00799      0.691721       1.09623      0.681623       1.08630      0.100985E-01  0.993397E-02   1.76792      0.616224      0.616996      0.469382      0.653983E-01   0.00000       0.00000      0.469305    
  0.331127E-03   4.97475      0.682112       1.08016      0.671266       1.06958      0.108463E-01  0.105760E-01   1.74085      0.606930      0.607761      0.461895      0.643355E-01   0.00000       0.00000      0.461819    
  0.363073E-03   4.94120      0.672642       1.06424      0.661013       1.05300      0.116292E-01  0.112442E-01   1.71401      0.597708      0.598601      0.454471      0.633052E-01   0.00000       0.00000      0.454395    
  0.398101E-03   4.90707      0.663438       1.04863      0.650955       1.03667      0.124824E-01  0.119643E-01   1.68762      0.588620      0.589581      0.447164      0.623357E-01   0.00000       0.00000      0.447088    
  0.436509E-03   4.87249      0.654455       1.03328      0.641054       1.02055      0.134008E-01  0.127320E-01   1.66161      0.579640      0.580675      0.439951      0.614144E-01   0.00000       0.00000      0.439877    
  0.478622E-03   4.83762      0.645613       1.01810      0.631252       1.00457      0.143609E-01  0.135300E-01   1.63582      0.570728      0.571840      0.432799      0.605234E-01   0.00000       0.00000      0.432726    
  0.524798E-03   4.80209      0.637108       1.00330      0.621676      0.988889      0.154314E-01  0.144072E-01   1.61056      0.561975      0.563173      0.425788      0.597015E-01   0.00000       0.00000      0.425715    
  0.575429E-03   4.76627      0.628760      0.988673      0.612201      0.973349      0.165586E-01  0.153245E-01   1.58555      0.553291      0.554581      0.418839      0.589097E-01   0.00000       0.00000      0.418768    
  0.630945E-03   4.73008      0.620610      0.974275      0.602852      0.957983      0.177575E-01  0.162924E-01   1.56084      0.544697      0.546083      0.411969      0.581556E-01   0.00000       0.00000      0.411900    
