   5.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   6.87090      0.967902       1.44737      0.963701       1.44632      0.420073E-02  0.104892E-02   2.41002      0.808514      0.808306      0.638103      0.155187       0.00000       0.00000      0.638017    
  0.109648E-03   6.81787      0.952464       1.42483      0.947965       1.42370      0.449888E-02  0.112359E-02   2.37167      0.796245      0.796020      0.627772      0.151720       0.00000       0.00000      0.627684    
  0.120226E-03   6.76384      0.937442       1.40274      0.932609       1.40153      0.483255E-02  0.120802E-02   2.33414      0.784218      0.783973      0.617649      0.148391       0.00000       0.00000      0.617560    
  0.131825E-03   6.70942      0.922591       1.38084      0.917408       1.37955      0.518273E-02  0.129708E-02   2.29695      0.772290      0.772024      0.607612      0.145118       0.00000       0.00000      0.607521    
  0.144543E-03   6.65444      0.907985       1.35921      0.902429       1.35782      0.555657E-02  0.139279E-02   2.26025      0.760504      0.760215      0.597696      0.141925       0.00000       0.00000      0.597604    
  0.158489E-03   6.59872      0.893718       1.33795      0.887751       1.33645      0.596710E-02  0.149902E-02   2.22420      0.748909      0.748595      0.587945      0.138842       0.00000       0.00000      0.587851    
  0.173779E-03   6.54264      0.879617       1.31686      0.873220       1.31525      0.639700E-02  0.161089E-02   2.18847      0.737408      0.737067      0.578275      0.135812       0.00000       0.00000      0.578180    
  0.190545E-03   6.48590      0.865839       1.29612      0.858973       1.29438      0.686647E-02  0.173436E-02   2.15335      0.726088      0.725718      0.568760      0.132884       0.00000       0.00000      0.568664    
  0.208928E-03   6.42865      0.852317       1.27564      0.844946       1.27378      0.737114E-02  0.186842E-02   2.11872      0.714909      0.714507      0.559366      0.130037       0.00000       0.00000      0.559269    
  0.229085E-03   6.37108      0.838961       1.25535      0.831062       1.25334      0.789884E-02  0.200940E-02   2.08440      0.703820      0.703385      0.550050      0.127241       0.00000       0.00000      0.549952    
  0.251186E-03   6.31277      0.826005       1.23547      0.817516       1.23330      0.848871E-02  0.216953E-02   2.05081      0.692948      0.692475      0.540920      0.124568       0.00000       0.00000      0.540821    
  0.275420E-03   6.25416      0.813225       1.21576      0.804116       1.21342      0.910905E-02  0.233928E-02   2.01754      0.682168      0.681655      0.531869      0.121947       0.00000       0.00000      0.531770    
  0.301992E-03   6.19514      0.800679       1.19630      0.790909       1.19378      0.977034E-02  0.252197E-02   1.98469      0.671513      0.670957      0.522925      0.119396       0.00000       0.00000      0.522825    
  0.331127E-03   6.13557      0.788474       1.17719      0.777976       1.17446      0.104981E-01  0.272622E-02   1.95244      0.661032      0.660429      0.514131      0.116944       0.00000       0.00000      0.514031    
  0.363073E-03   6.07575      0.776435       1.15823      0.765175       1.15529      0.112605E-01  0.294185E-02   1.92047      0.650636      0.649982      0.505409      0.114539       0.00000       0.00000      0.505309    
  0.398101E-03   6.01546      0.764711       1.13959      0.752619       1.13641      0.120918E-01  0.318045E-02   1.88903      0.640397      0.639689      0.496822      0.112222       0.00000       0.00000      0.496722    
  0.436509E-03   5.95481      0.753249       1.12120      0.740262       1.11776      0.129872E-01  0.344098E-02   1.85802      0.630286      0.629518      0.488344      0.109976       0.00000       0.00000      0.488245    
  0.478622E-03   5.89393      0.741954       1.10298      0.728030       1.09926      0.139238E-01  0.371563E-02   1.82729      0.620255      0.619425      0.479935      0.107774       0.00000       0.00000      0.479837    
  0.524798E-03   5.83255      0.731056       1.08513      0.716087       1.08110      0.149690E-01  0.402853E-02   1.79719      0.610412      0.609510      0.471686      0.105676       0.00000       0.00000      0.471588    
