   5.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   6.87370      0.966894       1.44532      0.962705       1.44435      0.418984E-02  0.977641E-03   2.40705      0.807512      0.807214      0.637217      0.155192       0.00000       0.00000      0.637132    
  0.109648E-03   6.82010      0.951504       1.42285      0.947016       1.42180      0.448736E-02  0.104662E-02   2.36882      0.795294      0.794971      0.626916      0.151722       0.00000       0.00000      0.626828    
  0.120226E-03   6.76550      0.936526       1.40082      0.931706       1.39970      0.482034E-02  0.112463E-02   2.33140      0.783317      0.782966      0.616821      0.148389       0.00000       0.00000      0.616732    
  0.131825E-03   6.71052      0.921720       1.37898      0.916550       1.37778      0.516981E-02  0.120692E-02   2.29433      0.771438      0.771058      0.606810      0.145112       0.00000       0.00000      0.606719    
  0.144543E-03   6.65497      0.907157       1.35741      0.901614       1.35612      0.554290E-02  0.129536E-02   2.25773      0.759699      0.759288      0.596920      0.141915       0.00000       0.00000      0.596828    
  0.158489E-03   6.59869      0.892930       1.33620      0.886978       1.33480      0.595263E-02  0.139355E-02   2.22178      0.748151      0.747705      0.587194      0.138827       0.00000       0.00000      0.587100    
  0.173779E-03   6.54205      0.878870       1.31516      0.872488       1.31367      0.638169E-02  0.149696E-02   2.18615      0.736697      0.736213      0.577548      0.135791       0.00000       0.00000      0.577453    
  0.190545E-03   6.48475      0.865131       1.29447      0.858280       1.29286      0.685027E-02  0.161116E-02   2.15114      0.725422      0.724898      0.568056      0.132859       0.00000       0.00000      0.567959    
  0.208928E-03   6.42695      0.851646       1.27404      0.844292       1.27230      0.735401E-02  0.173519E-02   2.11660      0.714287      0.713719      0.558683      0.130005       0.00000       0.00000      0.558586    
  0.229085E-03   6.36883      0.838326       1.25378      0.830445       1.25192      0.788074E-02  0.186568E-02   2.08236      0.703242      0.702628      0.549388      0.127203       0.00000       0.00000      0.549290    
  0.251186E-03   6.30997      0.825405       1.23394      0.816936       1.23193      0.846956E-02  0.201400E-02   2.04886      0.692413      0.691747      0.540278      0.124523       0.00000       0.00000      0.540179    
  0.275420E-03   6.25081      0.812659       1.21427      0.803570       1.21210      0.908880E-02  0.217132E-02   2.01567      0.681675      0.680954      0.531245      0.121895       0.00000       0.00000      0.531146    
  0.301992E-03   6.19125      0.800147       1.19484      0.790398       1.19250      0.974895E-02  0.234071E-02   1.98290      0.671061      0.670281      0.522318      0.119337       0.00000       0.00000      0.522218    
  0.331127E-03   6.13114      0.787973       1.17575      0.777498       1.17322      0.104755E-01  0.253028E-02   1.95071      0.660621      0.659776      0.513540      0.116877       0.00000       0.00000      0.513440    
  0.363073E-03   6.07078      0.775965       1.15681      0.764728       1.15408      0.112366E-01  0.273054E-02   1.91881      0.650264      0.649351      0.504833      0.114464       0.00000       0.00000      0.504733    
  0.398101E-03   6.00996      0.764270       1.13819      0.752203       1.13524      0.120666E-01  0.295234E-02   1.88744      0.640065      0.639076      0.496259      0.112138       0.00000       0.00000      0.496159    
  0.436509E-03   5.94878      0.752837       1.11981      0.739876       1.11662      0.129606E-01  0.319479E-02   1.85649      0.629992      0.628922      0.487793      0.109884       0.00000       0.00000      0.487694    
  0.478622E-03   5.88737      0.741569       1.10159      0.727673       1.09814      0.138957E-01  0.345051E-02   1.82581      0.620000      0.618844      0.479395      0.107673       0.00000       0.00000      0.479296    
  0.524798E-03   5.82547      0.730698       1.08374      0.715759       1.08000      0.149394E-01  0.374232E-02   1.79576      0.610193      0.608941      0.471154      0.105565       0.00000       0.00000      0.471056    
  0.575429E-03   5.76337      0.720011       1.06606      0.703972       1.06200      0.160391E-01  0.405332E-02   1.76597      0.600470      0.599116      0.462983      0.103503       0.00000       0.00000      0.462886    
  0.630945E-03   5.70100      0.709557       1.04858      0.692347       1.04419      0.172094E-01  0.438856E-02   1.73654      0.590850      0.589388      0.454900      0.101497       0.00000       0.00000      0.454805    
  0.691816E-03   5.63827      0.699458       1.03142      0.680958       1.02665      0.184998E-01  0.476626E-02   1.70761      0.581384      0.579801      0.446945      0.995739E-01   0.00000       0.00000      0.446852    
  0.758561E-03   5.57538      0.689529       1.01440      0.669678       1.00924      0.198516E-01  0.516619E-02   1.67892      0.571989      0.570279      0.439049      0.976889E-01   0.00000       0.00000      0.438958    
  0.831745E-03   5.51220      0.679921      0.997661      0.658598      0.992051      0.213230E-01  0.560987E-02   1.65065      0.562725      0.560877      0.431262      0.958736E-01   0.00000       0.00000      0.431174    
  0.911989E-03   5.44879      0.670595      0.981150      0.647684      0.975052      0.229106E-01  0.609740E-02   1.62274      0.553569      0.551571      0.423566      0.941153E-01   0.00000       0.00000      0.423481    
  0.999975E-03   5.38525      0.661443      0.964781      0.636872      0.958168      0.245711E-01  0.661267E-02   1.59504      0.544480      0.542326      0.415924      0.923919E-01   0.00000       0.00000      0.415843    
  0.109645E-02   5.32141      0.652708      0.948742      0.626288      0.941541      0.264202E-01  0.720170E-02   1.56783      0.535542      0.533212      0.408407      0.907460E-01   0.00000       0.00000      0.408329    
  0.120223E-02   5.25745      0.644179      0.932860      0.615808      0.925028      0.283715E-01  0.783202E-02   1.54084      0.526673      0.524157      0.400945      0.891348E-01   0.00000       0.00000      0.400871    
  0.131822E-02   5.19333      0.635894      0.917164      0.605450      0.908653      0.304440E-01  0.851134E-02   1.51410      0.517886      0.515172      0.393550      0.875649E-01   0.00000       0.00000      0.393480    
  0.144540E-02   5.12900      0.628007      0.901758      0.595276      0.892477      0.327312E-01  0.928059E-02   1.48775      0.509221      0.506289      0.386253      0.860550E-01   0.00000       0.00000      0.386188    
  0.158485E-02   5.06456      0.620309      0.886486      0.585182      0.876390      0.351267E-01  0.100963E-01   1.46157      0.500611      0.497449      0.379000      0.845716E-01   0.00000       0.00000      0.378940    
