   3.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03  0.970475      0.607493       1.10781      0.603055       1.10203      0.443799E-02  0.578963E-02   1.70508      0.636551      0.636773      0.465299      -.334953E-01   0.00000       0.00000      0.465252    
  0.109648E-03   1.13451      0.601615       1.09441      0.596864       1.08828      0.475182E-02  0.613303E-02   1.68514      0.628600      0.628839      0.459485      -.317363E-01   0.00000       0.00000      0.459437    
  0.120226E-03   1.28584      0.595792       1.08113      0.590689       1.07462      0.510260E-02  0.650978E-02   1.66531      0.620713      0.620972      0.453697      -.300240E-01   0.00000       0.00000      0.453649    
  0.131825E-03   1.43222      0.589996       1.06791      0.584526       1.06101      0.547052E-02  0.690171E-02   1.64553      0.612855      0.613134      0.447923      -.283295E-01   0.00000       0.00000      0.447874    
  0.144543E-03   1.57148      0.584241       1.05477      0.578378       1.04746      0.586300E-02  0.731538E-02   1.62583      0.605038      0.605338      0.442167      -.266607E-01   0.00000       0.00000      0.442118    
  0.158489E-03   1.70148      0.578549       1.04176      0.572256       1.03400      0.629347E-02  0.776204E-02   1.60625      0.597281      0.597604      0.436442      -.250248E-01   0.00000       0.00000      0.436392    
  0.173779E-03   1.82702      0.572893       1.02881      0.566149       1.02058      0.674398E-02  0.822589E-02   1.58673      0.589554      0.589902      0.430733      -.234048E-01   0.00000       0.00000      0.430683    
  0.190545E-03   1.94415      0.567308       1.01599      0.560072       1.00727      0.723537E-02  0.872454E-02   1.56734      0.581887      0.582262      0.425057      -.218144E-01   0.00000       0.00000      0.425006    
  0.208928E-03   2.05500      0.561786       1.00329      0.554023      0.994032      0.776304E-02  0.925347E-02   1.54806      0.574269      0.574674      0.419410      -.202463E-01   0.00000       0.00000      0.419359    
  0.229085E-03   2.16178      0.556306      0.990651      0.547992      0.980849      0.831444E-02  0.980218E-02   1.52884      0.566684      0.567119      0.413781      -.186925E-01   0.00000       0.00000      0.413730    
  0.251186E-03   2.25922      0.550937      0.978202      0.542007      0.967799      0.892974E-02  0.104032E-01   1.50981      0.559179      0.559649      0.408201      -.171719E-01   0.00000       0.00000      0.408150    
