   10.0000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   10.1345       1.33966       1.82166       1.33369       1.81556      0.596583E-02  0.609905E-02   3.14925      0.990855      0.991310      0.824370      0.342835       0.00000       0.00000      0.824252    
  0.109648E-03   10.1274       1.31939       1.79411       1.31302       1.78765      0.636632E-02  0.646387E-02   3.10066      0.975857      0.976345      0.811419      0.337163       0.00000       0.00000      0.811300    
  0.120226E-03   10.1068       1.29922       1.76673       1.29241       1.75986      0.681172E-02  0.686448E-02   3.05227      0.960941      0.961464      0.798517      0.331469       0.00000       0.00000      0.798397    
  0.131825E-03   10.0811       1.27912       1.73943       1.27184       1.73215      0.727786E-02  0.728139E-02   3.00399      0.946065      0.946626      0.785643      0.325774       0.00000       0.00000      0.785521    
  0.144543E-03   10.0480       1.25910       1.71226       1.25132       1.70453      0.777372E-02  0.772165E-02   2.95586      0.931248      0.931849      0.772809      0.320076       0.00000       0.00000      0.772685    
  0.158489E-03   10.0054       1.23923       1.68529       1.23091       1.67709      0.831536E-02  0.819736E-02   2.90800      0.916525      0.917169      0.760043      0.314387       0.00000       0.00000      0.759919    
  0.173779E-03   9.95841       1.21944       1.65842       1.21055       1.64973      0.888106E-02  0.869155E-02   2.86028      0.901850      0.902541      0.747314      0.308704       0.00000       0.00000      0.747189    
  0.190545E-03   9.90306       1.19981       1.63178       1.19032       1.62256      0.949579E-02  0.922319E-02   2.81287      0.887277      0.888018      0.734664      0.303040       0.00000       0.00000      0.734539    
  0.208928E-03   9.84161       1.18034       1.60533       1.17019       1.59554      0.101538E-01  0.978742E-02   2.76573      0.872791      0.873586      0.722084      0.297398       0.00000       0.00000      0.721959    
  0.229085E-03   9.77623       1.16097       1.57901       1.15013       1.56864      0.108402E-01  0.103729E-01   2.71877      0.858363      0.859213      0.709551      0.291770       0.00000       0.00000      0.709425    
  0.251186E-03   9.70206       1.14187       1.55303       1.13027       1.54201      0.116024E-01  0.110148E-01   2.67228      0.844084      0.844996      0.697141      0.286188       0.00000       0.00000      0.697016    
  0.275420E-03   9.62437       1.12291       1.52720       1.11050       1.51552      0.124017E-01  0.116837E-01   2.62602      0.829875      0.830852      0.684790      0.280629       0.00000       0.00000      0.684665    
  0.301992E-03   9.54196       1.10411       1.50159       1.09086       1.48920      0.132505E-01  0.123888E-01   2.58006      0.815758      0.816805      0.672518      0.275102       0.00000       0.00000      0.672394    
  0.331127E-03   9.45332       1.08559       1.47630       1.07141       1.46315      0.141794E-01  0.131517E-01   2.53456      0.801784      0.802906      0.660369      0.269628       0.00000       0.00000      0.660246    
  0.363073E-03   9.36181       1.06721       1.45119       1.05206       1.43724      0.151498E-01  0.139441E-01   2.48930      0.787880      0.789082      0.648282      0.264181       0.00000       0.00000      0.648160    
  0.398101E-03   9.26506       1.04910       1.42639       1.03290       1.41159      0.162025E-01  0.147950E-01   2.44450      0.774112      0.775400      0.636315      0.258789       0.00000       0.00000      0.636194    
  0.436509E-03   9.16438       1.03124       1.40188       1.01391       1.38618      0.173312E-01  0.156991E-01   2.40008      0.760461      0.761842      0.624453      0.253446       0.00000       0.00000      0.624334    
  0.478622E-03   9.06124       1.01353       1.37754      0.995019       1.36090      0.185087E-01  0.166373E-01   2.35592      0.746885      0.748363      0.612657      0.248134       0.00000       0.00000      0.612541    
  0.524798E-03   8.95275      0.996205       1.35365      0.976391       1.33599      0.198140E-01  0.176635E-01   2.31238      0.733490      0.735075      0.601026      0.242902       0.00000       0.00000      0.600913    
  0.575429E-03   8.84205      0.979071       1.32997      0.957886       1.31124      0.211847E-01  0.187341E-01   2.26913      0.720179      0.721877      0.589473      0.237707       0.00000       0.00000      0.589363    
  0.630945E-03   8.72857      0.962173       1.30657      0.939535       1.28671      0.226380E-01  0.198608E-01   2.22624      0.706975      0.708794      0.578019      0.232560       0.00000       0.00000      0.577912    
  0.691816E-03   8.61133      0.945655       1.28358      0.921424       1.26250      0.242303E-01  0.210804E-01   2.18393      0.693936      0.695885      0.566719      0.227489       0.00000       0.00000      0.566616    
  0.758561E-03   8.49243      0.929322       1.26080      0.903428       1.23846      0.258936E-01  0.223470E-01   2.14188      0.680974      0.683062      0.555492      0.222454       0.00000       0.00000      0.555393    
  0.831745E-03   8.37056      0.913342       1.23841      0.885647       1.21471      0.276943E-01  0.237040E-01   2.10035      0.668160      0.670396      0.544405      0.217488       0.00000       0.00000      0.544311    
