   8317.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   80.9529       6.57761       9.40026       6.56352       9.38928      0.140867E-01  0.109825E-01   15.9528       3.57847       3.57957       3.42452       2.98506       2.38539       0.00000       3.42432    
  0.109648E-03   78.0675       6.37246       9.10402       6.35753       9.09243      0.149302E-01  0.115934E-01   15.4500       3.47097       3.47214       3.31900       2.88656       2.30148       0.00000       3.31880    
  0.120226E-03   75.3062       6.17511       8.81914       6.15925       8.80688      0.158559E-01  0.122587E-01   14.9661       3.36738       3.36863       3.21736       2.79187       2.22109       0.00000       3.21716    
  0.131825E-03   72.5947       5.98091       8.53887       5.96409       8.52592      0.168189E-01  0.129487E-01   14.4900       3.26538       3.26671       3.11730       2.69871       2.14211       0.00000       3.11710    
  0.144543E-03   69.9547       5.79125       8.26518       5.77341       8.25151      0.178353E-01  0.136738E-01   14.0249       3.16564       3.16705       3.01949       2.60777       2.06516       0.00000       3.01929    
  0.158489E-03   67.4106       5.60771       8.00040       5.58878       7.98595      0.189327E-01  0.144518E-01   13.5747       3.06898       3.07047       2.92473       2.51980       1.99094       0.00000       2.92453    
  0.173779E-03   64.9131       5.42717       7.73996       5.40709       7.72470      0.200722E-01  0.152572E-01   13.1318       2.97381       2.97539       2.83146       2.43329       1.91805       0.00000       2.83126    
  0.190545E-03   62.5051       5.25238       7.48787       5.23108       7.47175      0.212968E-01  0.161177E-01   12.7028       2.88151       2.88320       2.74104       2.34957       1.84770       0.00000       2.74085    
  0.208928E-03   60.1657       5.08205       7.24221       5.05945       7.22519      0.225954E-01  0.170257E-01   12.2846       2.79145       2.79324       2.65284       2.26801       1.77930       0.00000       2.65265    
  0.229085E-03   57.8709       4.91461       7.00074       4.89066       6.98278      0.239423E-01  0.179646E-01   11.8734       2.70282       2.70472       2.56607       2.18785       1.71218       0.00000       2.56588    
  0.251186E-03   55.6806       4.75401       6.76915       4.72859       6.75017      0.254164E-01  0.189845E-01   11.4788       2.61760       2.61962       2.48270       2.11099       1.64803       0.00000       2.48251    
  0.275420E-03   53.5346       4.59633       6.54175       4.56938       6.52171      0.269512E-01  0.200426E-01   11.0911       2.53384       2.53598       2.40076       2.03554       1.58515       0.00000       2.40058    
  0.301992E-03   51.4479       4.44256       6.32000       4.41399       6.29885      0.285678E-01  0.211523E-01   10.7128       2.45202       2.45429       2.32077       1.96197       1.52396       0.00000       2.32059    
  0.331127E-03   49.4444       4.29432       6.10618       4.26401       6.08384      0.303135E-01  0.223426E-01   10.3478       2.37294       2.37535       2.24351       1.89107       1.46515       0.00000       2.24333    
  0.363073E-03   47.4805       4.14873       5.89616       4.11660       5.87258      0.321252E-01  0.235740E-01   9.98918       2.29518       2.29773       2.16755       1.82142       1.40747       0.00000       2.16738    
  0.398101E-03   45.5907       4.00810       5.69326       3.97404       5.66837      0.340672E-01  0.248860E-01   9.64241       2.21987       2.22259       2.09404       1.75416       1.35191       0.00000       2.09388    
  0.436509E-03   43.7604       3.87150       5.49610       3.83537       5.46983      0.361271E-01  0.262702E-01   9.30520       2.14655       2.14943       2.02251       1.68882       1.29805       0.00000       2.02235    
  0.478622E-03   41.9676       3.73742       5.30257       3.69916       5.27487      0.382623E-01  0.277005E-01   8.97403       2.07448       2.07753       1.95222       1.62469       1.24526       0.00000       1.95208    
  0.524798E-03   40.2613       3.60925       5.11744       3.56866       5.08819      0.405916E-01  0.292485E-01   8.65685       2.00531       2.00854       1.88483       1.56335       1.19496       0.00000       1.88469    
