   6464.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   84.3851       6.93622       9.82799       6.92202       9.82282      0.141982E-01  0.517885E-02   16.7448       3.75944       3.75870       3.60355       3.16258       2.46077       0.00000       3.60334    
  0.109648E-03   81.2600       6.70731       9.50053       6.69226       9.49503      0.150443E-01  0.549901E-02   16.1873       3.63995       3.63916       3.48590       3.05231       2.37019       0.00000       3.48569    
  0.120226E-03   78.2805       6.48820       9.18711       6.47223       9.18126      0.159721E-01  0.585294E-02   15.6535       3.52539       3.52454       3.37315       2.94684       2.28378       0.00000       3.37294    
  0.131825E-03   75.3593       6.27304       8.87931       6.25610       8.87309      0.169369E-01  0.622241E-02   15.1292       3.41282       3.41190       3.26237       2.84329       2.19903       0.00000       3.26216    
  0.144543E-03   72.5215       6.06352       8.57958       6.04556       8.57296      0.179549E-01  0.661413E-02   14.6185       3.30308       3.30209       3.15440       2.74249       2.11668       0.00000       3.15420    
  0.158489E-03   69.7947       5.86155       8.29061       5.84250       8.28357      0.190531E-01  0.704000E-02   14.1261       3.19713       3.19607       3.05021       2.64537       2.03750       0.00000       3.05000    
  0.173779E-03   67.1218       5.66326       8.00688       5.64306       7.99940      0.201932E-01  0.748378E-02   13.6425       3.09303       3.09189       2.94784       2.55003       1.95987       0.00000       2.94763    
  0.190545E-03   64.5517       5.47199       7.73315       5.45057       7.72518      0.214178E-01  0.796399E-02   13.1758       2.99245       2.99123       2.84897       2.45812       1.88519       0.00000       2.84876    
  0.208928E-03   62.0600       5.28611       7.46707       5.26340       7.45860      0.227156E-01  0.847627E-02   12.7220       2.89458       2.89326       2.75278       2.36882       1.81276       0.00000       2.75258    
  0.229085E-03   59.6192       5.10373       7.20596       5.07967       7.19695      0.240612E-01  0.900950E-02   12.2766       2.79845       2.79704       2.65833       2.28122       1.74178       0.00000       2.65813    
  0.251186E-03   57.2971       4.92954       6.95648       4.90401       6.94688      0.255328E-01  0.959874E-02   11.8509       2.70643       2.70492       2.56796       2.19758       1.67421       0.00000       2.56776    
