   6464.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   77.6076       6.31636       9.00255       6.30163       8.99773      0.147361E-01  0.481432E-02   15.2994       3.44651       3.44538       3.29173       2.85511       2.26082       0.00000       3.29153    
  0.109648E-03   74.8999       6.12417       8.72443       6.10856       8.71932      0.156069E-01  0.511248E-02   14.8279       3.34563       3.34442       3.19258       2.76293       2.18253       0.00000       3.19237    
  0.120226E-03   72.3025       5.93879       8.45628       5.92223       8.45084      0.165608E-01  0.544240E-02   14.3731       3.24817       3.24687       3.09681       2.67407       2.10737       0.00000       3.09660    
  0.131825E-03   69.7499       5.75621       8.19220       5.73865       8.18642      0.175524E-01  0.578696E-02   13.9251       3.15210       3.15071       3.00243       2.58655       2.03348       0.00000       3.00222    
  0.144543E-03   67.2613       5.57762       7.93395       5.55902       7.92780      0.185979E-01  0.615247E-02   13.4868       3.05805       3.05655       2.91004       2.50098       1.96142       0.00000       2.90983    
  0.158489E-03   64.8592       5.40449       7.68363       5.38477       7.67708      0.197251E-01  0.655021E-02   13.0618       2.96672       2.96512       2.82036       2.41804       1.89181       0.00000       2.82015    
  0.173779E-03   62.4993       5.23404       7.43719       5.21315       7.43022      0.208946E-01  0.696487E-02   12.6434       2.87674       2.87503       2.73200       2.33641       1.82341       0.00000       2.73179    
  0.190545E-03   60.2204       5.06876       7.19823       5.04661       7.19081      0.221498E-01  0.741399E-02   12.2374       2.78934       2.78751       2.64621       2.25727       1.75731       0.00000       2.64600    
  0.208928E-03   58.0041       4.90751       6.96508       4.88403       6.95718      0.234793E-01  0.789349E-02   11.8412       2.70396       2.70199       2.56241       2.18007       1.69299       0.00000       2.56220    
  0.229085E-03   55.8283       4.74887       6.73570       4.72402       6.72731      0.248571E-01  0.839286E-02   11.4513       2.61988       2.61778       2.47990       2.10413       1.62984       0.00000       2.47969    
  0.251186E-03   53.7482       4.59647       6.51528       4.57011       6.50633      0.263624E-01  0.894541E-02   11.0764       2.53891       2.53666       2.40047       2.03119       1.56941       0.00000       2.40026    
  0.275420E-03   51.7088       4.44674       6.29867       4.41881       6.28915      0.279284E-01  0.952381E-02   10.7080       2.45927       2.45686       2.32235       1.95954       1.51014       0.00000       2.32215    
  0.301992E-03   49.7240       4.30060       6.08721       4.27102       6.07708      0.295760E-01  0.101370E-01   10.3481       2.38142       2.37884       2.24600       1.88960       1.45243       0.00000       2.24581    
  0.331127E-03   47.8158       4.15955       5.88301       4.12820       5.87221      0.313524E-01  0.108060E-01   10.0004       2.30609       2.30333       2.17216       1.82211       1.39691       0.00000       2.17197    
  0.363073E-03   45.9443       4.02094       5.68229       3.98775       5.67079      0.331945E-01  0.115039E-01   9.65854       2.23197       2.22902       2.09951       1.75578       1.34244       0.00000       2.09932    
  0.398101E-03   44.1415       3.88695       5.48812       3.85178       5.47586      0.351663E-01  0.122594E-01   9.32764       2.16014       2.15698       2.02912       1.69164       1.28993       0.00000       2.02894    
  0.436509E-03   42.3939       3.75669       5.29923       3.71943       5.28616      0.372550E-01  0.130678E-01   9.00559       2.09015       2.08678       1.96055       1.62929       1.23901       0.00000       1.96038    
