   4.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   6.48857      0.869454       1.36206      0.864719       1.36091      0.473483E-02  0.114391E-02   2.22563      0.765751      0.765489      0.595495      0.989683E-01   0.00000       0.00000      0.595424    
  0.109648E-03   6.48671      0.856932       1.34136      0.851867       1.34013      0.506467E-02  0.122882E-02   2.19199      0.754372      0.754088      0.586110      0.974951E-01   0.00000       0.00000      0.586038    
  0.120226E-03   6.47863      0.844665       1.32099      0.839232       1.31967      0.543276E-02  0.132500E-02   2.15890      0.743177      0.742869      0.576871      0.960554E-01   0.00000       0.00000      0.576798    
  0.131825E-03   6.46813      0.832507       1.30077      0.826688       1.29934      0.581858E-02  0.142654E-02   2.12603      0.732058      0.731724      0.567694      0.946302E-01   0.00000       0.00000      0.567619    
  0.144543E-03   6.45417      0.820503       1.28075      0.814274       1.27921      0.622978E-02  0.153573E-02   2.09349      0.721048      0.720686      0.558604      0.932257E-01   0.00000       0.00000      0.558528    
  0.158489E-03   6.43574      0.808721       1.26101      0.802040       1.25936      0.668023E-02  0.165703E-02   2.06140      0.710190      0.709797      0.549636      0.918509E-01   0.00000       0.00000      0.549559    
  0.173779E-03   6.41516      0.797048       1.24142      0.789897       1.23963      0.715134E-02  0.178480E-02   2.02953      0.699406      0.698981      0.540728      0.904910E-01   0.00000       0.00000      0.540651    
  0.190545E-03   6.39057      0.785593       1.22209      0.777928       1.22017      0.766461E-02  0.192589E-02   1.99809      0.688768      0.688307      0.531938      0.891602E-01   0.00000       0.00000      0.531860    
  0.208928E-03   6.36300      0.774313       1.20299      0.766098       1.20091      0.821523E-02  0.207908E-02   1.96700      0.678245      0.677745      0.523242      0.878529E-01   0.00000       0.00000      0.523162    
  0.229085E-03   6.33350      0.763148       1.18402      0.754357       1.18178      0.879030E-02  0.224019E-02   1.93614      0.667797      0.667256      0.514605      0.865608E-01   0.00000       0.00000      0.514525    
  0.251186E-03   6.29965      0.752266       1.16540      0.742835       1.16298      0.943109E-02  0.242312E-02   1.90581      0.657529      0.656942      0.506116      0.853059E-01   0.00000       0.00000      0.506035    
  0.275420E-03   6.26402      0.741510       1.14693      0.731406       1.14431      0.101040E-01  0.261696E-02   1.87572      0.647339      0.646704      0.497690      0.840670E-01   0.00000       0.00000      0.497609    
  0.301992E-03   6.22601      0.730924       1.12866      0.720104       1.12584      0.108200E-01  0.282547E-02   1.84594      0.637254      0.636567      0.489349      0.828499E-01   0.00000       0.00000      0.489268    
  0.331127E-03   6.18479      0.720590       1.11068      0.708985       1.10763      0.116057E-01  0.305834E-02   1.81661      0.627321      0.626575      0.481132      0.816639E-01   0.00000       0.00000      0.481051    
  0.363073E-03   6.14208      0.710380       1.09285      0.697953       1.08955      0.124276E-01  0.330403E-02   1.78750      0.617460      0.616654      0.472974      0.804927E-01   0.00000       0.00000      0.472893    
  0.398101E-03   6.09662      0.700409       1.07529      0.687087       1.07171      0.133216E-01  0.357555E-02   1.75880      0.607737      0.606864      0.464928      0.793498E-01   0.00000       0.00000      0.464847    
  0.436509E-03   6.04906      0.690639       1.05795      0.676357       1.05408      0.142823E-01  0.387161E-02   1.73043      0.598128      0.597182      0.456975      0.782296E-01   0.00000       0.00000      0.456894    
  0.478622E-03   6.00016      0.680999       1.04075      0.665713       1.03657      0.152857E-01  0.418345E-02   1.70228      0.588589      0.587568      0.449079      0.771238E-01   0.00000       0.00000      0.448999    
  0.524798E-03   5.94832      0.671672       1.02389      0.655270       1.01935      0.164018E-01  0.453785E-02   1.67462      0.579219      0.578112      0.441321      0.760510E-01   0.00000       0.00000      0.441242    
  0.575429E-03   5.89523      0.662493       1.00719      0.644917       1.00227      0.175756E-01  0.491470E-02   1.64719      0.569924      0.568727      0.433624      0.749928E-01   0.00000       0.00000      0.433546    
  0.630945E-03   5.84056      0.653501      0.990679      0.634679      0.985359      0.188225E-01  0.531991E-02   1.62004      0.560726      0.559431      0.426004      0.739530E-01   0.00000       0.00000      0.425928    
  0.691816E-03   5.78369      0.644801      0.974467      0.624608      0.968693      0.201927E-01  0.577438E-02   1.59330      0.551669      0.550268      0.418500      0.729394E-01   0.00000       0.00000      0.418425    
  0.758561E-03   5.72582      0.636243      0.958396      0.614617      0.952141      0.216260E-01  0.625448E-02   1.56676      0.542679      0.541165      0.411049      0.719378E-01   0.00000       0.00000      0.410977    
  0.831745E-03   5.66615      0.627952      0.942588      0.604770      0.935803      0.231818E-01  0.678487E-02   1.54057      0.533812      0.532175      0.403699      0.709580E-01   0.00000       0.00000      0.403628    
  0.911989E-03   5.60505      0.619901      0.927006      0.595045      0.919641      0.248559E-01  0.736523E-02   1.51469      0.525049      0.523279      0.396431      0.699954E-01   0.00000       0.00000      0.396363    
  0.999975E-03   5.54308      0.611998      0.911566      0.585394      0.903589      0.266043E-01  0.797712E-02   1.48898      0.516351      0.514440      0.389215      0.690435E-01   0.00000       0.00000      0.389149    
  0.109645E-02   5.47922      0.604456      0.896455      0.575912      0.887783      0.285442E-01  0.867223E-02   1.46369      0.507798      0.505730      0.382115      0.681142E-01   0.00000       0.00000      0.382052    
  0.120223E-02   5.41452      0.597095      0.881503      0.566508      0.872090      0.305873E-01  0.941348E-02   1.43860      0.499313      0.497080      0.375069      0.671945E-01   0.00000       0.00000      0.375010    
  0.131822E-02   5.34882      0.589949      0.866740      0.557196      0.856531      0.327527E-01  0.102095E-01   1.41373      0.490910      0.488499      0.368087      0.662863E-01   0.00000       0.00000      0.368032    
  0.144540E-02   5.28170      0.583157      0.852277      0.548023      0.841172      0.351342E-01  0.111050E-01   1.38919      0.482629      0.480022      0.361201      0.653935E-01   0.00000       0.00000      0.361150    
  0.158485E-02   5.21393      0.576535      0.837955      0.538911      0.825904      0.376242E-01  0.120515E-01   1.36481      0.474404      0.471592      0.354359      0.645071E-01   0.00000       0.00000      0.354312    
  0.173775E-02   5.14506      0.570231      0.823891      0.529911      0.810795      0.403198E-01  0.130956E-01   1.34071      0.466280      0.463243      0.347594      0.636314E-01   0.00000       0.00000      0.347552    
  0.190540E-02   5.07526      0.564226      0.810060      0.521004      0.795819      0.432222E-01  0.142407E-01   1.31682      0.458241      0.454962      0.340895      0.627631E-01   0.00000       0.00000      0.340857    
  0.208923E-02   5.00492      0.558404      0.796372      0.512152      0.780923      0.462520E-01  0.154485E-01   1.29308      0.450254      0.446721      0.334235      0.618989E-01   0.00000       0.00000      0.334202    
  0.229079E-02   4.93341      0.553022      0.783012      0.503420      0.766195      0.496019E-01  0.168176E-01   1.26961      0.442379      0.438563      0.327659      0.610414E-01   0.00000       0.00000      0.327631    
  0.251180E-02   4.86137      0.547874      0.769822      0.494742      0.751542      0.531322E-01  0.182804E-01   1.24628      0.434557      0.430442      0.321121      0.601854E-01   0.00000       0.00000      0.321099    
  0.275413E-02   4.78872      0.542989      0.756820      0.486125      0.736973      0.568636E-01  0.198476E-01   1.22310      0.426794      0.422362      0.314626      0.593311E-01   0.00000       0.00000      0.314611    
