   8317.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   80.8345       6.56989       9.38150       6.55526       9.37638      0.146252E-01  0.512280E-02   15.9316       3.57629       3.57527       3.41950       2.97897       2.38181       0.00000       3.41930    
  0.109648E-03   77.9628       6.36621       9.08661       6.35072       9.08118      0.154922E-01  0.543937E-02   15.4319       3.46958       3.46848       3.31461       2.88114       2.29829       0.00000       3.31441    
  0.120226E-03   75.2131       6.17012       8.80280       6.15368       8.79701      0.164423E-01  0.578939E-02   14.9507       3.36667       3.36550       3.21350       2.78701       2.21822       0.00000       3.21330    
  0.131825E-03   72.5126       5.97713       8.52349       5.95970       8.51734      0.174301E-01  0.615481E-02   14.4770       3.26532       3.26406       3.11393       2.69438       2.13955       0.00000       3.11372    
  0.144543E-03   69.8826       5.78857       8.25062       5.77010       8.24407      0.184719E-01  0.654228E-02   14.0142       3.16619       3.16484       3.01656       2.60391       2.06289       0.00000       3.01635    
  0.158489E-03   67.3473       5.60602       7.98645       5.58643       7.97949      0.195953E-01  0.696362E-02   13.5659       3.07007       3.06862       2.92216       2.51636       1.98892       0.00000       2.92196    
  0.173779E-03   64.8582       5.42642       7.72655       5.40566       7.71915      0.207612E-01  0.740271E-02   13.1248       2.97542       2.97387       2.82923       2.43024       1.91626       0.00000       2.82902    
  0.190545E-03   62.4574       5.25247       7.47483       5.23046       7.46695      0.220128E-01  0.787795E-02   12.6974       2.88360       2.88194       2.73910       2.34686       1.84612       0.00000       2.73890    
  0.208928E-03   60.1246       5.08292       7.22944       5.05958       7.22105      0.233387E-01  0.838500E-02   12.2806       2.79398       2.79220       2.65115       2.26561       1.77791       0.00000       2.65094    
  0.229085E-03   57.8360       4.91622       6.98815       4.89151       6.97924      0.247131E-01  0.891286E-02   11.8708       2.70578       2.70388       2.56461       2.18573       1.71097       0.00000       2.56440    
  0.251186E-03   55.6510       4.75628       6.75659       4.73007       6.74709      0.262152E-01  0.949633E-02   11.4772       2.62095       2.61891       2.48140       2.10912       1.64698       0.00000       2.48120    
  0.275420E-03   53.5099       4.59923       6.52915       4.57145       6.51904      0.277781E-01  0.101068E-01   11.0905       2.53756       2.53538       2.39962       2.03389       1.58425       0.00000       2.39942    
  0.301992E-03   51.4279       4.44606       6.30727       4.41663       6.29652      0.294229E-01  0.107535E-01   10.7131       2.45610       2.45377       2.31975       1.96053       1.52320       0.00000       2.31955    
  0.331127E-03   49.4284       4.29836       6.09321       4.26717       6.08176      0.311967E-01  0.114584E-01   10.3489       2.37736       2.37486       2.24257       1.88981       1.46451       0.00000       2.24238    
  0.363073E-03   47.4682       4.15329       5.88290       4.12026       5.87070      0.330365E-01  0.121934E-01   9.99096       2.29992       2.29725       2.16668       1.82034       1.40696       0.00000       2.16649    
  0.398101E-03   45.5819       4.01317       5.67961       3.97816       5.66663      0.350063E-01  0.129881E-01   9.64479       2.22493       2.22208       2.09321       1.75323       1.35151       0.00000       2.09303    
  0.436509E-03   43.7546       3.87704       5.48199       3.83994       5.46815      0.370935E-01  0.138378E-01   9.30810       2.15192       2.14887       2.02170       1.68803       1.29776       0.00000       2.02153    
  0.478622E-03   41.9648       3.74343       5.28795       3.70417       5.27323      0.392557E-01  0.147227E-01   8.97740       2.08015       2.07689       1.95142       1.62403       1.24508       0.00000       1.95125    
  0.524798E-03   40.2611       3.61570       5.10221       3.57409       5.08651      0.416109E-01  0.156997E-01   8.66060       2.01127       2.00779       1.88400       1.56282       1.19488       0.00000       1.88385    
  0.575429E-03   38.5956       3.49060       4.92018       3.44654       4.90345      0.440625E-01  0.167237E-01   8.35000       1.94368       1.93997       1.81787       1.50286       1.14577       0.00000       1.81771    
  0.630945E-03   36.9785       3.36883       4.74282       3.32219       4.72501      0.466358E-01  0.178068E-01   8.04721       1.87773       1.87377       1.75334       1.44446       1.09805       0.00000       1.75319    
  0.691816E-03   35.4317       3.25195       4.57232       3.20254       4.55333      0.494092E-01  0.189894E-01   7.75587       1.81416       1.80994       1.69117       1.38837       1.05235       0.00000       1.69104    
  0.758561E-03   33.9178       3.13736       4.40503       3.08508       4.38481      0.522830E-01  0.202225E-01   7.46989       1.75172       1.74721       1.63011       1.33336       1.00760       0.00000       1.62999    
  0.831745E-03   32.4642       3.02701       4.24365       2.97166       4.22210      0.553497E-01  0.215535E-01   7.19376       1.69133       1.68653       1.57109       1.28033      0.964592       0.00000       1.57098    
