   10.0000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   14.4424       1.53906       2.01886       1.53273       2.01704      0.632605E-02  0.181805E-02   3.54977       1.09232       1.09199      0.925166      0.440415       0.00000       0.00000      0.925046    
  0.109648E-03   14.2535       1.50971       1.98139       1.50296       1.97944      0.674601E-02  0.194261E-02   3.48240       1.07255       1.07220      0.907364      0.430410       0.00000       0.00000      0.907242    
  0.120226E-03   14.0610       1.48102       1.94465       1.47380       1.94257      0.721227E-02  0.208238E-02   3.41637       1.05317       1.05279      0.889905      0.420637       0.00000       0.00000      0.889782    
  0.131825E-03   13.8672       1.45260       1.90822       1.44490       1.90599      0.769987E-02  0.222930E-02   3.35089       1.03394       1.03353      0.872589      0.410960       0.00000       0.00000      0.872464    
  0.144543E-03   13.6715       1.42458       1.87223       1.41636       1.86984      0.821803E-02  0.238644E-02   3.28620       1.01494       1.01449      0.855479      0.401422       0.00000       0.00000      0.855352    
  0.158489E-03   13.4737       1.39711       1.83685       1.38833       1.83429      0.878317E-02  0.255960E-02   3.22262      0.996251      0.995767      0.838652      0.392077       0.00000       0.00000      0.838523    
  0.173779E-03   13.2749       1.36992       1.80177       1.36055       1.79903      0.937298E-02  0.274127E-02   3.15958      0.977718      0.977194      0.821966      0.382827       0.00000       0.00000      0.821836    
  0.190545E-03   13.0743       1.34326       1.76728       1.33325       1.76434      0.100130E-01  0.294040E-02   3.09759      0.959486      0.958919      0.805553      0.373764       0.00000       0.00000      0.805422    
  0.208928E-03   12.8727       1.31704       1.73326       1.30634       1.73010      0.106972E-01  0.315524E-02   3.03644      0.941492      0.940878      0.789357      0.364848       0.00000       0.00000      0.789225    
  0.229085E-03   12.6704       1.29109       1.69954       1.27968       1.69616      0.114104E-01  0.338037E-02   2.97584      0.923653      0.922989      0.773302      0.356028       0.00000       0.00000      0.773169    
