   8317.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   81.2077       6.59834       9.41891       6.58304       9.41347      0.153045E-01  0.544249E-02   15.9965       3.58824       3.58735       3.43301       2.99480       2.39332       0.00000       3.43281    
  0.109648E-03   78.3198       6.39342       9.12228       6.37722       9.11650      0.162023E-01  0.577796E-02   15.4937       3.48087       3.47992       3.32748       2.89635       2.30930       0.00000       3.32728    
  0.120226E-03   75.5547       6.19617       8.83682       6.17899       8.83067      0.171851E-01  0.614860E-02   15.0097       3.37736       3.37633       3.22577       2.80163       2.22878       0.00000       3.22556    
  0.131825E-03   72.8392       6.00204       8.55590       5.98383       8.54936      0.182063E-01  0.653540E-02   14.5332       3.27541       3.27430       3.12560       2.70843       2.14966       0.00000       3.12539    
  0.144543E-03   70.1947       5.81238       8.28147       5.79310       8.27453      0.192827E-01  0.694534E-02   14.0676       3.17570       3.17451       3.02765       2.61740       2.07257       0.00000       3.02745    
  0.158489E-03   67.6456       5.62878       8.01583       5.60834       8.00844      0.204422E-01  0.739076E-02   13.6168       3.07902       3.07775       2.93272       2.52932       1.99818       0.00000       2.93251    
  0.173779E-03   65.1430       5.44815       7.75449       5.42651       7.74664      0.216449E-01  0.785477E-02   13.1731       2.98384       2.98247       2.83925       2.44267       1.92512       0.00000       2.83905    
  0.190545E-03   62.7294       5.27323       7.50140       5.25030       7.49304      0.229349E-01  0.835659E-02   12.7433       2.89150       2.89004       2.74862       2.35880       1.85459       0.00000       2.74841    
  0.208928E-03   60.3843       5.10274       7.25469       5.07844       7.24580      0.243004E-01  0.889163E-02   12.3242       2.80138       2.79982       2.66017       2.27706       1.78601       0.00000       2.65997    
  0.229085E-03   58.0835       4.93513       7.01212       4.90941       7.00268      0.257151E-01  0.944840E-02   11.9121       2.71270       2.71102       2.57315       2.19671       1.71870       0.00000       2.57295    
  0.251186E-03   55.8873       4.77433       6.77935       4.74707       6.76929      0.272594E-01  0.100631E-01   11.5164       2.62742       2.62562       2.48950       2.11965       1.65437       0.00000       2.48930    
  0.275420E-03   53.7351       4.61644       6.55074       4.58757       6.54004      0.288654E-01  0.107059E-01   11.1276       2.54358       2.54165       2.40727       2.04399       1.59131       0.00000       2.40708    
  0.301992E-03   51.6424       4.46246       6.32774       4.43190       6.31635      0.305542E-01  0.113864E-01   10.7483       2.46169       2.45963       2.32698       1.97021       1.52994       0.00000       2.32679    
  0.331127E-03   49.6328       4.31400       6.11262       4.28162       6.10049      0.323735E-01  0.121273E-01   10.3821       2.38254       2.38033       2.24940       1.89908       1.47094       0.00000       2.24922    
  0.363073E-03   47.6628       4.16818       5.90127       4.13392       5.88837      0.342595E-01  0.128994E-01   10.0223       2.30470       2.30234       2.17312       1.82922       1.41308       0.00000       2.17294    
  0.398101E-03   45.7671       4.02735       5.69701       3.99107       5.68327      0.362768E-01  0.137335E-01   9.67434       2.22934       2.22681       2.09929       1.76174       1.35735       0.00000       2.09911    
  0.436509E-03   43.9308       3.89054       5.49845       3.85212       5.48382      0.384125E-01  0.146243E-01   9.33595       2.15595       2.15325       2.02742       1.69617       1.30333       0.00000       2.02724    
  0.478622E-03   42.1322       3.75627       5.30350       3.71564       5.28795      0.406237E-01  0.155514E-01   9.00359       2.08383       2.08095       1.95679       1.63181       1.25038       0.00000       1.95662    
  0.524798E-03   40.4203       3.62792       5.11692       3.58489       5.10034      0.430291E-01  0.165736E-01   8.68523       2.01462       2.01154       1.88905       1.57027       1.19992       0.00000       1.88889    
  0.575429E-03   38.7468       3.50222       4.93407       3.45669       4.91642      0.455315E-01  0.176440E-01   8.37311       1.94671       1.94342       1.82259       1.50998       1.15056       0.00000       1.82244    
  0.630945E-03   37.1219       3.37987       4.75593       3.33171       4.73715      0.481561E-01  0.187754E-01   8.06886       1.88045       1.87693       1.75776       1.45127       1.10260       0.00000       1.75762    
  0.691816E-03   35.5679       3.26244       4.58470       3.21146       4.56469      0.509814E-01  0.200088E-01   7.77615       1.81659       1.81283       1.69531       1.39487       1.05668       0.00000       1.69518    
  0.758561E-03   34.0468       3.14732       4.41671       3.09342       4.39542      0.539072E-01  0.212939E-01   7.48883       1.75385       1.74985       1.63398       1.33956       1.01171       0.00000       1.63386    
  0.831745E-03   32.5865       3.03647       4.25467       2.97944       4.23199      0.570263E-01  0.226792E-01   7.21143       1.69320       1.68892       1.57469       1.28625      0.968482       0.00000       1.57458    
  0.911989E-03   31.1767       2.92920       4.09762       2.86887       4.07346      0.603261E-01  0.241602E-01   6.94233       1.63427       1.62971       1.51712       1.23460      0.926715       0.00000       1.51703    
  0.999975E-03   29.7981       2.82414       3.94364       2.76040       3.91794      0.637391E-01  0.257013E-01   6.67834       1.57642       1.57157       1.46061       1.18398      0.885844       0.00000       1.46053    
  0.109645E-02   28.4900       2.72414       3.79666       2.65670       3.76927      0.674353E-01  0.273954E-01   6.42597       1.52100       1.51582       1.40651       1.13570      0.847010       0.00000       1.40643    
  0.120223E-02   27.2147       2.62651       3.65296       2.55523       3.62379      0.712791E-01  0.291709E-01   6.17902       1.46671       1.46120       1.35352       1.08852      0.809122       0.00000       1.35346    
  0.131822E-02   25.9783       2.53170       3.51314       2.45640       3.48209      0.752979E-01  0.310431E-01   5.93849       1.41378       1.40791       1.30187       1.04262      0.772358       0.00000       1.30182    
  0.144540E-02   24.8010       2.44122       3.37926       2.36160       3.34617      0.796150E-01  0.330836E-01   5.70777       1.36290       1.35665       1.25225      0.998707      0.737304       0.00000       1.25222    
  0.158485E-02   23.6507       2.35273       3.24809       2.26865       3.21289      0.840784E-01  0.352079E-01   5.48153       1.31296       1.30631       1.20356      0.955694      0.703030       0.00000       1.20354    
  0.173775E-02   22.5490       2.26783       3.12184       2.17902       3.08435      0.888155E-01  0.374901E-01   5.26337       1.26471       1.25765       1.15654      0.914309      0.670162       0.00000       1.15654    
  0.190540E-02   21.4894       2.18610       2.99986       2.09228       2.95994      0.938177E-01  0.399289E-01   5.05221       1.21794       1.21043       1.11097      0.874342      0.638515       0.00000       1.11099    
  0.208923E-02   20.4550       2.10626       2.88046       2.00728       2.83800      0.989820E-01  0.424637E-01   4.84527       1.17205       1.16408       1.06628      0.835225      0.607600       0.00000       1.06632    
  0.229079E-02   19.4769       2.03069       2.76682       1.92615       2.72158      0.104541      0.452371E-01   4.64773       1.12814       1.11967       1.02355      0.798009      0.578317       0.00000       1.02360    
  0.251180E-02   18.5261       1.95722       2.65600       1.84690       2.60785      0.110313      0.481424E-01   4.45476       1.08519       1.07620      0.981757      0.761718      0.549829       0.00000      0.981825    
  0.275413E-02   17.6058       1.88609       2.54832       1.76977       2.49712      0.116322      0.511949E-01   4.26689       1.04331       1.03378      0.941027      0.726460      0.522226       0.00000      0.941113    
  0.301984E-02   16.7339       1.81873       2.44567       1.69598       2.39115      0.122750      0.545130E-01   4.08714       1.00314      0.993033      0.901983      0.692848      0.496033       0.00000      0.902087    
  0.331118E-02   15.8836       1.75307       2.34527       1.62370       2.28731      0.129377      0.579602E-01   3.91100      0.963727      0.953026      0.863692      0.659970      0.470468       0.00000      0.863814    
  0.363064E-02   15.0713       1.69042       2.24885       1.55405       2.18721      0.136368      0.616439E-01   3.74126      0.925660      0.914328      0.826728      0.628391      0.446013       0.00000      0.826868    
  0.398091E-02   14.2933       1.63051       2.15606       1.48679       2.09050      0.143719      0.655688E-01   3.57729      0.888807      0.876812      0.790965      0.597986      0.422560       0.00000      0.791123    
  0.436498E-02   13.5354       1.57222       2.06540       1.42093       1.99576      0.151285      0.696384E-01   3.41669      0.852664      0.839987      0.755904      0.568269      0.399695       0.00000      0.756080    
  0.478610E-02   12.8214       1.51749       1.97941       1.35813       1.90536      0.159355      0.740549E-01   3.26349      0.818073      0.804670      0.722380      0.540060      0.378115       0.00000      0.722575    
  0.524785E-02   12.1296       1.46460       1.89583       1.29689       1.81716      0.167705      0.786689E-01   3.11405      0.784272      0.770118      0.689640      0.512620      0.357190       0.00000      0.689851    
  0.575415E-02   11.4613       1.41363       1.81476       1.23728       1.73127      0.176347      0.834899E-01   2.96855      0.751298      0.736368      0.657719      0.485987      0.336952       0.00000      0.657949    
  0.630929E-02   10.8316       1.36590       1.73790       1.18039       1.64921      0.185514      0.886929E-01   2.82960      0.719695      0.703946      0.627162      0.460696      0.317855       0.00000      0.627408    
  0.691799E-02   10.2188       1.31960       1.66290       1.12468       1.56882      0.194920      0.940750E-01   2.69350      0.688689      0.672102      0.597200      0.435992      0.299257       0.00000      0.597462    
  0.758542E-02   9.63521       1.27577       1.59110       1.07102       1.49132      0.204750      0.997750E-01   2.56234      0.658716      0.641257      0.568267      0.412304      0.281521       0.00000      0.568544    
  0.831724E-02   9.07891       1.23429       1.52235       1.01929       1.41654      0.215001      0.105802       2.43583      0.629711      0.611350      0.540303      0.389575      0.264598       0.00000      0.540595    
  0.911966E-02   8.53646       1.19402       1.45516      0.968535       1.34315      0.225486      0.112012       2.31168      0.601200      0.581918      0.512833      0.367335      0.248089       0.00000      0.513140    
  0.999950E-02   8.01181       1.15553       1.39015      0.919088       1.27156      0.236440      0.118592       2.19065      0.573340      0.553103      0.486017      0.345749      0.232123       0.00000      0.486336    
  0.109642E-01   7.50989       1.11888       1.32762      0.871223       1.20222      0.247662      0.125394       2.07345      0.546271      0.525064      0.459999      0.324952      0.216830       0.00000      0.460331    
  0.120220E-01   7.04247       1.08513       1.26891      0.825779       1.13632      0.259350      0.132589       1.96210      0.520411      0.498208      0.435206      0.305368      0.202565       0.00000      0.435548    
  0.131819E-01   6.59698       1.05331       1.21274      0.781904       1.07264      0.271408      0.140104       1.85454      0.495331      0.472114      0.411208      0.286573      0.188965       0.00000      0.411560    
  0.144536E-01   6.17240       1.02335       1.15902      0.739534       1.01109      0.283815      0.147929       1.75062      0.470995      0.446753      0.387976      0.268539      0.176001       0.00000      0.388335    
  0.158481E-01   5.76657      0.995047       1.10750      0.698520      0.951467      0.296527      0.156034       1.64999      0.447329      0.422053      0.365437      0.251191      0.163612       0.00000      0.365802    
  0.173770E-01   5.37889      0.968351       1.05814      0.658827      0.893729      0.309524      0.164408       1.55256      0.424312      0.398001      0.343576      0.234515      0.151781       0.00000      0.343946    
  0.190535E-01   5.01041      0.943345       1.01107      0.620544      0.838008      0.322801      0.173057       1.45855      0.401987      0.374646      0.322444      0.218557      0.140546       0.00000      0.322817    
  0.208917E-01   4.66004      0.919916      0.966167      0.583600      0.784215      0.336316      0.181951       1.36782      0.380317      0.351958      0.302008      0.203283      0.129874       0.00000      0.302383    
  0.229073E-01   4.32598      0.897891      0.923234      0.547876      0.732190      0.350015      0.191044       1.28007      0.359241      0.329886      0.282214      0.188635      0.119716       0.00000      0.282588    
  0.251174E-01   4.00771      0.877202      0.882208      0.513346      0.681905      0.363856      0.200304       1.19525      0.338747      0.308423      0.263052      0.174599      0.110057       0.00000      0.263425    
  0.275406E-01   3.70626      0.857900      0.843210      0.480104      0.633513      0.377796      0.209697       1.11362      0.318877      0.287629      0.244581      0.161227      0.100934       0.00000      0.244950    
  0.301976E-01   3.42048      0.839846      0.806093      0.448080      0.586930      0.391766      0.219163       1.03501      0.299597      0.267480      0.226772      0.148482      0.923150E-01   0.00000      0.227135    
  0.331110E-01   3.14891      0.822879      0.770667      0.417179      0.542033      0.405700      0.228633      0.959212      0.280862      0.247939      0.209582      0.136317      0.841560E-01   0.00000      0.209938    
  0.363055E-01   2.89112      0.806914      0.736859      0.387386      0.498817      0.419528      0.238042      0.886203      0.262663      0.229011      0.193012      0.124723      0.764463E-01   0.00000      0.193359    
  0.398081E-01   2.64811      0.791952      0.704749      0.358805      0.457462      0.433147      0.247286      0.816267      0.245052      0.210773      0.177131      0.113752      0.692219E-01   0.00000      0.177467    
  0.436487E-01   2.41873      0.777831      0.674156      0.331366      0.417889      0.446465      0.256267      0.749255      0.227998      0.193205      0.161911      0.103368      0.624484E-01   0.00000      0.162236    
  0.478598E-01   2.20183      0.764399      0.644897      0.304998      0.380008      0.459401      0.264890      0.685006      0.211467      0.176283      0.147323      0.935307E-01  0.560900E-01   0.00000      0.147634    
  0.524772E-01   1.99705      0.751547      0.616872      0.279694      0.343831      0.471853      0.273041      0.623525      0.195460      0.160024      0.133374      0.842342E-01  0.501369E-01   0.00000      0.133670    
