   5.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   4.41436      0.905493       1.39121      0.900348       1.38989      0.514474E-02  0.131987E-02   2.29024      0.779820      0.779544      0.610436      0.120529       0.00000       0.00000      0.610351    
  0.109648E-03   4.53640      0.894876       1.37296      0.889378       1.37154      0.549789E-02  0.141510E-02   2.26092      0.769662      0.769364      0.602263      0.119716       0.00000       0.00000      0.602176    
  0.120226E-03   4.64333      0.884239       1.35472      0.878348       1.35319      0.589140E-02  0.152263E-02   2.23154      0.759528      0.759204      0.594077      0.118820       0.00000       0.00000      0.593989    
  0.131825E-03   4.74438      0.873607       1.33649      0.867303       1.33486      0.630358E-02  0.163599E-02   2.20216      0.749409      0.749057      0.585891      0.117894       0.00000       0.00000      0.585801    
  0.144543E-03   4.83702      0.862980       1.31830      0.856237       1.31654      0.674249E-02  0.175767E-02   2.17278      0.739311      0.738930      0.577704      0.116926       0.00000       0.00000      0.577613    
  0.158489E-03   4.91874      0.852384       1.30017      0.845161       1.29828      0.722266E-02  0.189248E-02   2.14344      0.729253      0.728839      0.569528      0.115908       0.00000       0.00000      0.569436    
  0.173779E-03   4.99524      0.841808       1.28207      0.834083       1.28003      0.772455E-02  0.203429E-02   2.11412      0.719216      0.718768      0.561359      0.114867       0.00000       0.00000      0.561265    
  0.190545E-03   5.06192      0.831282       1.26404      0.823011       1.26185      0.827070E-02  0.219051E-02   2.08487      0.709225      0.708740      0.553208      0.113786       0.00000       0.00000      0.553114    
  0.208928E-03   5.12129      0.820811       1.24609      0.811955       1.24373      0.885601E-02  0.235976E-02   2.05569      0.699277      0.698751      0.545079      0.112678       0.00000       0.00000      0.544983    
  0.229085E-03   5.17594      0.810376       1.22819      0.800909       1.22565      0.946694E-02  0.253756E-02   2.02656      0.689357      0.688788      0.536963      0.111552       0.00000       0.00000      0.536866    
  0.251186E-03   5.21984      0.800051       1.21043      0.789904       1.20769      0.101467E-01  0.273880E-02   1.99759      0.679512      0.678895      0.528888      0.110392       0.00000       0.00000      0.528792    
  0.275420E-03   5.25936      0.789783       1.19273      0.778923       1.18977      0.108599E-01  0.295175E-02   1.96870      0.669704      0.669036      0.520836      0.109220       0.00000       0.00000      0.520739    
  0.301992E-03   5.29298      0.779593       1.17512      0.767974       1.17194      0.116182E-01  0.318044E-02   1.93991      0.659943      0.659221      0.512812      0.108031       0.00000       0.00000      0.512715    
  0.331127E-03   5.31862      0.769533       1.15765      0.757083       1.15422      0.124493E-01  0.343515E-02   1.91130      0.650259      0.649476      0.504837      0.106824       0.00000       0.00000      0.504740    
  0.363073E-03   5.34054      0.759541       1.14026      0.746223       1.13656      0.133181E-01  0.370356E-02   1.88278      0.640613      0.639767      0.496886      0.105609       0.00000       0.00000      0.496789    
  0.398101E-03   5.35559      0.749686       1.12301      0.735424       1.11901      0.142620E-01  0.399949E-02   1.85444      0.631042      0.630125      0.488985      0.104382       0.00000       0.00000      0.488888    
  0.436509E-03   5.36533      0.739957       1.10590      0.724682       1.10157      0.152752E-01  0.432153E-02   1.82626      0.621535      0.620543      0.481127      0.103147       0.00000       0.00000      0.481031    
  0.478622E-03   5.37172      0.730310       1.08886      0.713977       1.08420      0.163329E-01  0.466034E-02   1.79818      0.612070      0.610999      0.473298      0.101907       0.00000       0.00000      0.473203    
  0.524798E-03   5.37065      0.720874       1.07204      0.703367       1.06699      0.175075E-01  0.504428E-02   1.77036      0.602707      0.601546      0.465539      0.100660       0.00000       0.00000      0.465446    
  0.575429E-03   5.36638      0.711544       1.05531      0.692802       1.04986      0.187421E-01  0.545198E-02   1.74266      0.593391      0.592136      0.457815      0.994108E-01   0.00000       0.00000      0.457722    
  0.630945E-03   5.35807      0.702348       1.03871      0.682296       1.03282      0.200523E-01  0.588966E-02   1.71512      0.584137      0.582781      0.450133      0.981590E-01   0.00000       0.00000      0.450043    
  0.691816E-03   5.34411      0.693373       1.02232      0.671882       1.01594      0.214902E-01  0.637930E-02   1.68782      0.574977      0.573509      0.442519      0.969058E-01   0.00000       0.00000      0.442430    
  0.758561E-03   5.32756      0.684507       1.00602      0.661514      0.999128      0.229934E-01  0.689594E-02   1.66064      0.565861      0.564277      0.434937      0.956525E-01   0.00000       0.00000      0.434850    
  0.831745E-03   5.30634      0.675853      0.989916      0.651230      0.982451      0.246230E-01  0.746547E-02   1.63368      0.556831      0.555119      0.427415      0.943993E-01   0.00000       0.00000      0.427332    
  0.911989E-03   5.28137      0.667396      0.973978      0.641021      0.965890      0.263747E-01  0.808744E-02   1.60691      0.547874      0.546023      0.419947      0.931474E-01   0.00000       0.00000      0.419867    
  0.999975E-03   5.25411      0.659062      0.958144      0.630859      0.949402      0.282030E-01  0.874248E-02   1.58026      0.538963      0.536966      0.412512      0.918962E-01   0.00000       0.00000      0.412436    
  0.109645E-02   5.22182      0.651034      0.942565      0.620805      0.933081      0.302285E-01  0.948461E-02   1.55389      0.530158      0.527999      0.405155      0.906476E-01   0.00000       0.00000      0.405082    
  0.120223E-02   5.18729      0.643164      0.927113      0.610804      0.916838      0.323600E-01  0.102749E-01   1.52764      0.521404      0.519073      0.397834      0.894004E-01   0.00000       0.00000      0.397765    
  0.131822E-02   5.15010      0.635483      0.911811      0.600865      0.900689      0.346173E-01  0.111223E-01   1.50155      0.512710      0.510197      0.390556      0.881548E-01   0.00000       0.00000      0.390492    
  0.144540E-02   5.10902      0.628119      0.896755      0.591023      0.884682      0.370962E-01  0.120733E-01   1.47570      0.504111      0.501395      0.383346      0.869115E-01   0.00000       0.00000      0.383287    
  0.158485E-02   5.06622      0.620910      0.881817      0.581224      0.868740      0.396863E-01  0.130773E-01   1.44996      0.495555      0.492627      0.376167      0.856691E-01   0.00000       0.00000      0.376113    
  0.173775E-02   5.02036      0.613992      0.867096      0.571505      0.852913      0.424870E-01  0.141826E-01   1.42442      0.487077      0.483918      0.369044      0.844281E-01   0.00000       0.00000      0.368995    
  0.190540E-02   4.97195      0.607353      0.852576      0.561854      0.837183      0.454990E-01  0.153925E-01   1.39904      0.478667      0.475258      0.361968      0.831875E-01   0.00000       0.00000      0.361925    
  0.208923E-02   4.92203      0.600885      0.838179      0.552244      0.821512      0.486411E-01  0.166673E-01   1.37376      0.470297      0.466627      0.354921      0.819471E-01   0.00000       0.00000      0.354885    
  0.229079E-02   4.86885      0.594833      0.824072      0.542723      0.805964      0.521098E-01  0.181086E-01   1.34869      0.462018      0.458058      0.347936      0.807054E-01   0.00000       0.00000      0.347906    
  0.251180E-02   4.81416      0.589006      0.810118      0.533244      0.790471      0.557620E-01  0.196463E-01   1.32372      0.453782      0.449515      0.340979      0.794620E-01   0.00000       0.00000      0.340957    
  0.275413E-02   4.75776      0.583429      0.796333      0.523810      0.775041      0.596189E-01  0.212917E-01   1.29885      0.445594      0.441001      0.334055      0.782167E-01   0.00000       0.00000      0.334040    
  0.301984E-02   4.69879      0.578296      0.782838      0.514445      0.759698      0.638513E-01  0.231404E-01   1.27414      0.437479      0.432527      0.327178      0.769659E-01   0.00000       0.00000      0.327170    
  0.331118E-02   4.63869      0.573376      0.769480      0.505107      0.744389      0.682688E-01  0.250916E-01   1.24950      0.429395      0.424068      0.320320      0.757116E-01   0.00000       0.00000      0.320321    
  0.363064E-02   4.57664      0.568843      0.756370      0.495817      0.729137      0.730269E-01  0.272331E-01   1.22495      0.421366      0.415633      0.313496      0.744504E-01   0.00000       0.00000      0.313505    
  0.398091E-02   4.51289      0.564702      0.743503      0.486562      0.713925      0.781394E-01  0.295788E-01   1.20049      0.413382      0.407211      0.306697      0.731803E-01   0.00000       0.00000      0.306714    
  0.436498E-02   4.44814      0.560794      0.730781      0.477328      0.698733      0.834657E-01  0.320487E-01   1.17606      0.405424      0.398795      0.299911      0.719045E-01   0.00000       0.00000      0.299937    
  0.478610E-02   4.38128      0.557443      0.718398      0.468129      0.683570      0.893135E-01  0.348288E-01   1.15170      0.397516      0.390384      0.293151      0.706133E-01   0.00000       0.00000      0.293186    
  0.524785E-02   4.31336      0.554407      0.706205      0.458941      0.668409      0.954657E-01  0.377959E-01   1.12735      0.389629      0.381966      0.286398      0.693118E-01   0.00000       0.00000      0.286442    
  0.575415E-02   4.24434      0.551702      0.694209      0.449764      0.653250      0.101937      0.409592E-01   1.10301      0.381765      0.373543      0.279654      0.679996E-01   0.00000       0.00000      0.279707    
  0.630929E-02   4.17351      0.549607      0.682576      0.440592      0.638069      0.109014      0.445072E-01   1.07866      0.373928      0.365093      0.272914      0.666647E-01   0.00000       0.00000      0.272976    
  0.691799E-02   4.10189      0.547799      0.671113      0.431417      0.622868      0.116383      0.482448E-01   1.05428      0.366098      0.356625      0.266171      0.653184E-01   0.00000       0.00000      0.266243    
  0.758542E-02   4.02889      0.546503      0.659952      0.422231      0.607627      0.124272      0.523245E-01   1.02986      0.358280      0.348124      0.259422      0.639511E-01   0.00000       0.00000      0.259503    
  0.831724E-02   3.95458      0.545740      0.649105      0.413023      0.592323      0.132718      0.567823E-01   1.00535      0.350462      0.339574      0.252658      0.625601E-01   0.00000       0.00000      0.252749    
  0.911966E-02   3.87951      0.545285      0.638440      0.403797      0.576978      0.141488      0.614622E-01  0.980775      0.342642      0.330995      0.245884      0.611550E-01   0.00000       0.00000      0.245983    
  0.999950E-02   3.80274      0.545513      0.628170      0.394515      0.561509      0.150998      0.666608E-01  0.956024      0.334800      0.322331      0.239070      0.597149E-01   0.00000       0.00000      0.239178    
  0.109642E-01   3.72528      0.546078      0.618109      0.385210      0.545989      0.160867      0.721204E-01  0.931199      0.326951      0.313629      0.232242      0.582596E-01   0.00000       0.00000      0.232359    
  0.120220E-01   3.64646      0.547277      0.608441      0.375852      0.530356      0.171425      0.780848E-01  0.906208      0.319078      0.304849      0.225381      0.567740E-01   0.00000       0.00000      0.225507    
  0.131819E-01   3.56639      0.549047      0.599125      0.366430      0.514598      0.182617      0.845276E-01  0.881028      0.311172      0.295985      0.218480      0.552588E-01   0.00000       0.00000      0.218613    
  0.144536E-01   3.48503      0.551393      0.590173      0.356936      0.498701      0.194457      0.914719E-01  0.855637      0.303223      0.287028      0.211532      0.537129E-01   0.00000       0.00000      0.211673    
  0.158481E-01   3.40245      0.554284      0.581571      0.347366      0.482664      0.206918      0.989067E-01  0.830030      0.295228      0.277979      0.204537      0.521378E-01   0.00000       0.00000      0.204685    
