   6464.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   78.4778       6.38762       9.10201       6.37257       9.09668      0.150451E-01  0.532962E-02   15.4692       3.48371       3.48284       3.32820       2.88886       2.28584       0.00000       3.32799    
  0.109648E-03   75.7274       6.19175       8.81896       6.17582       8.81330      0.159296E-01  0.565871E-02   14.9891       3.38088       3.37994       3.22720       2.79494       2.20637       0.00000       3.22699    
  0.120226E-03   73.0914       6.00306       8.54636       5.98617       8.54034      0.168981E-01  0.602239E-02   14.5265       3.28165       3.28064       3.12977       2.70452       2.13014       0.00000       3.12956    
  0.131825E-03   70.5015       5.81731       8.27801       5.79940       8.27161      0.179047E-01  0.640197E-02   14.0710       3.18388       3.18280       3.03380       2.61552       2.05522       0.00000       3.03359    
  0.144543E-03   67.9778       5.63574       8.01574       5.61677       8.00894      0.189656E-01  0.680433E-02   13.6257       3.08822       3.08706       2.93990       2.52855       1.98218       0.00000       2.93970    
  0.158489E-03   65.5430       5.45987       7.76171       5.43976       7.75447      0.201089E-01  0.724162E-02   13.1942       2.99541       2.99416       2.84884       2.44435       1.91168       0.00000       2.84863    
  0.173779E-03   63.1517       5.28679       7.51171       5.26549       7.50402      0.212949E-01  0.769723E-02   12.7695       2.90400       2.90266       2.75915       2.36149       1.84241       0.00000       2.75894    
  0.190545E-03   60.8436       5.11908       7.26946       5.09651       7.26127      0.225672E-01  0.819008E-02   12.3578       2.81528       2.81384       2.67213       2.28123       1.77551       0.00000       2.67192    
  0.208928E-03   58.5996       4.95554       7.03320       4.93162       7.02449      0.239142E-01  0.871567E-02   11.9561       2.72864       2.72710       2.58716       2.20298       1.71043       0.00000       2.58696    
  0.229085E-03   56.3971       4.79471       6.80084       4.76940       6.79158      0.253101E-01  0.926267E-02   11.5610       2.64335       2.64170       2.50354       2.12604       1.64654       0.00000       2.50334    
  0.251186E-03   54.2925       4.64031       6.57770       4.61347       6.56783      0.268341E-01  0.986681E-02   11.1813       2.56127       2.55950       2.42309       2.05220       1.58543       0.00000       2.42289    
  0.275420E-03   52.2294       4.48865       6.35848       4.46023       6.34798      0.284192E-01  0.104986E-01   10.8082       2.48056       2.47866       2.34400       1.97968       1.52551       0.00000       2.34380    
  0.301992E-03   50.2220       4.34069       6.14454       4.31061       6.13337      0.300864E-01  0.111677E-01   10.4440       2.40168       2.39966       2.26672       1.90892       1.46718       0.00000       2.26653    
  0.331127E-03   48.2928       4.19796       5.93804       4.16607       5.92614      0.318829E-01  0.118964E-01   10.0922       2.32540       2.32323       2.19201       1.84067       1.41108       0.00000       2.19183    
  0.363073E-03   46.4008       4.05772       5.73509       4.02398       5.72244      0.337455E-01  0.126558E-01   9.74641       2.25036       2.24804       2.11853       1.77361       1.35604       0.00000       2.11835    
  0.398101E-03   44.5788       3.92220       5.53884       3.88647       5.52537      0.357383E-01  0.134765E-01   9.41183       2.17766       2.17517       2.04737       1.70881       1.30300       0.00000       2.04719    
  0.436509E-03   42.8129       3.79050       5.34799       3.75265       5.33364      0.378485E-01  0.143532E-01   9.08629       2.10684       2.10418       1.97806       1.64581       1.25157       0.00000       1.97789    
  0.478622E-03   41.0823       3.66121       5.16054       3.62117       5.14528      0.400336E-01  0.152659E-01   8.76645       2.03721       2.03437       1.90993       1.58396       1.20114       0.00000       1.90977    
  0.524798E-03   39.4337       3.53754       4.98102       3.49513       4.96475      0.424114E-01  0.162724E-01   8.45987       1.97035       1.96731       1.84454       1.52478       1.15306       0.00000       1.84438    
  0.575429E-03   37.8214       3.41638       4.80503       3.37150       4.78771      0.448854E-01  0.173267E-01   8.15921       1.90472       1.90148       1.78037       1.46678       1.10601       0.00000       1.78022    
