!*  ATLAS 8 TeV W⁺+jets
&DATA
  Name = 'ATLAS 8 TeV $W^+$ +jets jet 1 rap'
  Reaction  = 'CC pp'
  
  NDATA = 41
  NColumn = 98
  ColumnType = 'Flag',2*'Bin', 'Sigma',94*'Error'
  ColumnName = 'binFlag','jet1_rap1','jet1_rap2','Sigma','stat const','QCDfitUncert uncor const','UnfoldMCstat uncor const','BkgMCstat uncor const','JetScaleEff1+','JetScaleEff1-','JetScaleEff2+','JetScaleEff2-','JetScaleEff3+','JetScaleEff3-','JetScaleEff4+','JetScaleEff4-','JetScaleEff5+','JetScaleEff5-','JetScaleEff6+','JetScaleEff6-','JetScaleEta1+','JetScaleEta1-','JetScaleEta2+','JetScaleEta2-','JetScaleHighPt+','JetScaleHighPt-','JetScaleMC+','JetScaleMC-','JetScalePileup1+','JetScalePileup1-','JetScalePileup2+','JetScalePileup2-','JetScalePileup3+','JetScalePileup3-','JetScalePileup4+','JetScalePileup4-','JetScaleFlav1Known+','JetScaleFlav1Known-','JetScaleFlav2+','JetScaleFlav2-','JetScaleBjet+','JetScaleBjet-','JetScalepunchT+','JetScalepunchT-','JetResolution10','JetSFBeff+','JetSFBeff-','JetSFCeff+','JetSFCeff-','JetSFLmistag+','JetSFLmistag-','JetSFHighPt+','JetSFHighPt-','JetJVFcut+','JetJVFcut-','ElScaleR12+','ElScaleR12-','ElScaleZee+','ElScaleZee-','ElScalePS+','ElScalePS-','ElResolution','ElSFReco+','ElSFReco-','ElSFId+','ElSFId-','ElSFTrigger+','ElSFTrigger-','ElSFIso+','ElSFIso-','ElSFChargeMisID+','ElSFChargeMisID-','METScale+','METScale-','METResLong','METResTrans','PileupWeight+','PileupWeight-','QCDlowRange+','QCDlowRange-','QCDhighRange+','QCDhighRange-','QCDvarIso','QCDvarElID','QCDotherGen','QCDfitRebin','XsecZ+','XsecZ-','XsecTop+','XsecTop-','XsecDibos+','XsecDibos-','BkgTtbarNorm','WHFmodel','LumiUncert+','LumiUncert-','UnfoldOtherGen','UnfoldReweight'
  
  NInfo   = 4
  DataInfo = 8000., 1, 25, 25
  CInfo    = 'sqrt(S)','e charge','pte cut', 'ptnu cut'
  
  IndexDataset = 143 
  TheoryType = 'expression'
  TermName = 'A','NPC','EWC'
  TermType = 'reaction','reaction','reaction'
  TermSource = 'fastNLO','KFactor','KFactor'
  TermInfo = 'Filename=datafiles/lhc/atlas/wPlusJets/1711.03296/Wplus_NNLO.abs_yj1.tab:Units=publication:ScaleFacMuR=1.0:ScaleFacMuF=1.0',
             'FileName=datafiles/lhc/atlas/wPlusJets/1711.03296/Wplus_NPC_absyj1.dat:FileColumn=3',
             'FileName=datafiles/lhc/atlas/wPlusJets/1711.03296/Wplus_EWC_absyj1.dat:FileColumn=3'
  TheorExpr= 'A*NPC*EWC'
  Percent  = 94*True
&END 
&PlotDesc
  PlotN = 1
  PlotDefColumn = 'jet1_rap2'
  PlotDefValue = 0., 2.5
  PlotOptions(1)  = 'Experiment:ATLAS@ExtraLabel:pp #rightarrow W^{+}+jet; #sqrt{s} = 8 TeV @Title:2012 @XTitle: |y^{jet1}| @YTitle: d#sigma/d|y^{jet1}| [fb] @Ylog'
&End
* binFlag	jet1_rap1	jet1_rap2	Sigma	stat_const	QCDfitUncert_uncor_const	UnfoldMCstat_uncor_const	BkgMCstat_uncor_const	JetScaleEff1+	JetScaleEff1-	JetScaleEff2+	JetScaleEff2-	JetScaleEff3+	JetScaleEff3-	JetScaleEff4+	JetScaleEff4-	JetScaleEff5+	JetScaleEff5-	JetScaleEff6+	JetScaleEff6-	JetScaleEta1+	JetScaleEta1-	JetScaleEta2+	JetScaleEta2-	JetScaleHighPt+	JetScaleHighPt-	JetScaleMC+	JetScaleMC-	JetScalePileup1+	JetScalePileup1-	JetScalePileup2+	JetScalePileup2-	JetScalePileup3+	JetScalePileup3-	JetScalePileup4+	JetScalePileup4-	JetScaleFlav1Known+	JetScaleFlav1Known-	JetScaleFlav2+	JetScaleFlav2-	JetScaleBjet+	JetScaleBjet-	JetScalepunchT+	JetScalepunchT-	JetResolution10	JetSFBeff+	JetSFBeff-	JetSFCeff+	JetSFCeff-	JetSFLmistag+	JetSFLmistag-	JetSFHighPt+	JetSFHighPt-	JetJVFcut+	JetJVFcut-	ElScaleR12+	ElScaleR12-	ElScaleZee+	ElScaleZee-	ElScalePS+	ElScalePS-	ElResolution	ElSFReco+	ElSFReco-	ElSFId+	ElSFId-	ElSFTrigger+	ElSFTrigger-	ElSFIso+	ElSFIso-	ElSFChargeMisID+	ElSFChargeMisID-	METScale+	METScale-	METResLong	METResTrans	PileupWeight+	PileupWeight-	QCDlowRange+	QCDlowRange-	QCDhighRange+	QCDhighRange-	QCDvarIso	QCDvarElID	QCDotherGen	QCDfitRebin	XsecZ+	XsecZ-	XsecTop+	XsecTop-	XsecDibos+	XsecDibos-	BkgTtbarNorm	WHFmodel	LumiUncert+	LumiUncert-	UnfoldOtherGen	UnfoldReweight
1 	0.0 	 0.1 	152483.68736 	0.24 	0.11 	-0.29 	-0.13 	3.15 	-3.16 	-0.60 	0.69 	0.01 	-0.00 	0.22 	-0.18 	-0.11 	0.15 	0.23 	-0.21 	0.15 	-0.11 	0.60 	-0.52 	0.01 	0.01 	0.01 	0.01 	-0.05 	0.08 	-0.11 	0.14 	0.13 	-0.11 	1.99 	-1.97 	0.63 	-0.56 	-2.18 	2.26 	0.01 	0.00 	0.01 	0.01 	4.64 	-0.32 	0.37 	-0.18 	0.22 	-0.15 	0.16 	0.01 	0.01 	-0.88 	0.31 	0.07 	-0.07 	0.73 	-0.80 	-0.01 	0.01 	-0.11 	0.25 	-0.24 	0.78 	-0.76 	0.52 	-0.51 	0.18 	-0.16 	0.00 	0.00 	-1.09 	1.14 	-0.90 	-0.94 	0.10 	-0.10 	-0.08 	0.58 	0.06 	-0.06 	-0.08 	0.54 	0.10 	-0.01 	-0.10 	0.10 	0.15 	-0.15 	0.04 	-0.04 	-0.13 	-0.01 	0.14 	-0.14 	1.57 	0.00 	
1 	0.1 	 0.2 	151921.94412 	0.23 	0.11 	-0.32 	-0.12 	3.21 	-3.20 	-0.62 	0.67 	0.01 	-0.00 	0.22 	-0.18 	-0.11 	0.15 	0.23 	-0.21 	0.15 	-0.11 	0.59 	-0.54 	0.01 	0.01 	0.01 	0.01 	-0.05 	0.08 	-0.11 	0.14 	0.13 	-0.11 	2.06 	-2.00 	0.57 	-0.60 	-2.25 	2.28 	0.01 	0.00 	0.01 	0.01 	4.87 	-0.33 	0.36 	-0.18 	0.22 	-0.15 	0.16 	0.01 	0.01 	-0.84 	0.39 	0.07 	-0.07 	0.74 	-0.82 	-0.01 	0.01 	-0.11 	0.26 	-0.24 	0.78 	-0.76 	0.53 	-0.53 	0.18 	-0.16 	0.00 	0.00 	-1.13 	1.07 	-1.03 	-1.02 	0.10 	-0.10 	-0.08 	0.60 	0.07 	-0.07 	-0.08 	0.31 	0.11 	-0.01 	-0.11 	0.11 	0.15 	-0.15 	0.04 	-0.04 	-0.13 	-0.12 	0.13 	-0.13 	1.98 	0.00 	
1 	0.2 	 0.3 	149325.52609 	0.23 	0.11 	-0.32 	-0.14 	3.18 	-3.27 	-0.61 	0.61 	0.01 	-0.00 	0.22 	-0.18 	-0.11 	0.15 	0.23 	-0.20 	0.15 	-0.11 	0.52 	-0.50 	0.01 	0.01 	0.01 	0.01 	-0.05 	0.08 	-0.11 	0.14 	0.13 	-0.11 	2.00 	-2.04 	0.58 	-0.56 	-2.25 	2.26 	0.01 	0.00 	0.01 	0.01 	4.67 	-0.33 	0.37 	-0.18 	0.20 	-0.15 	0.16 	0.01 	0.01 	-0.88 	0.37 	0.07 	-0.07 	0.80 	-0.80 	-0.01 	0.01 	-0.11 	0.26 	-0.24 	0.78 	-0.72 	0.54 	-0.49 	0.19 	-0.18 	0.00 	0.00 	-1.11 	1.10 	-0.95 	-1.03 	0.10 	-0.10 	-0.08 	0.60 	0.07 	-0.07 	-0.08 	0.31 	0.10 	-0.01 	-0.12 	0.11 	0.15 	-0.15 	0.04 	-0.04 	-0.14 	-0.11 	0.13 	-0.13 	1.00 	0.00 	
1 	0.3 	 0.4 	150412.82382 	0.23 	0.11 	-0.33 	-0.12 	3.33 	-3.33 	-0.58 	0.67 	0.01 	-0.00 	0.22 	-0.18 	-0.11 	0.15 	0.22 	-0.20 	0.15 	-0.11 	0.55 	-0.44 	0.01 	0.01 	0.01 	0.01 	-0.05 	0.08 	-0.11 	0.12 	0.13 	-0.11 	2.10 	-2.09 	0.61 	-0.56 	-2.33 	2.35 	0.01 	0.00 	0.01 	0.01 	5.10 	-0.34 	0.37 	-0.18 	0.20 	-0.15 	0.16 	0.01 	0.01 	-0.89 	0.38 	0.07 	-0.07 	0.77 	-0.83 	-0.01 	0.01 	-0.11 	0.26 	-0.24 	0.78 	-0.76 	0.51 	-0.51 	0.19 	-0.18 	0.00 	0.00 	-1.07 	1.04 	-0.97 	-0.91 	0.10 	-0.10 	-0.08 	0.60 	0.07 	-0.07 	-0.08 	0.38 	0.10 	-0.01 	-0.12 	0.12 	0.15 	-0.15 	0.04 	-0.04 	-0.13 	-0.09 	0.13 	-0.13 	3.25 	0.00 	
1 	0.4 	 0.5 	150305.15158 	0.23 	0.11 	-0.33 	-0.11 	3.18 	-3.28 	-0.68 	0.68 	0.01 	-0.00 	0.19 	-0.19 	-0.12 	0.13 	0.22 	-0.20 	0.15 	-0.11 	0.54 	-0.55 	0.01 	0.01 	0.01 	0.01 	-0.05 	0.08 	-0.11 	0.12 	0.13 	-0.13 	2.03 	-2.05 	0.63 	-0.66 	-2.29 	2.24 	0.01 	0.00 	0.01 	0.01 	4.99 	-0.34 	0.35 	-0.18 	0.20 	-0.15 	0.16 	0.01 	0.01 	-0.91 	0.34 	0.07 	-0.07 	0.76 	-0.89 	-0.01 	0.01 	-0.11 	0.24 	-0.25 	0.74 	-0.78 	0.50 	-0.54 	0.19 	-0.18 	0.00 	0.00 	-1.08 	1.09 	-1.01 	-1.02 	0.10 	-0.12 	-0.08 	0.59 	0.07 	-0.06 	-0.08 	0.38 	0.10 	-0.01 	-0.11 	0.11 	0.15 	-0.15 	0.04 	-0.04 	-0.13 	-0.09 	0.13 	-0.13 	1.64 	0.00 	
1 	0.5 	 0.6 	147722.95488 	0.24 	0.11 	-0.31 	-0.12 	3.23 	-3.54 	-0.67 	0.64 	0.01 	-0.00 	0.19 	-0.19 	-0.12 	0.13 	0.22 	-0.20 	0.15 	-0.11 	0.56 	-0.53 	0.01 	0.01 	0.01 	0.01 	-0.05 	0.08 	-0.11 	0.12 	0.13 	-0.13 	1.98 	-2.23 	0.64 	-0.61 	-2.52 	2.24 	0.01 	0.00 	0.01 	0.01 	4.91 	-0.32 	0.35 	-0.18 	0.20 	-0.15 	0.16 	0.01 	0.01 	-0.86 	0.34 	0.07 	-0.07 	0.77 	-0.90 	-0.01 	0.01 	-0.11 	0.24 	-0.25 	0.77 	-0.75 	0.53 	-0.50 	0.19 	-0.18 	0.00 	0.00 	-1.16 	1.11 	-0.98 	-0.97 	0.10 	-0.12 	-0.08 	0.60 	0.07 	-0.07 	-0.08 	0.56 	0.10 	-0.01 	-0.12 	0.12 	0.15 	-0.15 	0.04 	-0.04 	-0.13 	-0.05 	0.13 	-0.13 	1.66 	0.00 	
1 	0.6 	 0.7 	146311.07779 	0.24 	0.11 	-0.32 	-0.11 	3.06 	-3.17 	-0.66 	0.63 	0.01 	-0.00 	0.19 	-0.19 	-0.12 	0.13 	0.22 	-0.20 	0.21 	-0.11 	0.54 	-0.57 	0.01 	0.01 	0.01 	0.01 	-0.05 	0.08 	-0.11 	0.12 	0.13 	-0.13 	1.92 	-1.99 	0.61 	-0.67 	-2.39 	2.31 	0.01 	0.00 	0.01 	0.01 	4.98 	-0.32 	0.33 	-0.18 	0.18 	-0.15 	0.16 	0.01 	0.01 	-0.83 	0.34 	0.07 	-0.07 	0.79 	-0.89 	-0.01 	0.01 	-0.11 	0.24 	-0.25 	0.74 	-0.79 	0.52 	-0.54 	0.18 	-0.18 	0.00 	0.00 	-1.10 	1.03 	-0.96 	-0.96 	0.10 	-0.12 	-0.07 	0.59 	0.07 	-0.07 	-0.08 	0.61 	0.10 	-0.01 	-0.11 	0.11 	0.14 	-0.14 	0.04 	-0.04 	-0.13 	-0.03 	0.13 	-0.13 	1.37 	0.00 	
1 	0.7 	 0.8 	144680.96882 	0.24 	0.11 	-0.30 	-0.13 	3.19 	-3.18 	-0.59 	0.68 	0.01 	-0.00 	0.19 	-0.19 	-0.12 	0.13 	0.20 	-0.20 	0.21 	-0.11 	0.62 	-0.53 	0.01 	0.01 	0.01 	0.01 	-0.05 	0.08 	-0.11 	0.12 	0.13 	-0.13 	1.97 	-2.02 	0.66 	-0.62 	-2.42 	2.45 	0.01 	0.00 	0.01 	0.01 	4.58 	-0.31 	0.33 	-0.18 	0.18 	-0.15 	0.16 	0.01 	0.01 	-0.79 	0.34 	0.07 	-0.07 	0.78 	-0.89 	-0.01 	0.01 	-0.11 	0.25 	-0.24 	0.78 	-0.79 	0.53 	-0.55 	0.18 	-0.19 	0.00 	0.00 	-1.05 	1.05 	-0.90 	-0.97 	0.10 	-0.12 	-0.07 	0.60 	0.07 	-0.07 	-0.08 	0.36 	0.10 	-0.01 	-0.11 	0.11 	0.14 	-0.14 	0.04 	-0.04 	-0.12 	-0.07 	0.13 	-0.13 	1.15 	0.00 	
1 	0.8 	 0.9 	143841.00765 	0.24 	0.11 	-0.33 	-0.12 	3.30 	-3.46 	-0.63 	0.67 	0.01 	-0.00 	0.21 	-0.19 	-0.12 	0.13 	0.20 	-0.20 	0.21 	-0.11 	0.71 	-0.66 	0.01 	0.01 	0.01 	0.01 	-0.05 	0.08 	-0.11 	0.12 	0.13 	-0.13 	2.04 	-2.17 	0.64 	-0.69 	-2.82 	2.64 	0.01 	0.00 	0.01 	0.01 	4.49 	-0.31 	0.33 	-0.18 	0.18 	-0.15 	0.16 	0.01 	0.01 	-0.77 	0.37 	0.07 	-0.07 	0.81 	-0.88 	-0.01 	0.01 	-0.11 	0.25 	-0.24 	0.78 	-0.78 	0.54 	-0.54 	0.18 	-0.19 	0.00 	0.00 	-1.10 	1.04 	-0.94 	-0.96 	0.10 	-0.12 	-0.07 	0.59 	0.07 	-0.06 	-0.08 	0.36 	0.10 	-0.01 	-0.11 	0.11 	0.14 	-0.14 	0.04 	-0.04 	-0.12 	-0.07 	0.13 	-0.13 	2.47 	0.00 	
1 	0.9 	 1.0 	139528.43761 	0.24 	0.12 	-0.32 	-0.12 	3.29 	-3.36 	-0.66 	0.60 	0.01 	-0.00 	0.21 	-0.21 	-0.12 	0.13 	0.20 	-0.20 	0.43 	-0.48 	0.71 	-0.77 	0.01 	0.01 	0.01 	0.01 	-0.05 	0.08 	-0.11 	0.12 	0.13 	-0.13 	2.06 	-2.07 	0.70 	-0.65 	-2.67 	2.66 	0.01 	0.00 	0.01 	0.01 	4.86 	-0.30 	0.33 	-0.18 	0.18 	-0.15 	0.16 	0.01 	0.01 	-0.81 	0.35 	0.07 	-0.07 	0.83 	-0.85 	-0.01 	0.01 	-0.11 	0.25 	-0.24 	0.78 	-0.78 	0.54 	-0.56 	0.18 	-0.19 	0.00 	0.00 	-1.08 	1.10 	-0.86 	-0.93 	0.10 	-0.12 	-0.08 	0.60 	0.07 	-0.07 	-0.08 	0.47 	0.10 	-0.01 	-0.11 	0.11 	0.14 	-0.14 	0.04 	-0.04 	-0.12 	-0.10 	0.13 	-0.13 	2.91 	0.00 	
