 First iteration    2536.4628724250661             1155   2.1960717510173731     
After minimisation    2536.46  1155     2.196

  Partial chi2s 
Dataset    1    801.75(+24.74)   377  HERA1+2 NCep 920                                
Dataset    2     89.85( +4.53)    70  HERA1+2 NCep 820                                
Dataset    3    287.35(+14.23)   254  HERA1+2 NCep 575                                
Dataset    4    267.33( +8.71)   204  HERA1+2 NCep 460                                
Dataset    5    298.79( +0.01)   159  HERA1+2 NCem                                    
Dataset    6     49.18( +0.02)    39  HERA1+2 CCep                                    
Dataset    7     66.86( -2.36)    42  HERA1+2 CCem                                    
Dataset    8     10.69( +0.66)     8  ATLAS low mass DY 2011                          
Dataset    9    159.24( -5.21)    14  ATLAS 8 TeV $W^+$ +jets $W_{p_T}$               

 Correlated Chi2    460.09571106390439     
 Log penalty Chi2    45.314693205245376     
 Systematic shifts          233
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                         -0.1879   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.5736   +/-   0.9363        :N:M:D
    3  sysHZComb1003                          0.7152   +/-   0.5555        :N:M:D
    4  sysHZComb1004                         -2.3580   +/-   0.6185        :N:M:D
    5  sysHZComb1005                          1.6285   +/-   0.6091        :N:M:D
    6  sysHZComb1006                         -2.7273   +/-   0.7877        :N:M:D
    7  sysHZComb1007                          0.1136   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.1096   +/-   0.9983        :N:M:D
    9  sysHZComb1009                          0.6085   +/-   0.8965        :N:M:D
   10  sysHZComb1010                         -0.7682   +/-   0.9934        :N:M:D
   11  sysHZComb1011                         -0.5201   +/-   0.9661        :N:M:D
   12  sysHZComb1012                         -0.7132   +/-   0.9721        :N:M:D
   13  sysHZComb1013                          0.6443   +/-   0.9617        :N:M:D
   14  sysHZComb1014                         -0.6798   +/-   0.9873        :N:M:D
   15  sysHZComb1015                         -0.2732   +/-   0.9627        :N:M:D
   16  sysHZComb1016                         -0.8203   +/-   0.9746        :N:M:D
   17  sysHZComb1017                         -0.2597   +/-   0.9708        :N:M:D
   18  sysHZComb1018                         -1.3911   +/-   0.8210        :N:M:D
   19  sysHZComb1019                         -0.5631   +/-   0.9835        :N:M:D
   20  sysHZComb1020                         -0.5255   +/-   0.9812        :N:M:D
   21  sysHZComb1021                         -0.2567   +/-   0.9739        :N:M:D
   22  sysHZComb1022                         -0.6145   +/-   0.9685        :N:M:D
   23  sysHZComb1023                          0.9748   +/-   0.9447        :N:M:D
