   100.000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   34.9172       3.11692       4.12742       3.10823       4.12317      0.868453E-02  0.424458E-02   7.23140       1.86194       1.86241       1.70059       1.24630      0.560344       0.00000       1.70041    
  0.109648E-03   34.0073       3.03785       4.02493       3.02861       4.02042      0.923782E-02  0.451465E-02   7.04903       1.81783       1.81834       1.65840       1.21078      0.543854       0.00000       1.65823    
  0.120226E-03   33.1236       2.96141       3.92572       2.95156       3.92091      0.984945E-02  0.481391E-02   6.87247       1.77507       1.77561       1.61753       1.17649      0.527951       0.00000       1.61735    
  0.131825E-03   32.2506       2.88605       3.82783       2.87556       3.82270      0.104878E-01  0.512663E-02   6.69826       1.73285       1.73342       1.57718       1.14271      0.512286       0.00000       1.57700    
  0.144543E-03   31.3929       2.81221       3.73183       2.80104       3.72637      0.111646E-01  0.545862E-02   6.52742       1.69140       1.69201       1.53759       1.10964      0.496959       0.00000       1.53741    
  0.158489E-03   30.5560       2.74044       3.63839       2.72854       3.63257      0.118999E-01  0.582024E-02   6.36111       1.65100       1.65164       1.49902       1.07754      0.482089       0.00000       1.49884    
  0.173779E-03   29.7293       2.66968       3.54620       2.65702       3.54001      0.126659E-01  0.619744E-02   6.19702       1.61110       1.61179       1.46096       1.04591      0.467441       0.00000       1.46078    
  0.190545E-03   28.9222       2.60087       3.45641       2.58738       3.44981      0.134942E-01  0.660632E-02   6.03718       1.57219       1.57292       1.42386       1.01519      0.453218       0.00000       1.42367    
  0.208928E-03   28.1304       2.53357       3.36848       2.51919       3.36144      0.143772E-01  0.704316E-02   5.88063       1.53403       1.53480       1.38749      0.985162      0.439323       0.00000       1.38731    
  0.229085E-03   27.3484       2.46725       3.28175       2.45195       3.27425      0.152959E-01  0.749827E-02   5.72620       1.49636       1.49718       1.35161      0.955589      0.425640       0.00000       1.35143    
  0.251186E-03   26.5901       2.40325       3.19787       2.38694       3.18987      0.163098E-01  0.800231E-02   5.57681       1.45985       1.46073       1.31687      0.927087      0.412459       0.00000       1.31669    
  0.275420E-03   25.8419       2.34025       3.11521       2.32288       3.10668      0.173695E-01  0.853012E-02   5.42956       1.42384       1.42476       1.28261      0.899040      0.399489       0.00000       1.28243    
  0.301992E-03   25.1073       2.27858       3.03418       2.26009       3.02509      0.184910E-01  0.908990E-02   5.28518       1.38848       1.38947       1.24900      0.871604      0.386805       0.00000       1.24882    
  0.331127E-03   24.3920       2.21880       2.95546       2.19909       2.94576      0.197111E-01  0.970110E-02   5.14485       1.35406       1.35511       1.21631      0.845029      0.374521       0.00000       1.21613    
  0.363073E-03   23.6859       2.15993       2.87784       2.13895       2.86750      0.209822E-01  0.103389E-01   5.00645       1.32008       1.32119       1.18405      0.818865      0.362428       0.00000       1.18388    
  0.398101E-03   22.9974       2.10277       2.80230       2.08042       2.79127      0.223540E-01  0.110296E-01   4.87169       1.28695       1.28812       1.15262      0.793474      0.350695       0.00000       1.15245    
  0.436509E-03   22.3231       2.04700       2.72844       2.02319       2.71667      0.238181E-01  0.117690E-01   4.73986       1.25448       1.25573       1.12186      0.768705      0.339250       0.00000       1.12169    
  0.478622E-03   21.6577       1.99211       2.65565       1.96677       2.64311      0.253413E-01  0.125396E-01   4.60988       1.22244       1.22377       1.09152      0.744329      0.327988       0.00000       1.09135    
  0.524798E-03   21.0134       1.93928       2.58533       1.91226       2.57194      0.270183E-01  0.133920E-01   4.48420       1.19139       1.19280       1.06215      0.720865      0.317148       0.00000       1.06199    
  0.575429E-03   20.3787       1.88737       2.51613       1.85859       2.50184      0.287734E-01  0.142862E-01   4.36043       1.16078       1.16228       1.03322      0.697808      0.306497       0.00000       1.03306    
  0.630945E-03   19.7559       1.83662       2.44833       1.80600       2.43309      0.306271E-01  0.152332E-01   4.23909       1.13073       1.13232       1.00483      0.675265      0.296084       0.00000       1.00469    
  0.691816E-03   19.1508       1.78762       2.38259       1.75497       2.36633      0.326452E-01  0.162688E-01   4.12130       1.10150       1.10319      0.977262      0.653474      0.286019       0.00000      0.977120    
  0.758561E-03   18.5541       1.73943       2.31784       1.70468       2.30049      0.347468E-01  0.173497E-01   4.00517       1.07264       1.07444      0.950068      0.632036      0.276117       0.00000      0.949933    
  0.831745E-03   17.9729       1.69275       2.25488       1.65574       2.23636      0.370095E-01  0.185181E-01   3.89209       1.04449       1.04640      0.923572      0.611245      0.266516       0.00000      0.923444    
  0.911989E-03   17.4048       1.64735       2.19343       1.60793       2.17366      0.394259E-01  0.197706E-01   3.78159       1.01693       1.01895      0.897661      0.590998      0.257166       0.00000      0.897542    
  0.999975E-03   16.8448       1.60275       2.13292       1.56081       2.11185      0.419386E-01  0.210759E-01   3.67266      0.989729      0.991875      0.872111      0.571084      0.247971       0.00000      0.872001    
  0.109645E-02   16.3034       1.55998       2.07456       1.51528       2.05205      0.446967E-01  0.225164E-01   3.56733      0.963352      0.965633      0.847384      0.551932      0.239130       0.00000      0.847284    
  0.120223E-02   15.7709       1.51808       2.01721       1.47049       1.99319      0.475851E-01  0.240294E-01   3.46368      0.937359      0.939780      0.823042      0.533134      0.230454       0.00000      0.822951    
  0.131822E-02   15.2487       1.47721       1.96107       1.42658       1.93544      0.506281E-01  0.256283E-01   3.36202      0.911821      0.914391      0.799155      0.514758      0.221973       0.00000      0.799076    
  0.144540E-02   14.7428       1.43794       1.90678       1.38400       1.87940      0.539399E-01  0.273777E-01   3.26340      0.886978      0.889708      0.775968      0.497025      0.213793       0.00000      0.775900    
  0.158485E-02   14.2443       1.39942       1.85335       1.34204       1.82414      0.573856E-01  0.292024E-01   3.16618      0.862452      0.865348      0.753100      0.479585      0.205751       0.00000      0.753044    
  0.173775E-02   13.7593       1.36225       1.80146       1.30117       1.77029      0.610834E-01  0.311694E-01   3.07146      0.838496      0.841571      0.730809      0.462675      0.197956       0.00000      0.730766    
  0.190540E-02   13.2863       1.32629       1.75095       1.26126       1.71767      0.650307E-01  0.332783E-01   2.97893      0.815035      0.818300      0.709021      0.446225      0.190379       0.00000      0.708991    
  0.208923E-02   12.8204       1.29105       1.70126       1.22192       1.66578      0.691313E-01  0.354746E-01   2.88771      0.791871      0.795332      0.687535      0.430052      0.182932       0.00000      0.687519    
  0.229079E-02   12.3708       1.25747       1.65343       1.18386       1.61554      0.736121E-01  0.378888E-01   2.79940      0.769366      0.773042      0.666724      0.414495      0.175776       0.00000      0.666722    
  0.251180E-02   11.9293       1.22472       1.60652       1.14642       1.56610      0.783034E-01  0.404247E-01   2.71252      0.747181      0.751081      0.646242      0.399237      0.168764       0.00000      0.646255    
  0.275413E-02   11.4968       1.19290       1.56065       1.10967       1.51755      0.832293E-01  0.430962E-01   2.62722      0.725352      0.729488      0.626127      0.384315      0.161911       0.00000      0.626155    
  0.301984E-02   11.0787       1.16259       1.51645       1.07401       1.47043      0.885791E-01  0.460147E-01   2.54444      0.704086      0.708476      0.606596      0.369924      0.155314       0.00000      0.606641    
  0.331118E-02   10.6672       1.13297       1.47300       1.03884       1.42394      0.941352E-01  0.490541E-01   2.46278      0.683070      0.687723      0.587327      0.355770      0.148831       0.00000      0.587388    
  0.363064E-02   10.2674       1.10460       1.43089       1.00453       1.37857      0.100069      0.523157E-01   2.38310      0.662493      0.667427      0.568519      0.342034      0.142552       0.00000      0.568596    
  0.398091E-02   9.87818       1.07737       1.39002      0.970982       1.33422      0.106390      0.558061E-01   2.30520      0.642307      0.647540      0.550127      0.328675      0.136456       0.00000      0.550220    
