   10.0000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   12.4804       1.42400       1.89441       1.41852       1.89173      0.547163E-02  0.268498E-02   3.31025       1.02925       1.02954      0.862304      0.389274       0.00000       0.00000      0.862184    
  0.109648E-03   12.3019       1.39697       1.86040       1.39112       1.85753      0.584347E-02  0.286711E-02   3.24866       1.01117       1.01148      0.846176      0.379957       0.00000       0.00000      0.846054    
  0.120226E-03   12.1241       1.37068       1.82718       1.36442       1.82411      0.625762E-02  0.307045E-02   3.18853      0.993482      0.993816      0.830417      0.370936       0.00000       0.00000      0.830293    
  0.131825E-03   11.9467       1.34469       1.79428       1.33800       1.79100      0.669134E-02  0.328365E-02   3.12900      0.975961      0.976317      0.814808      0.362036       0.00000       0.00000      0.814683    
  0.144543E-03   11.7698       1.31913       1.76185       1.31198       1.75834      0.715309E-02  0.351096E-02   3.07032      0.958672      0.959053      0.799416      0.353307       0.00000       0.00000      0.799289    
  0.158489E-03   11.5937       1.29417       1.73006       1.28651       1.72629      0.765812E-02  0.376019E-02   3.01281      0.941701      0.942107      0.784316      0.344812       0.00000       0.00000      0.784188    
  0.173779E-03   11.4179       1.26950       1.69857       1.26132       1.69455      0.818590E-02  0.402097E-02   2.95586      0.924883      0.925317      0.769360      0.336432       0.00000       0.00000      0.769230    
  0.190545E-03   11.2430       1.24540       1.66768       1.23664       1.66338      0.876012E-02  0.430539E-02   2.90001      0.908364      0.908828      0.754681      0.328272       0.00000       0.00000      0.754550    
  0.208928E-03   11.0687       1.22174       1.63727       1.21236       1.63266      0.937541E-02  0.461085E-02   2.84502      0.892077      0.892572      0.740217      0.320283       0.00000       0.00000      0.740085    
  0.229085E-03   10.8948       1.19836       1.60716       1.18834       1.60223      0.100176E-01  0.493007E-02   2.79057      0.875939      0.876467      0.725892      0.312406       0.00000       0.00000      0.725760    
  0.251186E-03   10.7221       1.17568       1.57778       1.16495       1.57249      0.107319E-01  0.528645E-02   2.73744      0.860158      0.860723      0.711900      0.304791       0.00000       0.00000      0.711767    
  0.275420E-03   10.5499       1.15330       1.54871       1.14182       1.54305      0.114814E-01  0.566106E-02   2.68487      0.844529      0.845132      0.698049      0.297289       0.00000       0.00000      0.697917    
  0.301992E-03   10.3785       1.13132       1.52007       1.11904       1.51401      0.122782E-01  0.606017E-02   2.63305      0.829105      0.829748      0.684390      0.289939       0.00000       0.00000      0.684258    
  0.331127E-03   10.2081       1.10992       1.49203       1.09677       1.48553      0.131514E-01  0.649909E-02   2.58230      0.813970      0.814658      0.671002      0.282801       0.00000       0.00000      0.670870    
  0.363073E-03   10.0382       1.08880       1.46428       1.07474       1.45732      0.140642E-01  0.695872E-02   2.53206      0.798974      0.799707      0.657744      0.275766       0.00000       0.00000      0.657612    
  0.398101E-03   9.86941       1.06822       1.43708       1.05316       1.42962      0.150558E-01  0.745969E-02   2.48278      0.784238      0.785022      0.644730      0.268923       0.00000       0.00000      0.644600    
  0.436509E-03   9.70152       1.04807       1.41034       1.03195       1.40234      0.161202E-01  0.799912E-02   2.43428      0.769713      0.770550      0.631915      0.262235       0.00000       0.00000      0.631787    
  0.478622E-03   9.53421       1.02820       1.38388       1.01097       1.37531      0.172313E-01  0.856322E-02   2.38628      0.755320      0.756214      0.619226      0.255645       0.00000       0.00000      0.619099    
  0.524798E-03   9.36833       1.00899       1.35809      0.990520       1.34890      0.184652E-01  0.919258E-02   2.33942      0.741238      0.742193      0.606829      0.249283       0.00000       0.00000      0.606704    
  0.575429E-03   9.20315      0.990076       1.33261      0.970314       1.32275      0.197621E-01  0.985562E-02   2.29307      0.727293      0.728313      0.594563      0.243021       0.00000       0.00000      0.594441    
  0.630945E-03   9.03883      0.971549       1.30752      0.950410       1.29696      0.211384E-01  0.105612E-01   2.24737      0.713522      0.714611      0.582463      0.236888       0.00000       0.00000      0.582344    
  0.691816E-03   8.87587      0.953598       1.28300      0.930949       1.27166      0.226489E-01  0.113390E-01   2.20261      0.700007      0.701172      0.570607      0.230942       0.00000       0.00000      0.570492    
  0.758561E-03   8.71358      0.935922       1.25876      0.911694       1.24661      0.242279E-01  0.121540E-01   2.15830      0.686612      0.687855      0.558866      0.225083       0.00000       0.00000      0.558755    
  0.831745E-03   8.55253      0.918760       1.23503      0.892820       1.22199      0.259398E-01  0.130410E-01   2.11481      0.673436      0.674764      0.547336      0.219384       0.00000       0.00000      0.547229    
  0.911989E-03   8.39260      0.902042       1.21174      0.874262       1.19774      0.277799E-01  0.139981E-01   2.07201      0.660443      0.661863      0.535984      0.213819       0.00000       0.00000      0.535882    
  0.999975E-03   8.23336      0.885600       1.18872      0.855899       1.17372      0.297006E-01  0.149992E-01   2.02962      0.647563      0.649078      0.524740      0.208336       0.00000       0.00000      0.524643    
  0.109645E-02   8.07578      0.869806       1.16633      0.837977       1.15021      0.318285E-01  0.161144E-01   1.98819      0.634938      0.636558      0.513747      0.203039       0.00000       0.00000      0.513656    
  0.120223E-02   7.91901      0.854327       1.14424      0.820260       1.12695      0.340677E-01  0.172912E-01   1.94721      0.622432      0.624162      0.502869      0.197828       0.00000       0.00000      0.502784    
  0.131822E-02   7.76322      0.839223       1.12251      0.802784       1.10396      0.364391E-01  0.185414E-01   1.90675      0.610065      0.611913      0.492130      0.192719       0.00000       0.00000      0.492052    
  0.144540E-02   7.60900      0.824716       1.10134      0.785672       1.08142      0.390432E-01  0.199215E-01   1.86709      0.597910      0.599886      0.481602      0.187763       0.00000       0.00000      0.481531    
  0.158485E-02   7.45551      0.810490       1.08043      0.768726       1.05907      0.417643E-01  0.213673E-01   1.82779      0.585850      0.587960      0.471170      0.182876       0.00000       0.00000      0.471107    
  0.173775E-02   7.30339      0.796782       1.06001      0.752075       1.03707      0.447065E-01  0.229375E-01   1.78915      0.573962      0.576216      0.460912      0.178114       0.00000       0.00000      0.460857    
  0.190540E-02   7.15250      0.783546       1.04002      0.735676       1.01539      0.478705E-01  0.246334E-01   1.75106      0.562219      0.564628      0.450804      0.173457       0.00000       0.00000      0.450758    
  0.208923E-02   7.00237      0.770598       1.02029      0.719427      0.993883      0.511712E-01  0.264069E-01   1.71331      0.550563      0.553135      0.440786      0.168864       0.00000       0.00000      0.440749    
  0.229079E-02   6.85398      0.758321       1.00116      0.703506      0.972787      0.548148E-01  0.283763E-01   1.67629      0.539098      0.541847      0.430967      0.164408       0.00000       0.00000      0.430940    
  0.251180E-02   6.70646      0.746390      0.982342      0.687739      0.951886      0.586509E-01  0.304565E-01   1.63963      0.527721      0.530658      0.421245      0.160018       0.00000       0.00000      0.421228    
  0.275413E-02   6.55994      0.734847      0.963862      0.672145      0.931202      0.627018E-01  0.326604E-01   1.60335      0.516444      0.519578      0.411631      0.155701       0.00000       0.00000      0.411624    
  0.301984E-02   6.41503      0.723960      0.945949      0.656813      0.910856      0.671465E-01  0.350927E-01   1.56767      0.505318      0.508668      0.402184      0.151496       0.00000       0.00000      0.402188    
