   3.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   3.55160      0.643637       1.13234      0.639995       1.12805      0.364146E-02  0.429028E-02   1.76805      0.649296      0.649590      0.478510      -.930084E-02   0.00000       0.00000      0.478463    
  0.109648E-03   3.54950      0.635258       1.11696      0.631349       1.11240      0.390817E-02  0.456406E-02   1.74374      0.640434      0.640751      0.471693      -.908424E-02   0.00000       0.00000      0.471645    
  0.120226E-03   3.54674      0.627130       1.10190      0.622922       1.09704      0.420758E-02  0.486664E-02   1.71996      0.631737      0.632079      0.465007      -.881427E-02   0.00000       0.00000      0.464958    
  0.131825E-03   3.54371      0.619107       1.08698      0.614584       1.08180      0.452225E-02  0.518241E-02   1.69639      0.623107      0.623476      0.458375      -.852268E-02   0.00000       0.00000      0.458326    
  0.144543E-03   3.54030      0.611232       1.07226      0.606373       1.06674      0.485876E-02  0.551710E-02   1.67311      0.614573      0.614971      0.451820      -.820011E-02   0.00000       0.00000      0.451770    
  0.158489E-03   3.53639      0.603563       1.05780      0.598334       1.05192      0.522925E-02  0.588071E-02   1.65025      0.606170      0.606599      0.445370      -.783582E-02   0.00000       0.00000      0.445318    
  0.173779E-03   3.53222      0.595996       1.04347      0.590378       1.03721      0.561769E-02  0.625946E-02   1.62759      0.597830      0.598293      0.438970      -.745121E-02   0.00000       0.00000      0.438918    
  0.190545E-03   3.52757      0.588627       1.02940      0.582584       1.02273      0.604288E-02  0.666896E-02   1.60531      0.589612      0.590111      0.432669      -.702769E-02   0.00000       0.00000      0.432617    
  0.208928E-03   3.52254      0.581414       1.01552      0.574914       1.00842      0.650082E-02  0.710542E-02   1.58333      0.581488      0.582027      0.426444      -.657437E-02   0.00000       0.00000      0.426391    
  0.229085E-03   3.51728      0.574304       1.00178      0.567324      0.994222      0.698021E-02  0.755951E-02   1.56155      0.573426      0.574006      0.420269      -.610173E-02   0.00000       0.00000      0.420216    
  0.251186E-03   3.51145      0.567442      0.988354      0.559924      0.980294      0.751759E-02  0.806052E-02   1.54022      0.565508      0.566135      0.414212      -.558402E-02   0.00000       0.00000      0.414159    
  0.275420E-03   3.50537      0.560688      0.975064      0.552605      0.966480      0.808347E-02  0.858421E-02   1.51908      0.557652      0.558328      0.408205      -.504748E-02   0.00000       0.00000      0.408152    
  0.301992E-03   3.49896      0.554081      0.961959      0.545394      0.952821      0.868766E-02  0.913837E-02   1.49821      0.549879      0.550607      0.402267      -.448567E-02   0.00000       0.00000      0.402213    
  0.331127E-03   3.49209      0.547687      0.949120      0.538333      0.939379      0.935418E-02  0.974127E-02   1.47771      0.542222      0.543008      0.396424      -.388914E-02   0.00000       0.00000      0.396371    
  0.363073E-03   3.48501      0.541398      0.936411      0.531345      0.926042      0.100532E-01  0.103693E-01   1.45739      0.534621      0.535468      0.390627      -.327633E-02   0.00000       0.00000      0.390574    
  0.398101E-03   3.47750      0.535307      0.923949      0.524491      0.912902      0.108170E-01  0.110471E-01   1.43739      0.527124      0.528037      0.384917      -.263334E-02   0.00000       0.00000      0.384864    
  0.436509E-03   3.46966      0.529384      0.911692      0.517743      0.899921      0.116412E-01  0.117706E-01   1.41766      0.519710      0.520696      0.379277      -.196705E-02   0.00000       0.00000      0.379225    
  0.478622E-03   3.46160      0.523567      0.899564      0.511063      0.887041      0.125041E-01  0.125233E-01   1.39810      0.512349      0.513410      0.373682      -.128613E-02   0.00000       0.00000      0.373630    
  0.524798E-03   3.45305      0.518007      0.887747      0.504537      0.874395      0.134697E-01  0.133523E-01   1.37893      0.505110      0.506256      0.368189      -.572860E-03   0.00000       0.00000      0.368139    
  0.575429E-03   3.44427      0.512566      0.876073      0.498078      0.861853      0.144883E-01  0.142199E-01   1.35993      0.497924      0.499160      0.362743      0.153853E-03   0.00000       0.00000      0.362694    
  0.630945E-03   3.43521      0.507277      0.864581      0.491703      0.849444      0.155739E-01  0.151364E-01   1.34115      0.490806      0.492137      0.357356      0.897538E-03   0.00000       0.00000      0.357307    
  0.691816E-03   3.42572      0.502223      0.853364      0.485450      0.837230      0.167734E-01  0.161346E-01   1.32268      0.483786      0.485223      0.352054      0.166396E-02   0.00000       0.00000      0.352007    
