   1.89999998             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03  0.943686      0.522921      0.871212      0.520325      0.867560      0.259596E-02  0.365176E-02   1.38789      0.520325      0.520536      0.347024       0.00000       0.00000       0.00000      0.347024    
  0.109648E-03  0.959911      0.516957      0.861198      0.514155      0.857305      0.280144E-02  0.389292E-02   1.37146      0.514155      0.514383      0.342922       0.00000       0.00000       0.00000      0.342922    
  0.120226E-03  0.976570      0.511129      0.851397      0.508095      0.847237      0.303390E-02  0.416027E-02   1.35533      0.508095      0.508342      0.338895       0.00000       0.00000       0.00000      0.338895    
  0.131825E-03  0.993412      0.505358      0.841684      0.502079      0.837244      0.327901E-02  0.443968E-02   1.33932      0.502079      0.502347      0.334898       0.00000       0.00000       0.00000      0.334898    
  0.144543E-03   1.01052      0.499668      0.832097      0.496126      0.827360      0.354226E-02  0.473634E-02   1.32349      0.496126      0.496416      0.330944       0.00000       0.00000       0.00000      0.330944    
  0.158489E-03   1.02799      0.494093      0.822682      0.490259      0.817623      0.383389E-02  0.505947E-02   1.30788      0.490259      0.490574      0.327049       0.00000       0.00000       0.00000      0.327049    
  0.173779E-03   1.04566      0.488574      0.813354      0.484433      0.807957      0.414058E-02  0.539647E-02   1.29239      0.484433      0.484774      0.323183       0.00000       0.00000       0.00000      0.323183    
  0.190545E-03   1.06368      0.483166      0.804191      0.478688      0.798429      0.447816E-02  0.576169E-02   1.27712      0.478688      0.479057      0.319372       0.00000       0.00000       0.00000      0.319372    
  0.208928E-03   1.08200      0.477848      0.795160      0.473004      0.789008      0.484345E-02  0.615171E-02   1.26201      0.473004      0.473405      0.315603       0.00000       0.00000       0.00000      0.315603    
  0.229085E-03   1.10051      0.472587      0.786214      0.467360      0.779656      0.522689E-02  0.655796E-02   1.24702      0.467360      0.467794      0.311862       0.00000       0.00000       0.00000      0.311862    
  0.251186E-03   1.11949      0.467470      0.777476      0.461811      0.770468      0.565970E-02  0.700750E-02   1.23228      0.461811      0.462281      0.308187       0.00000       0.00000       0.00000      0.308187    
  0.275420E-03   1.13868      0.462418      0.768828      0.456301      0.761350      0.611693E-02  0.747802E-02   1.21765      0.456301      0.456810      0.304540       0.00000       0.00000       0.00000      0.304540    
  0.301992E-03   1.15814      0.457452      0.760303      0.450845      0.752326      0.660697E-02  0.797673E-02   1.20317      0.450845      0.451396      0.300931       0.00000       0.00000       0.00000      0.300931    
  0.331127E-03   1.17802      0.452614      0.751956      0.445463      0.743435      0.715074E-02  0.852066E-02   1.18890      0.445463      0.446061      0.297374       0.00000       0.00000       0.00000      0.297374    
  0.363073E-03   1.19809      0.447840      0.743695      0.440117      0.734607      0.772259E-02  0.908793E-02   1.17472      0.440117      0.440764      0.293843       0.00000       0.00000       0.00000      0.293843    
  0.398101E-03   1.21854      0.443188      0.735600      0.434838      0.725899      0.835065E-02  0.970157E-02   1.16074      0.434838      0.435539      0.290359       0.00000       0.00000       0.00000      0.290359    
  0.436509E-03   1.23932      0.438643      0.727644      0.429611      0.717286      0.903141E-02  0.103578E-01   1.14690      0.429611      0.430372      0.286915       0.00000       0.00000       0.00000      0.286915    
  0.478622E-03   1.26029      0.434165      0.719776      0.424419      0.708735      0.974599E-02  0.110413E-01   1.13315      0.424419      0.425241      0.283494       0.00000       0.00000       0.00000      0.283494    
  0.524798E-03   1.28174      0.429853      0.712121      0.419302      0.700325      0.105507E-01  0.117960E-01   1.11963      0.419302      0.420195      0.280130       0.00000       0.00000       0.00000      0.280130    
  0.575429E-03   1.30342      0.425622      0.704565      0.414220      0.691977      0.114022E-01  0.125871E-01   1.10620      0.414220      0.415186      0.276791       0.00000       0.00000       0.00000      0.276791    
  0.630945E-03   1.32537      0.421492      0.697134      0.409180      0.683710      0.123128E-01  0.134241E-01   1.09289      0.409180      0.410226      0.273484       0.00000       0.00000       0.00000      0.273484    
  0.691816E-03   1.34774      0.417525      0.689896      0.404200      0.675558      0.133247E-01  0.143380E-01   1.07976      0.404200      0.405335      0.270223       0.00000       0.00000       0.00000      0.270223    
  0.758561E-03   1.37030      0.413637      0.682752      0.399248      0.667461      0.143888E-01  0.152909E-01   1.06671      0.399248      0.400477      0.266984       0.00000       0.00000       0.00000      0.266984    
  0.831745E-03   1.39323      0.409902      0.675783      0.394347      0.659464      0.155546E-01  0.163196E-01   1.05381      0.394347      0.395678      0.263785       0.00000       0.00000       0.00000      0.263785    
  0.911989E-03   1.41647      0.406307      0.668970      0.389487      0.651549      0.168200E-01  0.174209E-01   1.04104      0.389487      0.390930      0.260620       0.00000       0.00000       0.00000      0.260620    
  0.999975E-03   1.43989      0.402800      0.662254      0.384652      0.643686      0.181481E-01  0.185677E-01   1.02834      0.384652      0.386212      0.257475       0.00000       0.00000       0.00000      0.257475    
  0.109645E-02   1.46374      0.399511      0.655770      0.379872      0.635939      0.196394E-01  0.198312E-01   1.01581      0.379872      0.381564      0.254376       0.00000       0.00000       0.00000      0.254376    
  0.120223E-02   1.48779      0.396335      0.649402      0.375115      0.628245      0.212199E-01  0.211569E-01   1.00336      0.375115      0.376947      0.251298       0.00000       0.00000       0.00000      0.251298    
  0.131822E-02   1.51207      0.393293      0.643171      0.370387      0.620615      0.229061E-01  0.225566E-01  0.991002      0.370387      0.372369      0.248246       0.00000       0.00000       0.00000      0.248246    
  0.144540E-02   1.53668      0.390480      0.637165      0.365699      0.613080      0.247813E-01  0.240858E-01  0.978778      0.365699      0.367848      0.245232       0.00000       0.00000       0.00000      0.245232    
  0.158485E-02   1.56145      0.387780      0.631267      0.361027      0.605587      0.267525E-01  0.256798E-01  0.966615      0.361027      0.363352      0.242235       0.00000       0.00000       0.00000      0.242235    
  0.173775E-02   1.58647      0.385291      0.625568      0.356385      0.598172      0.289061E-01  0.273962E-01  0.954557      0.356385      0.358903      0.239269       0.00000       0.00000       0.00000      0.239269    
  0.190540E-02   1.61170      0.383010      0.620056      0.351765      0.590822      0.312455E-01  0.292346E-01  0.942586      0.351765      0.354493      0.236329       0.00000       0.00000       0.00000      0.236329    
  0.208923E-02   1.63704      0.380857      0.614658      0.347157      0.583510      0.336998E-01  0.311483E-01  0.930667      0.347157      0.350106      0.233404       0.00000       0.00000       0.00000      0.233404    
  0.229079E-02   1.66260      0.379019      0.609532      0.342573      0.576282      0.364460E-01  0.332497E-01  0.918855      0.342573      0.345769      0.230513       0.00000       0.00000       0.00000      0.230513    
  0.251180E-02   1.68823      0.377355      0.604549      0.337996      0.569093      0.393590E-01  0.354561E-01  0.907089      0.337996      0.341456      0.227637       0.00000       0.00000       0.00000      0.227637    
  0.275413E-02   1.71394      0.375886      0.599727      0.333428      0.561947      0.424578E-01  0.377797E-01  0.895375      0.333428      0.337168      0.224779       0.00000       0.00000       0.00000      0.224779    
  0.301984E-02   1.73970      0.374769      0.595183      0.328866      0.554866      0.459033E-01  0.403169E-01  0.883732      0.328866      0.332919      0.221946       0.00000       0.00000       0.00000      0.221946    
