   6464.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   79.5785       6.50258       9.24247       6.48997       9.23793      0.126056E-01  0.453511E-02   15.7279       3.54020       3.53975       3.38378       2.94977       2.31461       0.00000       3.38358    
  0.109648E-03   76.6883       6.29231       8.94164       6.27894       8.93683      0.133754E-01  0.481615E-02   15.2158       3.43052       3.43003       3.27591       2.84842       2.23109       0.00000       3.27570    
  0.120226E-03   73.9317       6.09111       8.65372       6.07689       8.64859      0.142219E-01  0.512727E-02   14.7255       3.32538       3.32485       3.17255       2.75151       2.15141       0.00000       3.17233    
  0.131825E-03   71.2284       5.89353       8.37094       5.87843       8.36549      0.151034E-01  0.545229E-02   14.2439       3.22205       3.22148       3.07098       2.65638       2.07325       0.00000       3.07077    
  0.144543E-03   68.6015       5.70115       8.09555       5.68511       8.08976      0.160349E-01  0.579719E-02   13.7749       3.12131       3.12070       2.97200       2.56380       1.99727       0.00000       2.97179    
  0.158489E-03   66.0762       5.51570       7.83001       5.49866       7.82384      0.170425E-01  0.617271E-02   13.3225       3.02405       3.02339       2.87646       2.47461       1.92420       0.00000       2.87625    
  0.173779E-03   63.6001       5.33362       7.56924       5.31553       7.56268      0.180898E-01  0.656434E-02   12.8782       2.92847       2.92775       2.78260       2.38706       1.85254       0.00000       2.78238    
  0.190545E-03   61.2180       5.15798       7.31759       5.13876       7.31061      0.192173E-01  0.698876E-02   12.4494       2.83610       2.83533       2.69192       2.30266       1.78357       0.00000       2.69171    
  0.208928E-03   58.9074       4.98726       7.07291       4.96685       7.06547      0.204147E-01  0.744215E-02   12.0323       2.74619       2.74535       2.60368       2.22066       1.71665       0.00000       2.60347    
  0.229085E-03   56.6433       4.81974       6.83275       4.79808       6.82483      0.216577E-01  0.791449E-02   11.6229       2.65786       2.65697       2.51703       2.14022       1.65105       0.00000       2.51682    
  0.251186E-03   54.4874       4.65970       6.60315       4.63667       6.59471      0.230213E-01  0.843764E-02   11.2314       2.57326       2.57230       2.43407       2.06341       1.58855       0.00000       2.43386    
  0.275420E-03   52.3769       4.50281       6.37799       4.47837       6.36900      0.244428E-01  0.898553E-02   10.8474       2.49023       2.48919       2.35266       1.98814       1.52736       0.00000       2.35246    
  0.301992E-03   50.3275       4.35016       6.15880       4.32422       6.14923      0.259419E-01  0.956667E-02   10.4735       2.40930       2.40818       2.27335       1.91492       1.46791       0.00000       2.27314    
  0.331127E-03   48.3631       4.20344       5.94793       4.17587       5.93773      0.275642E-01  0.102014E-01   10.1136       2.33130       2.33010       2.19694       1.84457       1.41089       0.00000       2.19674    
  0.363073E-03   46.4389       4.05953       5.74102       4.03028       5.73015      0.292497E-01  0.108640E-01   9.76043       2.25469       2.25340       2.12192       1.77558       1.35503       0.00000       2.12173    
  0.398101E-03   44.5900       3.92090       5.54151       3.88984       5.52993      0.310599E-01  0.115818E-01   9.41977       2.18070       2.17931       2.04949       1.70914       1.30132       0.00000       2.04930    
  0.436509E-03   42.8012       3.78649       5.34790       3.75351       5.33555      0.329834E-01  0.123506E-01   9.08906       2.10878       2.10729       1.97912       1.64473       1.24933       0.00000       1.97894    
  0.478622E-03   41.0501       3.65476       5.15803       3.61978       5.14488      0.349792E-01  0.131522E-01   8.76465       2.03817       2.03658       1.91006       1.58160       1.19842       0.00000       1.90988    
  0.524798E-03   39.3860       3.52917       4.97673       3.49201       4.96269      0.371622E-01  0.140397E-01   8.45471       1.97059       1.96887       1.84399       1.52143       1.15000       0.00000       1.84382    
  0.575429E-03   37.7602       3.40632       4.79924       3.36689       4.78426      0.394392E-01  0.149711E-01   8.15115       1.90434       1.90250       1.77925       1.46255       1.10268       0.00000       1.77909    
  0.630945E-03   36.1828       3.28692       4.62653       3.24509       4.61057      0.418348E-01  0.159582E-01   7.85566       1.83977       1.83780       1.71618       1.40532       1.05674       0.00000       1.71603    
  0.691816E-03   34.6756       3.17256       4.46079       3.12813       4.44376      0.444267E-01  0.170389E-01   7.57188       1.77765       1.77554       1.65554       1.35048       1.01282       0.00000       1.65540    
  0.758561E-03   33.2011       3.06054       4.29831       3.01342       4.28014      0.471174E-01  0.181673E-01   7.29356       1.71667       1.71441       1.59604       1.29675      0.969826       0.00000       1.59590    
  0.831745E-03   31.7865       2.95284       4.14178       2.90284       4.12239      0.499984E-01  0.193885E-01   7.02524       1.65778       1.65536       1.53861       1.24506      0.928549       0.00000       1.53848    
  0.911989E-03   30.4215       2.84875       3.99022       2.79570       3.96952      0.530589E-01  0.206990E-01   6.76522       1.60063       1.59804       1.48290       1.19507      0.888694       0.00000       1.48279    
  0.999975E-03   29.0871       2.74689       3.84171       2.69066       3.81964      0.562319E-01  0.220655E-01   6.51030       1.54454       1.54178       1.42825       1.14611      0.849714       0.00000       1.42815    
  0.109645E-02   27.8217       2.65008       3.70012       2.59039       3.67654      0.596884E-01  0.235761E-01   6.26693       1.49087       1.48791       1.37600       1.09952      0.812711       0.00000       1.37592    
  0.120223E-02   26.5883       2.55563       3.56174       2.49234       3.53657      0.632938E-01  0.251640E-01   6.02891       1.43832       1.43516       1.32486       1.05402      0.776623       0.00000       1.32479    
  0.131822E-02   25.3928       2.46398       3.42717       2.39690       3.40032      0.670757E-01  0.268435E-01   5.79723       1.38709       1.38372       1.27504       1.00981      0.741620       0.00000       1.27498    
  0.144540E-02   24.2547       2.37661       3.29840       2.30544       3.26971      0.711613E-01  0.286843E-01   5.57516       1.33788       1.33427       1.22722      0.967569      0.708263       0.00000       1.22718    
  0.158485E-02   23.1429       2.29119       3.17227       2.21579       3.14166      0.753966E-01  0.306059E-01   5.35746       1.28957       1.28573       1.18031      0.926221      0.675655       0.00000       1.18028    
  0.173775E-02   22.0780       2.20931       3.05091       2.12940       3.01823      0.799130E-01  0.326803E-01   5.14762       1.24291       1.23882       1.13503      0.886481      0.644393       0.00000       1.13501    
  0.190540E-02   21.0538       2.13051       2.93368       2.04581       2.89877      0.847040E-01  0.349075E-01   4.94458       1.19768       1.19331       1.09116      0.848132      0.614297       0.00000       1.09116    
  0.208923E-02   20.0540       2.05357       2.81894       1.96391       2.78171      0.896632E-01  0.372288E-01   4.74561       1.15329       1.14865       1.04814      0.810616      0.584898       0.00000       1.04816    
  0.229079E-02   19.1084       1.98078       2.70973       1.88575       2.66994      0.950349E-01  0.397854E-01   4.55569       1.11079       1.10585       1.00701      0.774953      0.557052       0.00000       1.00704    
  0.251180E-02   18.1890       1.91003       2.60322       1.80940       2.56075      0.100632      0.424736E-01   4.37015       1.06921       1.06395      0.966780      0.740189      0.529959       0.00000      0.966836    
  0.275413E-02   17.2989       1.84156       2.49972       1.73508       2.45441      0.106479      0.453086E-01   4.18949       1.02865       1.02306      0.927571      0.706425      0.503706       0.00000      0.927645    
  0.301984E-02   16.4553       1.77672       2.40102       1.66395       2.35260      0.112773      0.484115E-01   4.01655      0.989702      0.983758      0.889970      0.674248      0.478784       0.00000      0.890063    
  0.331118E-02   15.6323       1.71353       2.30446       1.59425       2.25281      0.119281      0.516457E-01   3.84706      0.951469      0.945161      0.853084      0.642777      0.454454       0.00000      0.853196    
  0.363064E-02   14.8458       1.65323       2.21168       1.52705       2.15656      0.126181      0.551214E-01   3.68361      0.914497      0.907804      0.817458      0.612549      0.431170       0.00000      0.817589    
  0.398091E-02   14.0920       1.59557       2.12235       1.46210       2.06350      0.133474      0.588462E-01   3.52560      0.878657      0.871558      0.782964      0.583442      0.408828       0.00000      0.783115    
  0.436498E-02   13.3574       1.53947       2.03502       1.39847       1.97230      0.141002      0.627210E-01   3.37077      0.843478      0.835963      0.749134      0.554990      0.387037       0.00000      0.749303    
  0.478610E-02   12.6648       1.48679       1.95212       1.33771       1.88517      0.149086      0.669590E-01   3.22287      0.809739      0.801779      0.716746      0.527968      0.366452       0.00000      0.716935    
  0.524785E-02   11.9933       1.43588       1.87149       1.27840       1.80008      0.157483      0.714066E-01   3.07848      0.776728      0.768307      0.685091      0.501671      0.346479       0.00000      0.685298    
  0.575415E-02   11.3442       1.38682       1.79323       1.22061       1.71716      0.166206      0.760740E-01   2.93777      0.744479      0.735583      0.654202      0.476135      0.327148       0.00000      0.654428    
  0.630929E-02   10.7319       1.34087       1.71895       1.16535       1.63780      0.175523      0.811529E-01   2.80314      0.713486      0.704088      0.624581      0.451859      0.308883       0.00000      0.624824    
  0.691799E-02   10.1357       1.29629       1.64641       1.11117       1.55998      0.185115      0.864271E-01   2.67115      0.683039      0.673126      0.595512      0.428133      0.291084       0.00000      0.595773    
  0.758542E-02   9.56717       1.25408       1.57690       1.05889       1.48485      0.195193      0.920494E-01   2.54373      0.653533      0.643085      0.567396      0.405356      0.274088       0.00000      0.567673    
  0.831724E-02   9.02466       1.21414       1.51026       1.00838       1.41222      0.205762      0.980358E-01   2.42060      0.624905      0.613902      0.540174      0.383471      0.257850       0.00000      0.540467    
  0.911966E-02   8.49534       1.17537       1.44509      0.958765       1.34087      0.216607      0.104227       2.29963      0.596724      0.585155      0.513407      0.362041      0.241997       0.00000      0.513716    
  0.999950E-02   7.98305       1.13834       1.38201      0.910339       1.27118      0.228002      0.110832       2.18152      0.569122      0.556967      0.487238      0.341217      0.226650       0.00000      0.487561    
  0.109642E-01   7.49228       1.10308       1.32125      0.863363       1.20356      0.239722      0.117696       2.06692      0.542240      0.529488      0.461803      0.321123      0.211930       0.00000      0.462140    
  0.120220E-01   7.03420       1.07061       1.26411      0.818601       1.13909      0.252011      0.125017       1.95770      0.516452      0.503088      0.437493      0.302149      0.198165       0.00000      0.437841    
  0.131819E-01   6.59694       1.04003       1.20939      0.775269       1.07667      0.264758      0.132719       1.85194      0.491366      0.477378      0.413911      0.283903      0.185019       0.00000      0.414269    
  0.144536E-01   6.17953       1.01125       1.15699      0.733305       1.01619      0.277946      0.140796       1.74950      0.466950      0.452331      0.391028      0.266356      0.172466       0.00000      0.391394    
  0.158481E-01   5.77993      0.984104       1.10670      0.692577      0.957483      0.291528      0.149221       1.65006      0.443136      0.427883      0.368778      0.249440      0.160448       0.00000      0.369152    
  0.173770E-01   5.39756      0.958536       1.05848      0.653052      0.900500      0.305484      0.157985       1.55355      0.419910      0.404021      0.347147      0.233142      0.148952       0.00000      0.347527    
  0.190535E-01   5.03343      0.934637       1.01248      0.614814      0.845366      0.319824      0.167110       1.46018      0.397310      0.380789      0.326183      0.217503      0.138011       0.00000      0.326567    
  0.208917E-01   4.68650      0.912303      0.968573      0.577802      0.792004      0.334500      0.176568       1.36981      0.375307      0.358162      0.305858      0.202495      0.127599       0.00000      0.306244    
  0.229073E-01   4.35508      0.891366      0.926582      0.541913      0.740269      0.349453      0.186313       1.28218      0.353850      0.336094      0.286121      0.188063      0.117668       0.00000      0.286507    
  0.251174E-01   4.03868      0.871765      0.886456      0.507127      0.690141      0.364637      0.196315       1.19727      0.332929      0.314583      0.266968      0.174198      0.108206       0.00000      0.267352    
  0.275406E-01   3.73828      0.853555      0.848323      0.473540      0.641767      0.380015      0.206556       1.11531      0.312593      0.293683      0.248453      0.160947      0.992503E-01   0.00000      0.248833    
  0.301976E-01   3.45283      0.836603      0.812048      0.441096      0.595077      0.395508      0.216971       1.03617      0.292816      0.273378      0.230553      0.148280      0.907707E-01   0.00000      0.230929    
  0.331110E-01   3.18095      0.820750      0.777455      0.409716      0.549966      0.411034      0.227489      0.959681      0.273562      0.253636      0.213233      0.136154      0.827284E-01   0.00000      0.213601    
  0.363055E-01   2.92225      0.805910      0.744476      0.379396      0.506436      0.426514      0.238041      0.885831      0.254831      0.234467      0.196495      0.124565      0.751146E-01   0.00000      0.196854    
  0.398081E-01   2.67773      0.792084      0.713201      0.350250      0.464671      0.441835      0.248530      0.814920      0.236685      0.215946      0.180410      0.113565      0.679658E-01   0.00000      0.180759    
  0.436487E-01   2.44633      0.779109      0.683454      0.322226      0.424607      0.456882      0.258847      0.746834      0.219103      0.198062      0.164958      0.103123      0.612512E-01   0.00000      0.165294    
  0.478598E-01   2.22697      0.766823      0.655056      0.295270      0.386173      0.471553      0.268883      0.681443      0.202063      0.180797      0.150114      0.932071E-01  0.549386E-01   0.00000      0.150437    
  0.524772E-01   2.01937      0.755111      0.627904      0.269389      0.349391      0.485721      0.278513      0.618781      0.185576      0.164173      0.135890      0.838137E-01  0.490206E-01   0.00000      0.136198    
  0.575400E-01   1.82455      0.743885      0.602003      0.244723      0.314489      0.499162      0.287514      0.559212      0.169721      0.148290      0.122374      0.750019E-01  0.435334E-01   0.00000      0.122666    
  0.630913E-01   1.64147      0.732957      0.577133      0.221219      0.281398      0.511738      0.295734      0.502617      0.154482      0.133136      0.109544      0.667369E-01  0.384438E-01   0.00000      0.109819    
  0.691782E-01   1.46931      0.722157      0.553095      0.198837      0.250065      0.523320      0.303030      0.448902      0.139847      0.118702      0.973826E-01  0.589902E-01  0.337241E-01   0.00000      0.976386E-01
  0.758523E-01   1.30786      0.711328      0.529736      0.177594      0.220524      0.533733      0.309212      0.398118      0.125834      0.105015      0.859050E-01  0.517601E-01  0.293665E-01   0.00000      0.861421E-01
  0.831703E-01   1.15818      0.700252      0.506933      0.157653      0.193037      0.542598      0.313896      0.350690      0.112546      0.922000E-01  0.752143E-01  0.451068E-01  0.254046E-01   0.00000      0.754322E-01
  0.911943E-01   1.01925      0.688728      0.484439      0.138947      0.167501      0.549781      0.316937      0.306448      0.999600E-01  0.802276E-01  0.652739E-01  0.389871E-01  0.218012E-01   0.00000      0.654724E-01
  0.999925E-01  0.888262      0.676596      0.461945      0.121231      0.143552      0.555365      0.318393      0.264783      0.879495E-01  0.689577E-01  0.559480E-01  0.332819E-01  0.184670E-01   0.00000      0.561269E-01
  0.109639      0.768333      0.663634      0.439441      0.104837      0.121674      0.558797      0.317767      0.226511      0.767126E-01  0.586027E-01  0.474213E-01  0.281242E-01  0.154903E-01   0.00000      0.475811E-01
  0.120217      0.660225      0.649438      0.416659      0.899077E-01  0.102088      0.559530      0.314571      0.191996      0.663520E-01  0.492757E-01  0.397816E-01  0.235557E-01  0.128895E-01   0.00000      0.399226E-01
  0.131815      0.561784      0.633831      0.393367      0.762384E-01  0.844628E-01  0.557593      0.308904      0.160701      0.567638E-01  0.408453E-01  0.329041E-01  0.194745E-01  0.105903E-01   0.00000      0.330272E-01
  0.144533      0.473197      0.616439      0.369353      0.638861E-01  0.688666E-01  0.552553      0.300487      0.132753      0.479996E-01  0.333536E-01  0.268168E-01  0.158865E-01  0.859031E-02   0.00000      0.269227E-01
  0.158477      0.393753      0.597028      0.344506      0.527841E-01  0.551695E-01  0.544244      0.289337      0.107954      0.400330E-01  0.267498E-01  0.214702E-01  0.127511E-01  0.685954E-02   0.00000      0.215601E-01
  0.173766      0.323571      0.575152      0.318683      0.429737E-01  0.433993E-01  0.532178      0.275283      0.863730E-01  0.329072E-01  0.210560E-01  0.168762E-01  0.100665E-01  0.539193E-02   0.00000      0.169514E-01
  0.190530      0.261860      0.550593      0.291898      0.343642E-01  0.333816E-01  0.516229      0.258516      0.677458E-01  0.265786E-01  0.161969E-01  0.129674E-01  0.778560E-02  0.415561E-02   0.00000      0.130291E-01
  0.208912      0.208631      0.522867      0.264156      0.269736E-01  0.250945E-01  0.495893      0.239062      0.520680E-01  0.210756E-01  0.121685E-01  0.973557E-02  0.589796E-02  0.314070E-02   0.00000      0.978531E-02
  0.229067      0.162999      0.491836      0.235654      0.206855E-01  0.183228E-01  0.471151      0.217331      0.390084E-01  0.163344E-01  0.887218E-02  0.709691E-02  0.435117E-02  0.231457E-02   0.00000      0.713608E-02
