   3.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   3.55457      0.643461       1.12739      0.640160       1.12673      0.330050E-02  0.659495E-03   1.76689      0.648989      0.648830      0.477950      -.882859E-02   0.00000       0.00000      0.477902    
  0.109648E-03   3.55164      0.635235       1.11205      0.631689       1.11134      0.354591E-02  0.710850E-03   1.74303      0.640324      0.640152      0.471240      -.863413E-02   0.00000       0.00000      0.471191    
  0.120226E-03   3.54804      0.627251       1.09700      0.623429       1.09623      0.382192E-02  0.769572E-03   1.71966      0.631817      0.631630      0.464654      -.838783E-02   0.00000       0.00000      0.464604    
  0.131825E-03   3.54417      0.619367       1.08207      0.615255       1.08124      0.411222E-02  0.831828E-03   1.69649      0.623376      0.623172      0.458118      -.812050E-02   0.00000       0.00000      0.458067    
  0.144543E-03   3.53991      0.611626       1.06731      0.607203       1.06641      0.442299E-02  0.899145E-03   1.67361      0.615026      0.614806      0.451655      -.782308E-02   0.00000       0.00000      0.451603    
  0.158489E-03   3.53512      0.604082       1.05277      0.599317       1.05180      0.476566E-02  0.974568E-03   1.65112      0.606802      0.606562      0.445290      -.748509E-02   0.00000       0.00000      0.445237    
  0.173779E-03   3.53008      0.596637       1.03835      0.591511       1.03730      0.512521E-02  0.105435E-02   1.62881      0.598639      0.598378      0.438972      -.712733E-02   0.00000       0.00000      0.438919    
  0.190545E-03   3.52454      0.589381       1.02415      0.583861       1.02300      0.551932E-02  0.114316E-02   1.60686      0.590593      0.590310      0.432747      -.673169E-02   0.00000       0.00000      0.432693    
  0.208928E-03   3.51862      0.582276       1.01011      0.576332       1.00887      0.594432E-02  0.124028E-02   1.58520      0.582639      0.582331      0.426593      -.630702E-02   0.00000       0.00000      0.426538    
  0.229085E-03   3.51245      0.575269      0.996182      0.568880      0.994839      0.638953E-02  0.134285E-02   1.56372      0.574743      0.574410      0.420485      -.586352E-02   0.00000       0.00000      0.420429    
  0.251186E-03   3.50569      0.568501      0.982516      0.561612      0.981055      0.688954E-02  0.146060E-02   1.54267      0.566988      0.566626      0.414486      -.537602E-02   0.00000       0.00000      0.414430    
  0.275420E-03   3.49869      0.561838      0.968961      0.554421      0.967375      0.741652E-02  0.158605E-02   1.52180      0.559291      0.558899      0.408533      -.487011E-02   0.00000       0.00000      0.408477    
  0.301992E-03   3.49135      0.555316      0.955557      0.547336      0.953835      0.797977E-02  0.172186E-02   1.50117      0.551675      0.551250      0.402643      -.433947E-02   0.00000       0.00000      0.402586    
  0.331127E-03   3.48354      0.548999      0.942367      0.540397      0.940492      0.860215E-02  0.187508E-02   1.48089      0.544172      0.543709      0.396840      -.377478E-02   0.00000       0.00000      0.396783    
  0.363073E-03   3.47551      0.542783      0.929280      0.533527      0.927242      0.925538E-02  0.203755E-02   1.46077      0.536722      0.536220      0.391079      -.319408E-02   0.00000       0.00000      0.391022    
  0.398101E-03   3.46704      0.536759      0.916386      0.526789      0.914168      0.997023E-02  0.221875E-02   1.44096      0.529372      0.528829      0.385397      -.258366E-02   0.00000       0.00000      0.385339    
  0.436509E-03   3.45824      0.530897      0.903651      0.520154      0.901233      0.107426E-01  0.241800E-02   1.42139      0.522104      0.521514      0.379776      -.195019E-02   0.00000       0.00000      0.379719    
  0.478622E-03   3.44922      0.525137      0.891016      0.513585      0.888387      0.115520E-01  0.262887E-02   1.40197      0.514887      0.514248      0.374196      -.130223E-02   0.00000       0.00000      0.374139    
  0.524798E-03   3.43969      0.519626      0.878615      0.507166      0.875744      0.124593E-01  0.287150E-02   1.38291      0.507788      0.507095      0.368706      -.622064E-03   0.00000       0.00000      0.368649    
  0.575429E-03   3.42994      0.514231      0.866321      0.500813      0.863190      0.134175E-01  0.313112E-02   1.36400      0.500741      0.499990      0.363257      0.716021E-04   0.00000       0.00000      0.363200    
