   4.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   5.37581      0.824109       1.30934      0.820060       1.30483      0.404819E-02  0.450559E-02   2.12489      0.737179      0.737521      0.567380      0.828818E-01   0.00000       0.00000      0.567310    
  0.109648E-03   5.34901      0.811801       1.29006      0.807463       1.28527      0.433812E-02  0.479063E-02   2.09273      0.726373      0.726741      0.558599      0.810892E-01   0.00000       0.00000      0.558528    
  0.120226E-03   5.32120      0.799834       1.27120      0.795171       1.26609      0.466291E-02  0.510542E-02   2.06127      0.715777      0.716173      0.549993      0.793948E-01   0.00000       0.00000      0.549921    
  0.131825E-03   5.29299      0.788009       1.25251      0.783005       1.24708      0.500394E-02  0.543384E-02   2.03008      0.705265      0.705691      0.541460      0.777403E-01   0.00000       0.00000      0.541386    
  0.144543E-03   5.26421      0.776385       1.23407      0.771017       1.22829      0.536820E-02  0.578178E-02   1.99930      0.694874      0.695333      0.533029      0.761430E-01   0.00000       0.00000      0.532954    
  0.158489E-03   5.23465      0.765040       1.21596      0.759271       1.20980      0.576855E-02  0.615956E-02   1.96908      0.684648      0.685143      0.524737      0.746232E-01   0.00000       0.00000      0.524662    
  0.173779E-03   5.20472      0.753831       1.19803      0.747643       1.19147      0.618796E-02  0.655295E-02   1.93912      0.674502      0.675034      0.516515      0.731412E-01   0.00000       0.00000      0.516439    
  0.190545E-03   5.17407      0.742889       1.18041      0.736243       1.17343      0.664631E-02  0.697805E-02   1.90967      0.664511      0.665084      0.508424      0.717320E-01   0.00000       0.00000      0.508347    
  0.208928E-03   5.14287      0.732158       1.16305      0.725019       1.15562      0.713934E-02  0.743093E-02   1.88063      0.654640      0.655257      0.500436      0.703789E-01   0.00000       0.00000      0.500359    
  0.229085E-03   5.11132      0.721564       1.14585      0.713909       1.13795      0.765505E-02  0.790198E-02   1.85185      0.644846      0.645509      0.492514      0.690623E-01   0.00000       0.00000      0.492437    
  0.251186E-03   5.07893      0.711301       1.12905      0.703069       1.12063      0.823204E-02  0.842135E-02   1.82369      0.635237      0.635952      0.484752      0.678316E-01   0.00000       0.00000      0.484674    
  0.275420E-03   5.04620      0.701182       1.11242      0.692343       1.10345      0.883910E-02  0.896405E-02   1.79580      0.625706      0.626475      0.477057      0.666373E-01   0.00000       0.00000      0.476979    
  0.301992E-03   5.01301      0.691259       1.09602      0.681773       1.08648      0.948655E-02  0.953811E-02   1.76826      0.616281      0.617108      0.469453      0.654919E-01   0.00000       0.00000      0.469376    
  0.331127E-03   4.97916      0.681618       1.07996      0.671419       1.06980      0.101996E-01  0.101623E-01   1.74122      0.607004      0.607895      0.461979      0.644147E-01   0.00000       0.00000      0.461902    
  0.363073E-03   4.94500      0.672115       1.06406      0.661168       1.05325      0.109469E-01  0.108123E-01   1.71441      0.597798      0.598757      0.454567      0.633699E-01   0.00000       0.00000      0.454490    
  0.398101E-03   4.91026      0.662874       1.04847      0.651111       1.03695      0.117622E-01  0.115135E-01   1.68806      0.588726      0.589758      0.447272      0.623858E-01   0.00000       0.00000      0.447195    
  0.436509E-03   4.87507      0.653851       1.03313      0.641210       1.02087      0.126410E-01  0.122616E-01   1.66208      0.579760      0.580872      0.440072      0.614497E-01   0.00000       0.00000      0.439996    
  0.478622E-03   4.83959      0.644967       1.01795      0.631407       1.00491      0.135604E-01  0.130397E-01   1.63632      0.570863      0.572058      0.432931      0.605440E-01   0.00000       0.00000      0.432857    
  0.524798E-03   4.80344      0.636417       1.00316      0.621829      0.989267      0.145873E-01  0.138961E-01   1.61110      0.562122      0.563410      0.425931      0.597073E-01   0.00000       0.00000      0.425858    
  0.575429E-03   4.76699      0.628021      0.988550      0.612351      0.973757      0.156696E-01  0.147921E-01   1.58611      0.553451      0.554836      0.418993      0.589007E-01   0.00000       0.00000      0.418921    
  0.630945E-03   4.73018      0.619821      0.974160      0.602999      0.958421      0.168220E-01  0.157382E-01   1.56142      0.544867      0.546357      0.412134      0.581320E-01   0.00000       0.00000      0.412064    
  0.691816E-03   4.69283      0.611921      0.960109      0.593828      0.943341      0.180934E-01  0.167681E-01   1.53717      0.536411      0.538016      0.405392      0.574171E-01   0.00000       0.00000      0.405324    
  0.758561E-03   4.65523      0.604166      0.946220      0.584740      0.928379      0.194257E-01  0.178404E-01   1.51312      0.528014      0.529740      0.398705      0.567266E-01   0.00000       0.00000      0.398639    
  0.831745E-03   4.61717      0.596683      0.932634      0.575806      0.913639      0.208766E-01  0.189949E-01   1.48944      0.519725      0.521584      0.392118      0.560806E-01   0.00000       0.00000      0.392055    
  0.911989E-03   4.57872      0.589439      0.919311      0.566996      0.899083      0.224427E-01  0.202279E-01   1.46608      0.511526      0.513527      0.385616      0.554699E-01   0.00000       0.00000      0.385556    
  0.999975E-03   4.54003      0.582344      0.906151      0.558263      0.884641      0.240812E-01  0.215100E-01   1.44290      0.503382      0.505532      0.379166      0.548807E-01   0.00000       0.00000      0.379109    
  0.109645E-02   4.50080      0.575606      0.893376      0.549699      0.870458      0.259071E-01  0.229176E-01   1.42016      0.495361      0.497678      0.372835      0.543378E-01   0.00000       0.00000      0.372781    
  0.120223E-02   4.46132      0.569044      0.880788      0.541210      0.856396      0.278343E-01  0.243919E-01   1.39761      0.487395      0.489888      0.366559      0.538148E-01   0.00000       0.00000      0.366508    
  0.131822E-02   4.42153      0.562693      0.868422      0.532811      0.842477      0.298819E-01  0.259455E-01   1.37529      0.479496      0.482176      0.360348      0.533154E-01   0.00000       0.00000      0.360301    
  0.144540E-02   4.38126      0.556685      0.856413      0.524542      0.828775      0.321429E-01  0.276372E-01   1.35332      0.471694      0.474580      0.354238      0.528483E-01   0.00000       0.00000      0.354195    
  0.158485E-02   4.34077      0.550841      0.844570      0.516329      0.815173      0.345116E-01  0.293977E-01   1.33150      0.463935      0.467039      0.348173      0.523946E-01   0.00000       0.00000      0.348134    
