   3.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   3.53329      0.643575       1.13234      0.640381       1.12869      0.319335E-02  0.365321E-02   1.76907      0.649722      0.650046      0.478690      -.934059E-02   0.00000       0.00000      0.478642    
  0.109648E-03   3.53101      0.635276       1.11713      0.631844       1.11323      0.343231E-02  0.389435E-02   1.74508      0.640977      0.641326      0.471955      -.913366E-02   0.00000       0.00000      0.471906    
  0.120226E-03   3.52807      0.627220       1.10223      0.623519       1.09807      0.370135E-02  0.416183E-02   1.72159      0.632393      0.632770      0.465348      -.887369E-02   0.00000       0.00000      0.465298    
  0.131825E-03   3.52486      0.619266       1.08746      0.615281       1.08302      0.398446E-02  0.444143E-02   1.69830      0.623874      0.624280      0.458793      -.859221E-02   0.00000       0.00000      0.458743    
  0.144543E-03   3.52127      0.611455       1.07289      0.607167       1.06815      0.428773E-02  0.473839E-02   1.67532      0.615447      0.615885      0.452314      -.827994E-02   0.00000       0.00000      0.452263    
  0.158489E-03   3.51716      0.603843       1.05857      0.599221       1.05350      0.462245E-02  0.506201E-02   1.65273      0.607147      0.607620      0.445936      -.792616E-02   0.00000       0.00000      0.445885    
  0.173779E-03   3.51280      0.596330       1.04437      0.591356       1.03897      0.497382E-02  0.539962E-02   1.63033      0.598908      0.599418      0.439609      -.755216E-02   0.00000       0.00000      0.439556    
  0.190545E-03   3.50796      0.589008       1.03043      0.583649       1.02466      0.535931E-02  0.576568E-02   1.60831      0.590788      0.591338      0.433377      -.713942E-02   0.00000       0.00000      0.433324    
  0.208928E-03   3.50275      0.581838       1.01668      0.576062       1.01052      0.577533E-02  0.615680E-02   1.58658      0.582759      0.583353      0.427220      -.669698E-02   0.00000       0.00000      0.427167    
  0.229085E-03   3.49729      0.574766       1.00305      0.568554      0.996487      0.621134E-02  0.656430E-02   1.56504      0.574790      0.575429      0.421112      -.623530E-02   0.00000       0.00000      0.421058    
  0.251186E-03   3.49125      0.567933      0.989731      0.561231      0.982716      0.670158E-02  0.701558E-02   1.54395      0.566960      0.567651      0.415118      -.572866E-02   0.00000       0.00000      0.415064    
  0.275420E-03   3.48497      0.561205      0.976544      0.553987      0.969056      0.721856E-02  0.748809E-02   1.52304      0.559190      0.559935      0.409174      -.520323E-02   0.00000       0.00000      0.409120    
  0.301992E-03   3.47836      0.554619      0.963535      0.546847      0.955546      0.777149E-02  0.798914E-02   1.50239      0.551500      0.552303      0.403297      -.465255E-02   0.00000       0.00000      0.403242    
  0.331127E-03   3.47129      0.548238      0.950785      0.539855      0.942249      0.838310E-02  0.853603E-02   1.48210      0.543922      0.544790      0.397513      -.406716E-02   0.00000       0.00000      0.397459    
  0.363073E-03   3.46400      0.541958      0.938159      0.532933      0.929053      0.902535E-02  0.910661E-02   1.46199      0.536398      0.537333      0.391774      -.346547E-02   0.00000       0.00000      0.391720    
  0.398101E-03   3.45629      0.535870      0.925773      0.526141      0.916049      0.972884E-02  0.972424E-02   1.44219      0.528974      0.529983      0.386119      -.283353E-02   0.00000       0.00000      0.386065    
  0.436509E-03   3.44824      0.529942      0.913585      0.519452      0.903200      0.104896E-01  0.103851E-01   1.42265      0.521631      0.522720      0.380533      -.217821E-02   0.00000       0.00000      0.380480    
  0.478622E-03   3.43998      0.524117      0.901522      0.512830      0.890449      0.112871E-01  0.110738E-01   1.40328      0.514338      0.515511      0.374990      -.150818E-02   0.00000       0.00000      0.374938    
  0.524798E-03   3.43122      0.518539      0.889761      0.506356      0.877926      0.121823E-01  0.118349E-01   1.38428      0.507162      0.508429      0.369549      -.805579E-03   0.00000       0.00000      0.369497    
  0.575429E-03   3.42223      0.513076      0.878138      0.499948      0.865504      0.131281E-01  0.126331E-01   1.36545      0.500037      0.501404      0.364152      -.893849E-04   0.00000       0.00000      0.364101    
  0.630945E-03   3.41296      0.507759      0.866690      0.493621      0.853212      0.141379E-01  0.134780E-01   1.34683      0.492977      0.494450      0.358812      0.643969E-03   0.00000       0.00000      0.358762    
  0.691816E-03   3.40327      0.502668      0.855510      0.487411      0.841108      0.152569E-01  0.144014E-01   1.32852      0.486011      0.487601      0.353556      0.140043E-02   0.00000       0.00000      0.353507    
  0.758561E-03   3.39338      0.497687      0.844458      0.481255      0.829093      0.164320E-01  0.153647E-01   1.31035      0.479088      0.480802      0.348338      0.216699E-02   0.00000       0.00000      0.348291    
  0.831745E-03   3.38312      0.492912      0.833645      0.475195      0.817240      0.177167E-01  0.164053E-01   1.29244      0.472244      0.474093      0.343193      0.295134E-02   0.00000       0.00000      0.343147    
  0.911989E-03   3.37254      0.488320      0.823043      0.469212      0.805523      0.191083E-01  0.175202E-01   1.27474      0.465463      0.467459      0.338108      0.374849E-02   0.00000       0.00000      0.338064    
  0.999975E-03   3.36176      0.483843      0.812572      0.463276      0.793890      0.205671E-01  0.186816E-01   1.25717      0.458723      0.460872      0.333060      0.455333E-02   0.00000       0.00000      0.333018    
  0.109645E-02   3.35052      0.479642      0.802409      0.457441      0.782446      0.222008E-01  0.199624E-01   1.23989      0.452069      0.454390      0.328096      0.537271E-02   0.00000       0.00000      0.328056    
  0.120223E-02   3.33905      0.475580      0.792397      0.451650      0.771090      0.239297E-01  0.213070E-01   1.22274      0.445453      0.447956      0.323172      0.619700E-02   0.00000       0.00000      0.323134    
  0.131822E-02   3.32732      0.471682      0.782566      0.445911      0.759838      0.257714E-01  0.227274E-01   1.20575      0.438884      0.441580      0.318293      0.702712E-02   0.00000       0.00000      0.318258    
  0.144540E-02   3.31515      0.468057      0.773024      0.440242      0.748744      0.278147E-01  0.242807E-01   1.18899      0.432380      0.435291      0.313485      0.786224E-02   0.00000       0.00000      0.313452    
  0.158485E-02   3.30278      0.464563      0.763621      0.434603      0.737720      0.299599E-01  0.259004E-01   1.17232      0.425905      0.429042      0.308708      0.869830E-02   0.00000       0.00000      0.308678    
  0.173775E-02   3.29002      0.461314      0.754470      0.429015      0.726824      0.322991E-01  0.276456E-01   1.15584      0.419480      0.422863      0.303988      0.953474E-02   0.00000       0.00000      0.303962    
  0.190540E-02   3.27690      0.458297      0.745553      0.423462      0.716037      0.348352E-01  0.295164E-01   1.13950      0.413094      0.416743      0.299316      0.103678E-01   0.00000       0.00000      0.299293    
  0.208923E-02   3.26355      0.455422      0.736778      0.417929      0.705314      0.374931E-01  0.314643E-01   1.12324      0.406731      0.410660      0.294674      0.111984E-01   0.00000       0.00000      0.294654    
  0.229079E-02   3.24967      0.452891      0.728338      0.412431      0.694732      0.404595E-01  0.336051E-01   1.10716      0.400413      0.404653      0.290095      0.120187E-01   0.00000       0.00000      0.290079    
  0.251180E-02   3.23549      0.450545      0.720071      0.406943      0.684217      0.436017E-01  0.358539E-01   1.09116      0.394113      0.398683      0.285545      0.128307E-01   0.00000       0.00000      0.285533    
  0.275413E-02   3.22097      0.448406      0.711998      0.401466      0.673775      0.469400E-01  0.382231E-01   1.07524      0.387832      0.392754      0.281029      0.136337E-01   0.00000       0.00000      0.281021    
  0.301984E-02   3.20585      0.446633      0.704256      0.395990      0.663444      0.506427E-01  0.408121E-01   1.05943      0.381574      0.386884      0.276563      0.144156E-01   0.00000       0.00000      0.276560    
  0.331118E-02   3.19044      0.445036      0.696670      0.390509      0.653161      0.545269E-01  0.435089E-01   1.04367      0.375323      0.381041      0.272119      0.151860E-01   0.00000       0.00000      0.272120    
  0.363064E-02   3.17447      0.443761      0.689363      0.385015      0.642959      0.587464E-01  0.464043E-01   1.02797      0.369081      0.375242      0.267712      0.159342E-01   0.00000       0.00000      0.267717    
  0.398091E-02   3.15791      0.442814      0.682329      0.379494      0.632824      0.633198E-01  0.495051E-01   1.01232      0.362838      0.369478      0.263336      0.166564E-01   0.00000       0.00000      0.263346    
  0.436498E-02   3.14100      0.442062      0.675458      0.373955      0.622728      0.681073E-01  0.527298E-01  0.996683      0.356593      0.363735      0.258977      0.173626E-01   0.00000       0.00000      0.258993    
  0.478610E-02   3.12319      0.441783      0.668962      0.368359      0.612707      0.734232E-01  0.562554E-01  0.981066      0.350332      0.358032      0.254654      0.180273E-01   0.00000       0.00000      0.254675    
  0.524785E-02   3.10484      0.441774      0.662673      0.362721      0.602717      0.790522E-01  0.599557E-01  0.965438      0.344055      0.352345      0.250347      0.186661E-01   0.00000       0.00000      0.250372    
  0.575415E-02   3.08590      0.442049      0.656600      0.357039      0.592761      0.850094E-01  0.638394E-01  0.949800      0.337762      0.346675      0.246056      0.192778E-01   0.00000       0.00000      0.246086    
  0.630929E-02   3.06581      0.442857      0.650915      0.351258      0.582846      0.915996E-01  0.680692E-01  0.934104      0.331422      0.341025      0.241785      0.198355E-01   0.00000       0.00000      0.241821    
  0.691799E-02   3.04514      0.443921      0.645408      0.345423      0.572944      0.984976E-01  0.724646E-01  0.918367      0.325057      0.335381      0.237522      0.203665E-01   0.00000       0.00000      0.237563    
  0.758542E-02   3.02340      0.445440      0.640216      0.339491      0.563060      0.105949      0.771561E-01  0.902552      0.318642      0.329745      0.233270      0.208493E-01   0.00000       0.00000      0.233316    
  0.831724E-02   3.00045      0.447444      0.635342      0.333443      0.553180      0.114001      0.821619E-01  0.886623      0.312164      0.324107      0.229023      0.212792E-01   0.00000       0.00000      0.229073    
  0.911966E-02   2.97677      0.449731      0.630651      0.327326      0.543299      0.122405      0.873514E-01  0.870625      0.305647      0.318467      0.224777      0.216784E-01   0.00000       0.00000      0.224832    
  0.999950E-02   2.95134      0.452679      0.626365      0.321040      0.533399      0.131639      0.929652E-01  0.854440      0.299031      0.312813      0.220526      0.220090E-01   0.00000       0.00000      0.220587    
  0.109642E-01   2.92499      0.455933      0.622262      0.314668      0.523487      0.141264      0.987749E-01  0.838155      0.292366      0.307149      0.216273      0.223027E-01   0.00000       0.00000      0.216338    
  0.120220E-01   2.89684      0.459780      0.618505      0.308127      0.513542      0.151653      0.104962      0.821669      0.285600      0.301462      0.212010      0.225269E-01   0.00000       0.00000      0.212080    
  0.131819E-01   2.86691      0.464185      0.615053      0.301421      0.503554      0.162764      0.111500      0.804975      0.278733      0.295747      0.207732      0.226880E-01   0.00000       0.00000      0.207807    
  0.144536E-01   2.83504      0.469164      0.611903      0.294540      0.493510      0.174624      0.118393      0.788050      0.271756      0.289997      0.203435      0.227840E-01   0.00000       0.00000      0.203514    
  0.158481E-01   2.80118      0.474693      0.609027      0.287485      0.483405      0.187208      0.125622      0.770890      0.264668      0.284207      0.199116      0.228175E-01   0.00000       0.00000      0.199198    
  0.173770E-01   2.76518      0.480791      0.606421      0.280247      0.473229      0.200543      0.133192      0.753476      0.257460      0.278372      0.194771      0.227869E-01   0.00000       0.00000      0.194856    
  0.190535E-01   2.72660      0.487528      0.604100      0.272797      0.462961      0.214731      0.141140      0.735758      0.250113      0.272480      0.190391      0.226841E-01   0.00000       0.00000      0.190480    
  0.208917E-01   2.68527      0.494906      0.602046      0.265130      0.452591      0.229776      0.149454      0.717721      0.242620      0.266525      0.185974      0.225092E-01   0.00000       0.00000      0.186066    
  0.229073E-01   2.64116      0.502892      0.600223      0.257251      0.442115      0.245642      0.158108      0.699366      0.234985      0.260504      0.181517      0.222660E-01   0.00000       0.00000      0.181611    
  0.251174E-01   2.59405      0.511494      0.598614      0.249154      0.431521      0.262340      0.167092      0.680675      0.227200      0.254410      0.177016      0.219539E-01   0.00000       0.00000      0.177112    
  0.275406E-01   2.54337      0.520776      0.597212      0.240810      0.420785      0.279966      0.176426      0.661595      0.219244      0.248227      0.172461      0.215655E-01   0.00000       0.00000      0.172558    
  0.301976E-01   2.48897      0.530712      0.595975      0.232223      0.409898      0.298489      0.186077      0.642120      0.211119      0.241951      0.167849      0.211037E-01   0.00000       0.00000      0.167947    
  0.331110E-01   2.43085      0.541250      0.594855      0.223405      0.398858      0.317846      0.195997      0.622262      0.202831      0.235580      0.163179      0.205735E-01   0.00000       0.00000      0.163278    
  0.363055E-01   2.36879      0.552376      0.593809      0.214357      0.387654      0.338019      0.206156      0.602010      0.194381      0.229108      0.158447      0.199761E-01   0.00000       0.00000      0.158546    
  0.398081E-01   2.30210      0.564122      0.592784      0.205057      0.376256      0.359065      0.216528      0.581313      0.185750      0.222515      0.153643      0.193062E-01   0.00000       0.00000      0.153741    
  0.436487E-01   2.23078      0.576419      0.591705      0.195524      0.364662      0.380896      0.227043      0.560186      0.176954      0.215800      0.148765      0.185698E-01   0.00000       0.00000      0.148862    
  0.478598E-01   2.15491      0.589189      0.590501      0.185781      0.352874      0.403409      0.237628      0.538655      0.168007      0.208964      0.143814      0.177737E-01   0.00000       0.00000      0.143910    
  0.524772E-01   2.07435      0.602376      0.589089      0.175841      0.340883      0.426535      0.248206      0.516725      0.158920      0.202002      0.138788      0.169214E-01   0.00000       0.00000      0.138882    
  0.575400E-01   1.98847      0.615941      0.587327      0.165705      0.328659      0.450235      0.258669      0.494364      0.149693      0.194892      0.133676      0.160118E-01   0.00000       0.00000      0.133766    
  0.630913E-01   1.89754      0.629762      0.585105      0.155411      0.316207      0.474351      0.268898      0.471618      0.140357      0.187640      0.128480      0.150542E-01   0.00000       0.00000      0.128567    
  0.691782E-01   1.80188      0.643723      0.582315      0.144997      0.303537      0.498726      0.278778      0.448534      0.130940      0.180249      0.123204      0.140574E-01   0.00000       0.00000      0.123287    
  0.758523E-01   1.70162      0.657707      0.578816      0.134498      0.290646      0.523209      0.288171      0.425144      0.121470      0.172718      0.117848      0.130281E-01   0.00000       0.00000      0.117928    
  0.831703E-01   1.59650      0.671548      0.574330      0.123954      0.277509      0.547594      0.296821      0.401463      0.111982      0.165029      0.112404      0.119720E-01   0.00000       0.00000      0.112479    
  0.911943E-01   1.48730      0.685073      0.568719      0.113425      0.264147      0.571649      0.304572      0.377571      0.102524      0.157196      0.106881      0.109010E-01   0.00000       0.00000      0.106951    
  0.999925E-01   1.37471      0.698122      0.561853      0.102959      0.250574      0.595163      0.311279      0.353534      0.931349E-01  0.149226      0.101283      0.982441E-02   0.00000       0.00000      0.101349    
  0.109639       1.25941      0.710482      0.553526      0.926247E-01  0.236808      0.617857      0.316718      0.329433      0.838711E-01  0.141128      0.956200E-01  0.875353E-02   0.00000       0.00000      0.956801E-01
  0.120217       1.14203      0.721784      0.543302      0.825163E-01  0.222841      0.639268      0.320460      0.305358      0.748142E-01  0.132897      0.898901E-01  0.770212E-02   0.00000       0.00000      0.899448E-01
  0.131815       1.02388      0.731813      0.531100      0.726935E-01  0.208713      0.659119      0.322388      0.281406      0.660126E-01  0.124555      0.841082E-01  0.668092E-02   0.00000       0.00000      0.841576E-01
  0.144533      0.906210      0.740140      0.516585      0.632546E-01  0.194444      0.676886      0.322141      0.257698      0.575503E-01  0.116116      0.782843E-01  0.570426E-02   0.00000       0.00000      0.783283E-01
  0.158477      0.790401      0.746429      0.499634      0.542646E-01  0.180076      0.692164      0.319558      0.234340      0.494824E-01  0.107603      0.724342E-01  0.478212E-02   0.00000       0.00000      0.724729E-01
  0.173766      0.678138      0.750051      0.479915      0.458316E-01  0.165648      0.704220      0.314266      0.211480      0.419025E-01  0.990404E-01  0.665745E-01  0.392908E-02   0.00000       0.00000      0.666080E-01
  0.190530      0.570832      0.750535      0.457394      0.380061E-01  0.151215      0.712529      0.306179      0.189221      0.348542E-01  0.904609E-01  0.607255E-01  0.315186E-02   0.00000       0.00000      0.607542E-01
