   4.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   2.84511      0.769310       1.26152      0.764920       1.25685      0.439081E-02  0.467116E-02   2.02177      0.712990      0.713332      0.543589      0.519292E-01   0.00000       0.00000      0.543519    
  0.109648E-03   2.98078      0.760824       1.24571      0.756123       1.24074      0.470127E-02  0.496510E-02   1.99687      0.703894      0.704262      0.536553      0.522285E-01   0.00000       0.00000      0.536482    
  0.120226E-03   3.10350      0.752363       1.22998      0.747315       1.22470      0.504848E-02  0.528954E-02   1.97201      0.694843      0.695239      0.529528      0.524717E-01   0.00000       0.00000      0.529456    
  0.131825E-03   3.22115      0.743921       1.21431      0.738508       1.20868      0.541276E-02  0.562794E-02   1.94719      0.685814      0.686240      0.522511      0.526943E-01   0.00000       0.00000      0.522438    
  0.144543E-03   3.33153      0.735504       1.19869      0.729703       1.19271      0.580147E-02  0.598633E-02   1.92241      0.676815      0.677273      0.515507      0.528875E-01   0.00000       0.00000      0.515433    
  0.158489E-03   3.43242      0.727139       1.18318      0.720911       1.17681      0.622808E-02  0.637528E-02   1.89772      0.667866      0.668359      0.508525      0.530447E-01   0.00000       0.00000      0.508450    
  0.173779E-03   3.52876      0.718802       1.16773      0.712127       1.16095      0.667465E-02  0.678021E-02   1.87308      0.658942      0.659473      0.501556      0.531854E-01   0.00000       0.00000      0.501480    
  0.190545E-03   3.61648      0.710528       1.15240      0.703366       1.14518      0.716203E-02  0.721758E-02   1.84855      0.650070      0.650641      0.494615      0.532956E-01   0.00000       0.00000      0.494539    
  0.208928E-03   3.69776      0.702313       1.13717      0.694628       1.12948      0.768565E-02  0.768336E-02   1.82411      0.641243      0.641858      0.487701      0.533847E-01   0.00000       0.00000      0.487625    
  0.229085E-03   3.77486      0.694138       1.12200      0.685905       1.11383      0.823299E-02  0.816770E-02   1.79974      0.632445      0.633106      0.480805      0.534602E-01   0.00000       0.00000      0.480728    
  0.251186E-03   3.84239      0.686072       1.10701      0.677228       1.09831      0.884425E-02  0.870143E-02   1.77554      0.623722      0.624434      0.473956      0.535064E-01   0.00000       0.00000      0.473879    
  0.275420E-03   3.90598      0.678061       1.09211      0.668574       1.08285      0.948681E-02  0.925897E-02   1.75143      0.615033      0.615799      0.467131      0.535414E-01   0.00000       0.00000      0.467054    
  0.301992E-03   3.96427      0.670123       1.07732      0.659952       1.06747      0.101714E-01  0.984854E-02   1.72743      0.606391      0.607215      0.460337      0.535613E-01   0.00000       0.00000      0.460260    
  0.331127E-03   4.01533      0.662305       1.06271      0.651380       1.05222      0.109242E-01  0.104893E-01   1.70360      0.597818      0.598706      0.453593      0.535619E-01   0.00000       0.00000      0.453516    
  0.363073E-03   4.06300      0.654547       1.04819      0.642835       1.03703      0.117125E-01  0.111563E-01   1.67987      0.589281      0.590235      0.446874      0.535538E-01   0.00000       0.00000      0.446798    
  0.398101E-03   4.10438      0.646911       1.03384      0.634340       1.02197      0.125713E-01  0.118756E-01   1.65631      0.580810      0.581837      0.440204      0.535298E-01   0.00000       0.00000      0.440129    
  0.436509E-03   4.14084      0.639385       1.01965      0.625890       1.00701      0.134957E-01  0.126427E-01   1.63289      0.572396      0.573502      0.433578      0.534940E-01   0.00000       0.00000      0.433504    
  0.478622E-03   4.17421      0.631930       1.00555      0.617468      0.992112      0.144622E-01  0.134403E-01   1.60958      0.564017      0.565206      0.426980      0.534507E-01   0.00000       0.00000      0.426906    
  0.524798E-03   4.20060      0.624656      0.991702      0.609117      0.977384      0.155396E-01  0.143176E-01   1.58650      0.555726      0.557006      0.420450      0.533911E-01   0.00000       0.00000      0.420378    
  0.575429E-03   4.22396      0.617473      0.977970      0.600799      0.962734      0.166741E-01  0.152353E-01   1.56353      0.547474      0.548852      0.413953      0.533245E-01   0.00000       0.00000      0.413882    
  0.630945E-03   4.24352      0.610404      0.964388      0.592523      0.948184      0.178808E-01  0.162039E-01   1.54071      0.539274      0.540755      0.407497      0.532490E-01   0.00000       0.00000      0.407428    
  0.691816E-03   4.25765      0.603520      0.951043      0.584311      0.933786      0.192097E-01  0.172577E-01   1.51810      0.531150      0.532746      0.401107      0.531605E-01   0.00000       0.00000      0.401040    
  0.758561E-03   4.26929      0.596730      0.937816      0.576129      0.919461      0.206011E-01  0.183547E-01   1.49559      0.523063      0.524779      0.394747      0.530658E-01   0.00000       0.00000      0.394682    
  0.831745E-03   4.27640      0.590117      0.924809      0.568003      0.905274      0.221142E-01  0.195352E-01   1.47328      0.515043      0.516890      0.388447      0.529598E-01   0.00000       0.00000      0.388385    
  0.911989E-03   4.27982      0.583670      0.912003      0.559925      0.891208      0.237450E-01  0.207952E-01   1.45113      0.507081      0.509069      0.382198      0.528436E-01   0.00000       0.00000      0.382139    
  0.999975E-03   4.28098      0.577326      0.899321      0.551876      0.877215      0.254500E-01  0.221053E-01   1.42909      0.499155      0.501290      0.375982      0.527211E-01   0.00000       0.00000      0.375925    
  0.109645E-02   4.27712      0.571239      0.886941      0.543893      0.863398      0.273461E-01  0.235425E-01   1.40729      0.491310      0.493610      0.369841      0.525832E-01   0.00000       0.00000      0.369788    
  0.120223E-02   4.27098      0.565285      0.874713      0.535940      0.849665      0.293455E-01  0.250475E-01   1.38560      0.483502      0.485977      0.363737      0.524373E-01   0.00000       0.00000      0.363688    
  0.131822E-02   4.26214      0.559490      0.862665      0.528022      0.836032      0.314675E-01  0.266328E-01   1.36405      0.475740      0.478400      0.357677      0.522818E-01   0.00000       0.00000      0.357632    
  0.144540E-02   4.24928      0.553962      0.850914      0.520156      0.822556      0.338062E-01  0.283579E-01   1.34271      0.468046      0.470911      0.351686      0.521099E-01   0.00000       0.00000      0.351645    
  0.158485E-02   4.23461      0.548566      0.839305      0.512312      0.809152      0.362542E-01  0.301528E-01   1.32146      0.460382      0.463462      0.345728      0.519296E-01   0.00000       0.00000      0.345691    
  0.173775E-02   4.21671      0.543416      0.827960      0.504507      0.795881      0.389091E-01  0.320791E-01   1.30039      0.452773      0.456086      0.339827      0.517337E-01   0.00000       0.00000      0.339795    
  0.190540E-02   4.19607      0.538504      0.816862      0.496731      0.782726      0.417727E-01  0.341359E-01   1.27946      0.445209      0.448775      0.333979      0.515219E-01   0.00000       0.00000      0.333952    
