   1.89999998             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03  -1.69671      0.523075      0.871102      0.520304      0.867524      0.277104E-02  0.357785E-02   1.38783      0.520304      0.520515      0.347010       0.00000       0.00000       0.00000      0.347010    
  0.109648E-03  -1.52701      0.517041      0.860951      0.514054      0.857135      0.298764E-02  0.381588E-02   1.37119      0.514054      0.514281      0.342854       0.00000       0.00000       0.00000      0.342854    
  0.120226E-03  -1.36677      0.511148      0.851018      0.507916      0.846938      0.323230E-02  0.407997E-02   1.35485      0.507916      0.508163      0.338775       0.00000       0.00000       0.00000      0.338775    
  0.131825E-03  -1.21024      0.505314      0.841174      0.501824      0.836818      0.349011E-02  0.435606E-02   1.33864      0.501824      0.502091      0.334727       0.00000       0.00000       0.00000      0.334727    
  0.144543E-03  -1.05903      0.499563      0.831459      0.495797      0.826810      0.376676E-02  0.464932E-02   1.32261      0.495797      0.496086      0.330724       0.00000       0.00000       0.00000      0.330724    
  0.158489E-03  -.914769      0.493930      0.821921      0.489858      0.816952      0.407285E-02  0.496894E-02   1.30681      0.489858      0.490171      0.326781       0.00000       0.00000       0.00000      0.326781    
  0.173779E-03  -.773854      0.488356      0.812471      0.483961      0.807168      0.439453E-02  0.530240E-02   1.29113      0.483961      0.484301      0.322867       0.00000       0.00000       0.00000      0.322867    
  0.190545E-03  -.639266      0.482895      0.803189      0.478147      0.797525      0.474820E-02  0.566398E-02   1.27567      0.478147      0.478515      0.319010       0.00000       0.00000       0.00000      0.319010    
  0.208928E-03  -.509426      0.477527      0.794043      0.472397      0.787992      0.513053E-02  0.605031E-02   1.26039      0.472397      0.472795      0.315197       0.00000       0.00000       0.00000      0.315197    
  0.229085E-03  -.382660      0.472219      0.784983      0.466687      0.778531      0.553162E-02  0.645283E-02   1.24522      0.466687      0.467118      0.311412       0.00000       0.00000       0.00000      0.311412    
  0.251186E-03  -.262963      0.467058      0.776136      0.461074      0.769237      0.598368E-02  0.689857E-02   1.23031      0.461074      0.461542      0.307695       0.00000       0.00000       0.00000      0.307695    
  0.275420E-03  -.146190      0.461963      0.767381      0.455502      0.760015      0.646091E-02  0.736528E-02   1.21552      0.455502      0.456009      0.304006       0.00000       0.00000       0.00000      0.304006    
  0.301992E-03  -.333445E-01  0.456957      0.758750      0.449985      0.750890      0.697196E-02  0.786015E-02   1.20088      0.449985      0.450534      0.300356       0.00000       0.00000       0.00000      0.300356    
  0.331127E-03  0.741215E-01  0.452084      0.750301      0.444545      0.741901      0.753830E-02  0.840024E-02   1.18645      0.444545      0.445141      0.296760       0.00000       0.00000       0.00000      0.296760    
  0.363073E-03  0.179055      0.447275      0.741940      0.439142      0.732977      0.813352E-02  0.896369E-02   1.17212      0.439142      0.439786      0.293191       0.00000       0.00000       0.00000      0.293191    
  0.398101E-03  0.279281      0.442594      0.733749      0.433807      0.724175      0.878650E-02  0.957352E-02   1.15798      0.433807      0.434505      0.289670       0.00000       0.00000       0.00000      0.289670    
  0.436509E-03  0.375815      0.438021      0.725699      0.428527      0.715473      0.949355E-02  0.102260E-01   1.14400      0.428527      0.429284      0.286189       0.00000       0.00000       0.00000      0.286189    
  0.478622E-03  0.470019      0.433517      0.717738      0.423281      0.706832      0.102353E-01  0.109058E-01   1.13011      0.423281      0.424099      0.282733       0.00000       0.00000       0.00000      0.282733    
  0.524798E-03  0.558941      0.429184      0.709994      0.418115      0.698337      0.110693E-01  0.116570E-01   1.11645      0.418115      0.419002      0.279335       0.00000       0.00000       0.00000      0.279335    
  0.575429E-03  0.645561      0.424934      0.702351      0.412982      0.689906      0.119513E-01  0.124447E-01   1.10289      0.412982      0.413944      0.275962       0.00000       0.00000       0.00000      0.275962    
  0.630945E-03  0.729277      0.420788      0.694835      0.407894      0.681557      0.128937E-01  0.132783E-01   1.08945      0.407894      0.408934      0.272623       0.00000       0.00000       0.00000      0.272623    
  0.691816E-03  0.808827      0.416808      0.687517      0.402868      0.673328      0.139395E-01  0.141892E-01   1.07620      0.402868      0.403997      0.269331       0.00000       0.00000       0.00000      0.269331    
  0.758561E-03  0.886453      0.412910      0.680293      0.397872      0.665154      0.150385E-01  0.151393E-01   1.06303      0.397872      0.399092      0.266061       0.00000       0.00000       0.00000      0.266061    
