 First iteration    4022.7291502854646             1138   3.5349113798642042     
After minimisation    4022.73  1138     3.535

  Partial chi2s 
Dataset    1   1529.85(-19.05)   377  HERA1+2 NCep 920                                
Dataset    2    111.99( -5.41)    70  HERA1+2 NCep 820                                
Dataset    3    317.41(-22.13)   254  HERA1+2 NCep 575                                
Dataset    4    357.25(-18.94)   204  HERA1+2 NCep 460                                
Dataset    5    719.08( -3.95)   159  HERA1+2 NCem                                    
Dataset    6    102.40( +1.10)    39  HERA1+2 CCep                                    
Dataset    7    105.01( -2.00)    42  HERA1+2 CCem                                    
Dataset    8      5.95( -0.77)     6  ATLAS DY mass 2010 extended data                

 Correlated Chi2    844.92335063400390     
 Log penalty Chi2   -71.138730674061406     
 Systematic shifts          176
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.3825   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -1.7065   +/-   0.9367        :N:M:D
    3  sysHZComb1003                          5.7699   +/-   0.5597        :N:M:D
    4  sysHZComb1004                          6.4654   +/-   0.6197        :N:M:D
    5  sysHZComb1005                         -3.8581   +/-   0.6096        :N:M:D
    6  sysHZComb1006                          4.3115   +/-   0.7882        :N:M:D
    7  sysHZComb1007                          0.1440   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.2245   +/-   0.9984        :N:M:D
    9  sysHZComb1009                         -0.2368   +/-   0.9054        :N:M:D
   10  sysHZComb1010                         -0.7311   +/-   0.9938        :N:M:D
   11  sysHZComb1011                          0.1729   +/-   0.9664        :N:M:D
   12  sysHZComb1012                          1.2580   +/-   0.9723        :N:M:D
   13  sysHZComb1013                         -0.6504   +/-   0.9624        :N:M:D
   14  sysHZComb1014                         -0.0039   +/-   0.9877        :N:M:D
   15  sysHZComb1015                         -0.1604   +/-   0.9638        :N:M:D
   16  sysHZComb1016                         -0.2113   +/-   0.9753        :N:M:D
   17  sysHZComb1017                         -0.9579   +/-   0.9712        :N:M:D
   18  sysHZComb1018                          0.9432   +/-   0.8262        :N:M:D
   19  sysHZComb1019                          0.1811   +/-   0.9839        :N:M:D
   20  sysHZComb1020                         -0.8805   +/-   0.9817        :N:M:D
   21  sysHZComb1021                         -0.6989   +/-   0.9749        :N:M:D
   22  sysHZComb1022                         -0.0667   +/-   0.9691        :N:M:D
   23  sysHZComb1023                         -2.3586   +/-   0.9463        :N:M:D
   24  sysHZComb1024                          0.0274   +/-   0.9880        :N:M:D
   25  sysHZComb1025                          0.4981   +/-   0.9935        :N:M:D
   26  sysHZComb1026                         -1.2829   +/-   0.9220        :N:M:D
   27  sysHZComb1027                         -0.3637   +/-   0.9554        :N:M:D
