   3.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   3.53742      0.646384       1.13251      0.643072       1.13184      0.331241E-02  0.669162E-03   1.77491      0.652117      0.651936      0.479955      -.904473E-02   0.00000       0.00000      0.479907    
  0.109648E-03   3.53464      0.638172       1.11719      0.634613       1.11647      0.355851E-02  0.721326E-03   1.75108      0.643463      0.643267      0.473252      -.884958E-02   0.00000       0.00000      0.473203    
  0.120226E-03   3.53120      0.630200       1.10216      0.626365       1.10138      0.383525E-02  0.780968E-03   1.72774      0.634967      0.634754      0.466673      -.860233E-02   0.00000       0.00000      0.466623    
  0.131825E-03   3.52748      0.622327       1.08724      0.618201       1.08640      0.412631E-02  0.844196E-03   1.70460      0.626535      0.626304      0.460144      -.833395E-02   0.00000       0.00000      0.460093    
  0.144543E-03   3.52338      0.614598       1.07249      0.610160       1.07158      0.443787E-02  0.912559E-03   1.68174      0.618195      0.617945      0.453687      -.803531E-02   0.00000       0.00000      0.453635    
  0.158489E-03   3.51876      0.607065       1.05797      0.602284       1.05698      0.478139E-02  0.989145E-03   1.65927      0.609980      0.609708      0.447327      -.769589E-02   0.00000       0.00000      0.447274    
  0.173779E-03   3.51389      0.599630       1.04356      0.594489       1.04249      0.514180E-02  0.107015E-02   1.63698      0.601825      0.601530      0.441015      -.733659E-02   0.00000       0.00000      0.440962    
  0.190545E-03   3.50853      0.592385       1.02937      0.586849       1.02821      0.553683E-02  0.116031E-02   1.61506      0.593788      0.593467      0.434795      -.693920E-02   0.00000       0.00000      0.434740    
  0.208928E-03   3.50279      0.585291       1.01534      0.579328       1.01408      0.596278E-02  0.125890E-02   1.59341      0.585841      0.585493      0.428645      -.651260E-02   0.00000       0.00000      0.428589    
  0.229085E-03   3.49680      0.578295       1.00142      0.571886       1.00006      0.640898E-02  0.136300E-02   1.57195      0.577953      0.577576      0.422541      -.606706E-02   0.00000       0.00000      0.422485    
  0.251186E-03   3.49024      0.571537      0.987765      0.564627      0.986283      0.691003E-02  0.148249E-02   1.55091      0.570204      0.569794      0.416545      -.557725E-02   0.00000       0.00000      0.416489    
  0.275420E-03   3.48343      0.564883      0.974218      0.557445      0.972608      0.743808E-02  0.160978E-02   1.53005      0.562514      0.562070      0.410595      -.506892E-02   0.00000       0.00000      0.410538    
  0.301992E-03   3.47629      0.558371      0.960821      0.550368      0.959073      0.800244E-02  0.174755E-02   1.50944      0.554904      0.554423      0.404708      -.453570E-02   0.00000       0.00000      0.404650    
  0.331127E-03   3.46868      0.552064      0.947636      0.543438      0.945733      0.862599E-02  0.190295E-02   1.48917      0.547406      0.546883      0.398907      -.396819E-02   0.00000       0.00000      0.398849    
  0.363073E-03   3.46085      0.545857      0.934553      0.536577      0.932485      0.928040E-02  0.206772E-02   1.46906      0.539962      0.539395      0.393147      -.338458E-02   0.00000       0.00000      0.393090    
  0.398101E-03   3.45260      0.539843      0.921663      0.529847      0.919411      0.999649E-02  0.225143E-02   1.44926      0.532618      0.532004      0.387466      -.277103E-02   0.00000       0.00000      0.387408    
  0.436509E-03   3.44401      0.533990      0.908930      0.523220      0.906477      0.107702E-01  0.245340E-02   1.42970      0.525354      0.524688      0.381846      -.213428E-02   0.00000       0.00000      0.381788    
  0.478622E-03   3.43521      0.528240      0.896297      0.516659      0.893630      0.115808E-01  0.266712E-02   1.41029      0.518142      0.517421      0.376265      -.148292E-02   0.00000       0.00000      0.376208    
  0.524798E-03   3.42592      0.522738      0.883896      0.510248      0.880984      0.124895E-01  0.291294E-02   1.39123      0.511047      0.510265      0.370775      -.799129E-03   0.00000       0.00000      0.370719    
  0.575429E-03   3.41639      0.517352      0.871602      0.503903      0.868426      0.134490E-01  0.317594E-02   1.37233      0.504005      0.503157      0.365325      -.101730E-03   0.00000       0.00000      0.365269    
  0.630945E-03   3.40659      0.512113      0.859440      0.497641      0.855979      0.144726E-01  0.346061E-02   1.35362      0.497028      0.496110      0.359924      0.612845E-03   0.00000       0.00000      0.359869    
  0.691816E-03   3.39637      0.507103      0.847476      0.491497      0.843693      0.156055E-01  0.378347E-02   1.33519      0.490146      0.489151      0.354596      0.135070E-02   0.00000       0.00000      0.354542    
  0.758561E-03   3.38595      0.502203      0.835606      0.485408      0.831480      0.167947E-01  0.412640E-02   1.31689      0.483309      0.482232      0.349301      0.209880E-02   0.00000       0.00000      0.349248    
  0.831745E-03   3.37517      0.497511      0.823909      0.479418      0.819401      0.180933E-01  0.450886E-02   1.29882      0.476553      0.475386      0.344067      0.286500E-02   0.00000       0.00000      0.344015    
  0.911989E-03   3.36407      0.493006      0.812361      0.473507      0.807429      0.194986E-01  0.493119E-02   1.28094      0.469862      0.468598      0.338882      0.364441E-02   0.00000       0.00000      0.338831    
  0.999975E-03   3.35278      0.488616      0.800903      0.467645      0.795525      0.209711E-01  0.537872E-02   1.26317      0.463213      0.461847      0.333727      0.443178E-02   0.00000       0.00000      0.333678    
  0.109645E-02   3.34104      0.484507      0.789658      0.461889      0.783765      0.226179E-01  0.589359E-02   1.24565      0.456654      0.455173      0.328638      0.523452E-02   0.00000       0.00000      0.328592    
  0.120223E-02   3.32909      0.480539      0.778514      0.456179      0.772068      0.243594E-01  0.644634E-02   1.22825      0.450137      0.448533      0.323579      0.604270E-02   0.00000       0.00000      0.323535    
  0.131822E-02   3.31687      0.476738      0.767491      0.450524      0.760447      0.262134E-01  0.704404E-02   1.21097      0.443667      0.441934      0.318555      0.685733E-02   0.00000       0.00000      0.318513    
  0.144540E-02   3.30424      0.473214      0.756657      0.444947      0.748932      0.282675E-01  0.772462E-02   1.19388      0.437268      0.435391      0.313581      0.767818E-02   0.00000       0.00000      0.313541    
  0.158485E-02   3.29141      0.469825      0.745911      0.439402      0.737463      0.304230E-01  0.844814E-02   1.17686      0.430901      0.428872      0.308628      0.850064E-02   0.00000       0.00000      0.308591    
  0.173775E-02   3.27821      0.466684      0.735327      0.433913      0.726073      0.327709E-01  0.925411E-02   1.15999      0.424588      0.422394      0.303713      0.932475E-02   0.00000       0.00000      0.303679    
  0.190540E-02   3.26468      0.463781      0.724888      0.428467      0.714742      0.353142E-01  0.101468E-01   1.14321      0.418320      0.415945      0.298827      0.101468E-01   0.00000       0.00000      0.298796    
  0.208923E-02   3.25093      0.461023      0.714538      0.423045      0.703445      0.379780E-01  0.110934E-01   1.12649      0.412078      0.409515      0.293957      0.109673E-01   0.00000       0.00000      0.293930    
  0.229079E-02   3.23668      0.458616      0.704393      0.417669      0.692213      0.409472E-01  0.121804E-01   1.10988      0.405889      0.403115      0.289121      0.117797E-01   0.00000       0.00000      0.289098    
  0.251180E-02   3.22216      0.456398      0.694354      0.412308      0.681003      0.440902E-01  0.133503E-01   1.09331      0.399723      0.396726      0.284297      0.125852E-01   0.00000       0.00000      0.284278    
  0.275413E-02   3.20733      0.454391      0.684432      0.406964      0.669819      0.474269E-01  0.146126E-01   1.07678      0.393581      0.390347      0.279487      0.133830E-01   0.00000       0.00000      0.279472    
  0.301984E-02   3.19195      0.452758      0.674709      0.401635      0.658656      0.511233E-01  0.160527E-01   1.06029      0.387472      0.383975      0.274692      0.141626E-01   0.00000       0.00000      0.274681    
  0.331118E-02   3.17630      0.451305      0.665080      0.396307      0.647496      0.549985E-01  0.175836E-01   1.04380      0.381375      0.377602      0.269900      0.149319E-01   0.00000       0.00000      0.269894    
  0.363064E-02   3.16015      0.450181      0.655620      0.390977      0.636336      0.592043E-01  0.192839E-01   1.02731      0.375295      0.371224      0.265114      0.156815E-01   0.00000       0.00000      0.265112    
  0.398091E-02   3.14347      0.449391      0.646325      0.385633      0.625156      0.637583E-01  0.211695E-01   1.01079      0.369225      0.364829      0.260323      0.164078E-01   0.00000       0.00000      0.260327    
  0.436498E-02   3.12647      0.448800      0.637130      0.380278      0.613961      0.685229E-01  0.231682E-01  0.994239      0.363158      0.358423      0.255530      0.171197E-01   0.00000       0.00000      0.255538    
  0.478610E-02   3.10866      0.448691      0.628168      0.374884      0.602714      0.738068E-01  0.254536E-01  0.977598      0.357090      0.351980      0.250721      0.177939E-01   0.00000       0.00000      0.250734    
  0.524785E-02   3.09037      0.448857      0.619338      0.369459      0.591423      0.793979E-01  0.279153E-01  0.960881      0.351014      0.345507      0.245897      0.184445E-01   0.00000       0.00000      0.245916    
  0.575415E-02   3.07156      0.449312      0.610647      0.364000      0.580085      0.853112E-01  0.305618E-01  0.944086      0.344930      0.339003      0.241057      0.190703E-01   0.00000       0.00000      0.241082    
  0.630929E-02   3.05173      0.450308      0.602215      0.358464      0.568637      0.918447E-01  0.335779E-01  0.927100      0.338817      0.332428      0.236178      0.196464E-01   0.00000       0.00000      0.236208    
  0.691799E-02   3.03138      0.451563      0.593906      0.352884      0.557127      0.986795E-01  0.367789E-01  0.910011      0.332686      0.325815      0.231277      0.201978E-01   0.00000       0.00000      0.231313    
  0.758542E-02   3.01009      0.453280      0.585820      0.347225      0.545504      0.106056      0.403153E-01  0.892729      0.326520      0.319129      0.226333      0.207046E-01   0.00000       0.00000      0.226375    
  0.831724E-02   2.98772      0.455487      0.577972      0.341468      0.533742      0.114019      0.442299E-01  0.875210      0.320306      0.312357      0.221338      0.211623E-01   0.00000       0.00000      0.221385    
  0.911966E-02   2.96471      0.457981      0.570265      0.335654      0.521896      0.122327      0.483691E-01  0.857550      0.314063      0.305532      0.216311      0.215914E-01   0.00000       0.00000      0.216363    
  0.999950E-02   2.94015      0.461139      0.562884      0.329696      0.509835      0.131443      0.530491E-01  0.839531      0.307740      0.298576      0.211201      0.219565E-01   0.00000       0.00000      0.211259    
  0.109642E-01   2.91479      0.464606      0.555666      0.323664      0.497671      0.140942      0.579945E-01  0.821335      0.301377      0.291555      0.206052      0.222869E-01   0.00000       0.00000      0.206116    
  0.120220E-01   2.88783      0.468669      0.548761      0.317484      0.485299      0.151184      0.634628E-01  0.802783      0.294932      0.284406      0.200824      0.225521E-01   0.00000       0.00000      0.200893    
  0.131819E-01   2.85931      0.473291      0.542158      0.311160      0.472717      0.162130      0.694412E-01  0.783878      0.288403      0.277129      0.195514      0.227578E-01   0.00000       0.00000      0.195588    
  0.144536E-01   2.82906      0.478485      0.535875      0.304681      0.459912      0.173804      0.759627E-01  0.764593      0.281779      0.269716      0.190118      0.229020E-01   0.00000       0.00000      0.190197    
  0.158481E-01   2.79707      0.484229      0.529908      0.298046      0.446884      0.186183      0.830235E-01  0.744931      0.275059      0.262166      0.184635      0.229870E-01   0.00000       0.00000      0.184718    
  0.173770E-01   2.76317      0.490537      0.524278      0.291247      0.433621      0.199291      0.906568E-01  0.724867      0.268236      0.254473      0.179060      0.230109E-01   0.00000       0.00000      0.179147    
  0.190535E-01   2.72700      0.497480      0.519041      0.284254      0.420084      0.213226      0.989577E-01  0.704338      0.261288      0.246614      0.173378      0.229658E-01   0.00000       0.00000      0.173470    
  0.208917E-01   2.68839      0.505057      0.514216      0.277062      0.406266      0.227995      0.107950      0.683328      0.254210      0.238584      0.167587      0.228516E-01   0.00000       0.00000      0.167682    
  0.229073E-01   2.64731      0.513233      0.509796      0.269674      0.392175      0.243559      0.117621      0.661849      0.247002      0.230388      0.161689      0.226717E-01   0.00000       0.00000      0.161787    
  0.251174E-01   2.60356      0.522012      0.505804      0.262081      0.377805      0.259932      0.127999      0.639886      0.239656      0.222022      0.155683      0.224252E-01   0.00000       0.00000      0.155783    
  0.275406E-01   2.55664      0.531458      0.502307      0.254253      0.363121      0.277205      0.139186      0.617374      0.232149      0.213465      0.149553      0.221045E-01   0.00000       0.00000      0.149655    
  0.301976E-01   2.50640      0.541541      0.499309      0.246192      0.348130      0.295349      0.151179      0.594321      0.224480      0.204722      0.143304      0.217120E-01   0.00000       0.00000      0.143408    
  0.331110E-01   2.45283      0.552208      0.496796      0.237904      0.332853      0.314304      0.163942      0.570758      0.216652      0.195805      0.136944      0.212524E-01   0.00000       0.00000      0.137049    
  0.363055E-01   2.39572      0.563442      0.494776      0.229388      0.317297      0.334054      0.177479      0.546685      0.208662      0.186717      0.130475      0.207262E-01   0.00000       0.00000      0.130581    
  0.398081E-01   2.33444      0.575272      0.493309      0.220615      0.301445      0.354657      0.191865      0.522060      0.200488      0.177447      0.123893      0.201277E-01   0.00000       0.00000      0.123998    
  0.436487E-01   2.26896      0.587628      0.492364      0.211599      0.285330      0.376029      0.207034      0.496929      0.192137      0.168017      0.117209      0.194621E-01   0.00000       0.00000      0.117313    
  0.478598E-01   2.19932      0.600431      0.491893      0.202355      0.268993      0.398076      0.222901      0.471348      0.183620      0.158449      0.110441      0.187355E-01   0.00000       0.00000      0.110544    
  0.524772E-01   2.12539      0.613624      0.491869      0.192891      0.252464      0.420733      0.239405      0.445355      0.174940      0.148762      0.103602      0.179508E-01   0.00000       0.00000      0.103702    
  0.575400E-01   2.04652      0.627166      0.492285      0.183192      0.235770      0.443973      0.256515      0.418962      0.166087      0.138970      0.967022E-01  0.171055E-01   0.00000       0.00000      0.968000E-01
