   10.0000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   12.5055       1.42987       1.90087       1.42469       1.89934      0.518188E-02  0.152567E-02   3.32404       1.03388       1.03365      0.865817      0.390814       0.00000       0.00000      0.865696    
  0.109648E-03   12.3275       1.40283       1.86674       1.39729       1.86511      0.553721E-02  0.162911E-02   3.26240       1.01582       1.01556      0.849669      0.381474       0.00000       0.00000      0.849547    
  0.120226E-03   12.1502       1.37652       1.83339       1.37058       1.83164      0.593341E-02  0.174528E-02   3.20223      0.998154      0.997878      0.833888      0.372430       0.00000       0.00000      0.833763    
  0.131825E-03   11.9733       1.35051       1.80035       1.34416       1.79848      0.634853E-02  0.186744E-02   3.14264      0.980654      0.980354      0.818255      0.363507       0.00000       0.00000      0.818128    
  0.144543E-03   11.7968       1.32493       1.76777       1.31814       1.76577      0.679076E-02  0.199820E-02   3.08391      0.963386      0.963061      0.802836      0.354757       0.00000       0.00000      0.802707    
  0.158489E-03   11.6211       1.29995       1.73580       1.29268       1.73366      0.727489E-02  0.214246E-02   3.02633      0.946435      0.946082      0.787707      0.346242       0.00000       0.00000      0.787576    
  0.173779E-03   11.4458       1.27526       1.70414       1.26748       1.70184      0.778109E-02  0.229392E-02   2.96932      0.929638      0.929255      0.772720      0.337842       0.00000       0.00000      0.772588    
  0.190545E-03   11.2713       1.25113       1.67306       1.24280       1.67060      0.833231E-02  0.246017E-02   2.91340      0.913140      0.912724      0.758006      0.329663       0.00000       0.00000      0.757872    
  0.208928E-03   11.0974       1.22745       1.64243       1.21853       1.63979      0.892343E-02  0.263979E-02   2.85832      0.896873      0.896421      0.743504      0.321656       0.00000       0.00000      0.743369    
  0.229085E-03   10.9239       1.20406       1.61210       1.19452       1.60927      0.954064E-02  0.282817E-02   2.80379      0.880756      0.880267      0.729140      0.313761       0.00000       0.00000      0.729004    
  0.251186E-03   10.7516       1.18136       1.58247       1.17113       1.57943      0.102280E-01  0.304054E-02   2.75056      0.864996      0.864465      0.715103      0.306131       0.00000       0.00000      0.714967    
  0.275420E-03   10.5798       1.15895       1.55315       1.14800       1.54988      0.109497E-01  0.326488E-02   2.69789      0.849389      0.848814      0.701206      0.298614       0.00000       0.00000      0.701070    
  0.301992E-03   10.4087       1.13695       1.52423       1.12524       1.52072      0.117175E-01  0.350531E-02   2.64596      0.833987      0.833364      0.687497      0.291250       0.00000       0.00000      0.687361    
  0.331127E-03   10.2387       1.11553       1.49589       1.10298       1.49212      0.125597E-01  0.377233E-02   2.59509      0.818875      0.818199      0.674054      0.284100       0.00000       0.00000      0.673918    
  0.363073E-03   10.0692       1.09440       1.46783       1.08096       1.46377      0.134406E-01  0.405334E-02   2.54473      0.803902      0.803171      0.660739      0.277053       0.00000       0.00000      0.660603    
  0.398101E-03   9.90069       1.07379       1.44029       1.05939       1.43593      0.143984E-01  0.436246E-02   2.49532      0.789191      0.788399      0.647663      0.270200       0.00000       0.00000      0.647528    
  0.436509E-03   9.73313       1.05362       1.41318       1.03820       1.40848      0.154276E-01  0.469822E-02   2.44668      0.774692      0.773834      0.634781      0.263503       0.00000       0.00000      0.634647    
  0.478622E-03   9.56615       1.03373       1.38634       1.01723       1.38129      0.165024E-01  0.505111E-02   2.39852      0.760326      0.759399      0.622021      0.256905       0.00000       0.00000      0.621888    
  0.524798E-03   9.40060       1.01451       1.36013      0.996809       1.35468      0.176976E-01  0.545006E-02   2.35149      0.746272      0.745268      0.609547      0.250537       0.00000       0.00000      0.609416    
  0.575429E-03   9.23574      0.995582       1.33422      0.976628       1.32834      0.189547E-01  0.587326E-02   2.30497      0.732357      0.731271      0.597199      0.244270       0.00000       0.00000      0.597071    
  0.630945E-03   9.07174      0.977041       1.30866      0.956751       1.30233      0.202897E-01  0.632707E-02   2.25908      0.718618      0.717445      0.585012      0.238133       0.00000       0.00000      0.584887    
  0.691816E-03   8.90910      0.959079       1.28364      0.937322       1.27681      0.217566E-01  0.683395E-02   2.21413      0.705137      0.703867      0.573061      0.232185       0.00000       0.00000      0.572939    
  0.758561E-03   8.74712      0.941393       1.25887      0.918102       1.25151      0.232910E-01  0.736840E-02   2.16961      0.691776      0.690405      0.561221      0.226325       0.00000       0.00000      0.561102    
  0.831745E-03   8.58640      0.924222       1.23458      0.899266       1.22662      0.249563E-01  0.795691E-02   2.12589      0.678638      0.677156      0.549583      0.220628       0.00000       0.00000      0.549468    
  0.911989E-03   8.42679      0.907499       1.21069      0.880751       1.20209      0.267481E-01  0.859902E-02   2.08284      0.665685      0.664083      0.538114      0.215066       0.00000       0.00000      0.538004    
  0.999975E-03   8.26788      0.891053       1.18704      0.862434       1.17776      0.286195E-01  0.927496E-02   2.04020      0.652847      0.651120      0.526750      0.209587       0.00000       0.00000      0.526645    
  0.109645E-02   8.11063      0.875260       1.16396      0.844564       1.15392      0.306956E-01  0.100400E-01   1.99849      0.640268      0.638401      0.515622      0.204296       0.00000       0.00000      0.515522    
  0.120223E-02   7.95420      0.859784       1.14116      0.826902       1.13030      0.328820E-01  0.108544E-01   1.95721      0.627809      0.625794      0.504603      0.199093       0.00000       0.00000      0.504510    
  0.131822E-02   7.79875      0.844685       1.11868      0.809485       1.10695      0.351993E-01  0.117274E-01   1.91643      0.615493      0.613321      0.493714      0.193993       0.00000       0.00000      0.493627    
  0.144540E-02   7.64489      0.830188       1.09670      0.792441       1.08399      0.377476E-01  0.127065E-01   1.87643      0.603393      0.601048      0.483022      0.189048       0.00000       0.00000      0.482942    
  0.158485E-02   7.49177      0.815976       1.07495      0.775564       1.06121      0.404120E-01  0.137401E-01   1.83677      0.591390      0.588864      0.472418      0.184174       0.00000       0.00000      0.472346    
  0.173775E-02   7.34002      0.802286       1.05363      0.758989       1.03875      0.432962E-01  0.148776E-01   1.79774      0.579563      0.576841      0.461973      0.179426       0.00000       0.00000      0.461910    
  0.190540E-02   7.18954      0.789074       1.03268      0.742672       1.01656      0.464014E-01  0.161227E-01   1.75923      0.567887      0.564952      0.451665      0.174786       0.00000       0.00000      0.451610    
  0.208923E-02   7.03981      0.776152       1.01197      0.726509      0.994534      0.496427E-01  0.174345E-01   1.72104      0.556300      0.553143      0.441438      0.170210       0.00000       0.00000      0.441392    
  0.229079E-02   6.89185      0.763910      0.991776      0.710683      0.972858      0.532262E-01  0.189177E-01   1.68354      0.544909      0.541506      0.431388      0.165775       0.00000       0.00000      0.431352    
  0.251180E-02   6.74479      0.752019      0.971845      0.695017      0.951345      0.570022E-01  0.205004E-01   1.64636      0.533611      0.529949      0.421422      0.161406       0.00000       0.00000      0.421396    
  0.275413E-02   6.59873      0.740520      0.952208      0.679527      0.930014      0.609931E-01  0.221939E-01   1.60954      0.522416      0.518480      0.411550      0.157111       0.00000       0.00000      0.411535    
  0.301984E-02   6.45432      0.729688      0.933055      0.664310      0.908958      0.653785E-01  0.240974E-01   1.57327      0.511380      0.507142      0.401820      0.152930       0.00000       0.00000      0.401816    
  0.331118E-02   6.31067      0.719168      0.914124      0.649210      0.888018      0.699586E-01  0.261068E-01   1.53723      0.500411      0.495858      0.392152      0.148799       0.00000       0.00000      0.392159    
  0.363064E-02   6.16837      0.709210      0.895591      0.634313      0.867278      0.748972E-01  0.283129E-01   1.50159      0.489561      0.484669      0.382590      0.144753       0.00000       0.00000      0.382609    
  0.398091E-02   6.02732      0.699799      0.877433      0.619590      0.846703      0.802092E-01  0.307303E-01   1.46629      0.478810      0.473553      0.373118      0.140780       0.00000       0.00000      0.373150    
