   8317.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   80.8772       6.56860       9.37943       6.55414       9.37415      0.144563E-01  0.527811E-02   15.9283       3.57374       3.57301       3.41840       2.98040       2.38295       0.00000       3.41819    
  0.109648E-03   78.0028       6.36465       9.08433       6.34934       9.07873      0.153159E-01  0.560388E-02   15.4281       3.46693       3.46615       3.31342       2.88241       2.29936       0.00000       3.31321    
  0.120226E-03   75.2511       6.16838       8.80039       6.15212       8.79443      0.162581E-01  0.596394E-02   14.9466       3.36396       3.36313       3.21226       2.78816       2.21925       0.00000       3.21205    
  0.131825E-03   72.5488       5.97523       8.52099       5.95799       8.51465      0.172379E-01  0.633976E-02   14.4726       3.26256       3.26166       3.11265       2.69543       2.14055       0.00000       3.11244    
  0.144543E-03   69.9173       5.78654       8.24807       5.76827       8.24133      0.182715E-01  0.673815E-02   14.0096       3.16340       3.16243       3.01525       2.60487       2.06386       0.00000       3.01504    
  0.158489E-03   67.3808       5.60390       7.98391       5.58452       7.97674      0.193863E-01  0.717118E-02   13.5613       3.06726       3.06622       2.92086       2.51726       1.98987       0.00000       2.92065    
  0.173779E-03   64.8906       5.42423       7.72403       5.40369       7.71641      0.205435E-01  0.762237E-02   13.1201       2.97261       2.97149       2.82793       2.43108       1.91719       0.00000       2.82772    
  0.190545E-03   62.4892       5.25025       7.47238       5.22846       7.46427      0.217861E-01  0.811050E-02   12.6927       2.88080       2.87960       2.73783       2.34766       1.84705       0.00000       2.73762    
  0.208928E-03   60.1558       5.08068       7.22708       5.05758       7.21845      0.231028E-01  0.863112E-02   12.2760       2.79119       2.78991       2.64991       2.26638       1.77884       0.00000       2.64970    
  0.229085E-03   57.8667       4.91398       6.98591       4.88951       6.97674      0.244678E-01  0.917299E-02   11.8662       2.70302       2.70164       2.56340       2.18649       1.71189       0.00000       2.56320    
  0.251186E-03   55.6815       4.75406       6.75449       4.72810       6.74471      0.259602E-01  0.977158E-02   11.4728       2.61823       2.61675       2.48025       2.10987       1.64791       0.00000       2.48005    
  0.275420E-03   53.5403       4.59704       6.52720       4.56952       6.51681      0.275134E-01  0.103977E-01   11.0863       2.53487       2.53329       2.39853       2.03465       1.58519       0.00000       2.39833    
  0.301992E-03   51.4581       4.44390       6.30550       4.41476       6.29443      0.291481E-01  0.110607E-01   10.7092       2.45346       2.45176       2.31872       1.96130       1.52415       0.00000       2.31852    
  0.331127E-03   49.4586       4.29626       6.09163       4.26535       6.07984      0.309118E-01  0.117830E-01   10.3452       2.37476       2.37294       2.24161       1.89059       1.46548       0.00000       2.24142    
  0.363073E-03   47.4984       4.15125       5.88150       4.11851       5.86897      0.327413E-01  0.125359E-01   9.98748       2.29737       2.29543       2.16579       1.82114       1.40793       0.00000       2.16561    
  0.398101E-03   45.6122       4.01119       5.67843       3.97649       5.66508      0.347007E-01  0.133496E-01   9.64157       2.22244       2.22035       2.09241       1.75406       1.35250       0.00000       2.09223    
  0.436509E-03   43.7851       3.87513       5.48102       3.83835       5.46680      0.367774E-01  0.142191E-01   9.30515       2.14947       2.14724       2.02097       1.68888       1.29876       0.00000       2.02080    
  0.478622E-03   41.9953       3.74159       5.28719       3.70266       5.27207      0.389290E-01  0.151243E-01   8.97473       2.07775       2.07537       1.95077       1.62491       1.24609       0.00000       1.95061    
  0.524798E-03   40.2917       3.61393       5.10168       3.57266       5.08555      0.412736E-01  0.161230E-01   8.65821       2.00893       2.00637       1.88344       1.56373       1.19590       0.00000       1.88328    
  0.575429E-03   38.6264       3.48891       4.91987       3.44519       4.90270      0.437146E-01  0.171693E-01   8.34789       1.94139       1.93866       1.81739       1.50380       1.14680       0.00000       1.81723    
  0.630945E-03   37.0093       3.36720       4.74274       3.32093       4.72446      0.462774E-01  0.182756E-01   8.04539       1.87548       1.87257       1.75294       1.44544       1.09909       0.00000       1.75280    
  0.691816E-03   35.4627       3.25039       4.57247       3.20135       4.55298      0.490405E-01  0.194825E-01   7.75433       1.81196       1.80884       1.69086       1.38939       1.05341       0.00000       1.69073    
  0.758561E-03   33.9488       3.13587       4.40540       3.08397       4.38466      0.519040E-01  0.207405E-01   7.46863       1.74956       1.74623       1.62989       1.33441       1.00866       0.00000       1.62977    
  0.831745E-03   32.4953       3.02558       4.24425       2.97062       4.22215      0.549608E-01  0.220975E-01   7.19277       1.68921       1.68566       1.57095       1.28141      0.965656       0.00000       1.57084    
  0.911989E-03   31.0919       2.91885       4.08805       2.86065       4.06450      0.581989E-01  0.235490E-01   6.92515       1.63058       1.62679       1.51372       1.23007      0.924095       0.00000       1.51361    
  0.999975E-03   29.7195       2.81431       3.93489       2.75276       3.90983      0.615503E-01  0.250600E-01   6.66260       1.57301       1.56897       1.45753       1.17975      0.883425       0.00000       1.45744    
  0.109645E-02   28.4173       2.71479       3.78869       2.64961       3.76197      0.651865E-01  0.267225E-01   6.41157       1.51785       1.51354       1.40373       1.13175      0.844777       0.00000       1.40365    
  0.120223E-02   27.1476       2.61763       3.64573       2.54866       3.61726      0.689712E-01  0.284658E-01   6.16592       1.46382       1.45922       1.35104       1.08484      0.807069       0.00000       1.35098    
  0.131822E-02   25.9165       2.52326       3.50662       2.45033       3.47632      0.729323E-01  0.303049E-01   5.92664       1.41112       1.40622       1.29967       1.03921      0.770475       0.00000       1.29962    
  0.144540E-02   24.7442       2.43319       3.37341       2.35599       3.34110      0.771947E-01  0.323112E-01   5.69709       1.36045       1.35523       1.25032      0.995542      0.735581       0.00000       1.25028    
  0.158485E-02   23.5987       2.34509       3.24289       2.26349       3.20849      0.816051E-01  0.344008E-01   5.47198       1.31072       1.30516       1.20188      0.952772      0.701461       0.00000       1.20186    
  0.173775E-02   22.5014       2.26057       3.11724       2.17427       3.08059      0.862927E-01  0.366476E-01   5.25487       1.26266       1.25675       1.15511      0.911618      0.668736       0.00000       1.15511    
  0.190540E-02   21.4460       2.17917       2.99584       2.08792       2.95679      0.912494E-01  0.390502E-01   5.04471       1.21605       1.20977       1.10978      0.871870      0.637223       0.00000       1.10979    
  0.208923E-02   20.4157       2.09966       2.87699       2.00329       2.83544      0.963707E-01  0.415487E-01   4.83873       1.17033       1.16365       1.06531      0.832967      0.606438       0.00000       1.06535    
  0.229079E-02   19.4413       2.02439       2.76385       1.92250       2.71956      0.101894      0.442852E-01   4.64206       1.12655       1.11946       1.02278      0.795948      0.577273       0.00000       1.02283    
  0.251180E-02   18.4940       1.95121       2.65351       1.84357       2.60635      0.107634      0.471536E-01   4.44993       1.08373       1.07620      0.981195      0.759847      0.548897       0.00000      0.981261    
  0.275413E-02   17.5771       1.88035       2.54628       1.76673       2.49612      0.113618      0.501693E-01   4.26285       1.04196       1.03397      0.940656      0.724771      0.521401       0.00000      0.940740    
  0.301984E-02   16.7082       1.81324       2.44405       1.69321       2.39060      0.120029      0.534508E-01   4.08381       1.00188      0.993406      0.901788      0.691327      0.495304       0.00000      0.901890    
  0.331118E-02   15.8608       1.74781       2.34405       1.62117       2.28719      0.126646      0.568619E-01   3.90836      0.962555      0.953573      0.863666      0.658612      0.469831       0.00000      0.863786    
  0.363064E-02   15.0512       1.68537       2.24801       1.55174       2.18750      0.133635      0.605104E-01   3.73923      0.924554      0.915039      0.826859      0.627184      0.445459       0.00000      0.826998    
  0.398091E-02   14.2757       1.62567       2.15556       1.48467       2.09116      0.140996      0.644014E-01   3.57583      0.887750      0.877675      0.791241      0.596920      0.422084       0.00000      0.791399    
  0.436498E-02   13.5201       1.56756       2.06522       1.41899       1.99678      0.148579      0.684380E-01   3.41577      0.851647      0.840996      0.756320      0.567339      0.399292       0.00000      0.756496    
  0.478610E-02   12.8082       1.51301       1.97953       1.35633       1.90670      0.156684      0.728242E-01   3.26303      0.817075      0.805810      0.722922      0.539252      0.377776       0.00000      0.723116    
  0.524785E-02   12.1184       1.46029       1.89621       1.29521       1.81880      0.165079      0.774099E-01   3.11401      0.783281      0.771382      0.690299      0.511927      0.356910       0.00000      0.690511    
  0.575415E-02   11.4519       1.40948       1.81540       1.23571       1.73319      0.173777      0.822048E-01   2.96890      0.750303      0.737748      0.658489      0.485402      0.336727       0.00000      0.658719    
  0.630929E-02   10.8239       1.36190       1.73877       1.17888       1.65138      0.183022      0.873864E-01   2.83027      0.718676      0.705429      0.628029      0.460207      0.317677       0.00000      0.628276    
  0.691799E-02   10.2126       1.31575       1.66398       1.12323       1.57123      0.192517      0.927498E-01   2.69446      0.687638      0.673683      0.598159      0.435594      0.299123       0.00000      0.598422    
  0.758542E-02   9.63033       1.27206       1.59237       1.06960       1.49394      0.202456      0.984360E-01   2.56354      0.657616      0.642925      0.569308      0.411988      0.281425       0.00000      0.569586    
  0.831724E-02   9.07524       1.23072       1.52380       1.01788       1.41934      0.212837      0.104455       2.43722      0.628548      0.613096      0.541417      0.389331      0.264535       0.00000      0.541710    
  0.911966E-02   8.53393       1.19059       1.45677      0.967125       1.34611      0.223465      0.110661       2.31324      0.599965      0.583736      0.514014      0.367160      0.248056       0.00000      0.514322    
  0.999950E-02   8.01030       1.15224       1.39192      0.917653       1.27468      0.234587      0.117243       2.19233      0.572020      0.554985      0.487257      0.345633      0.232116       0.00000      0.487578    
  0.109642E-01   7.50929       1.11574       1.32953      0.869747       1.20547      0.245992      0.124054       2.07522      0.544856      0.527003      0.461292      0.324891      0.216845       0.00000      0.461625    
  0.120220E-01   7.04261       1.08213       1.27094      0.824234       1.13967      0.257895      0.131268       1.96391      0.518885      0.500193      0.436540      0.305350      0.202597       0.00000      0.436884    
  0.131819E-01   6.59773       1.05047       1.21489      0.780272       1.07607      0.270193      0.138812       1.85635      0.493681      0.474136      0.412576      0.286592      0.189009       0.00000      0.412929    
  0.144536E-01   6.17367       1.02066       1.16126      0.737797       1.01459      0.282866      0.146676       1.75238      0.469211      0.448802      0.389369      0.268586      0.176054       0.00000      0.389731    
  0.158481E-01   5.76826      0.992531       1.10984      0.696662      0.955011      0.295869      0.154832       1.65167      0.445400      0.424123      0.366849      0.251262      0.163671       0.00000      0.367217    
  0.173770E-01   5.38090      0.966016       1.06057      0.656834      0.897301      0.309181      0.163267       1.55414      0.422231      0.400085      0.345000      0.234603      0.151843       0.00000      0.345373    
  0.190535E-01   5.01267      0.941202       1.01358      0.618401      0.841591      0.322802      0.171992       1.45999      0.399745      0.376735      0.323872      0.218656      0.140607       0.00000      0.324248    
  0.208917E-01   4.66244      0.917981      0.968767      0.581295      0.787792      0.336686      0.180975       1.36909      0.377907      0.354046      0.303435      0.203388      0.129934       0.00000      0.303813    
  0.229073E-01   4.32846      0.896175      0.925916      0.545399      0.735745      0.350777      0.190171       1.28114      0.356658      0.331964      0.283633      0.188740      0.119771       0.00000      0.284010    
  0.251174E-01   4.01020      0.875720      0.884973      0.510688      0.685424      0.365032      0.199548       1.19611      0.335987      0.310485      0.264457      0.174701      0.110106       0.00000      0.264833    
  0.275406E-01   3.70868      0.856665      0.846058      0.477258      0.636981      0.379407      0.209077       1.11424      0.315937      0.289668      0.245966      0.161321      0.100975       0.00000      0.246338    
  0.301976E-01   3.42276      0.838873      0.809026      0.445042      0.590332      0.393831      0.218694       1.03537      0.296478      0.269488      0.228131      0.148565      0.923462E-01   0.00000      0.228498    
  0.331110E-01   3.15101      0.822180      0.773689      0.413949      0.545357      0.408231      0.228332      0.959305      0.277564      0.249910      0.210911      0.136385      0.841769E-01   0.00000      0.211270    
  0.363055E-01   2.89299      0.806498      0.739974      0.383964      0.502049      0.422534      0.237924      0.886013      0.259190      0.230938      0.194305      0.124774      0.764562E-01   0.00000      0.194655    
  0.398081E-01   2.64971      0.791826      0.707961      0.355194      0.460592      0.436632      0.247369      0.815786      0.241410      0.212649      0.178383      0.113784      0.692204E-01   0.00000      0.178722    
  0.436487E-01   2.42002      0.778000      0.677470      0.327575      0.420905      0.450425      0.256565      0.748480      0.224196      0.195024      0.163118      0.103379      0.624354E-01   0.00000      0.163446    
  0.478598E-01   2.20279      0.764862      0.648317      0.301037      0.382900      0.463825      0.265417      0.683937      0.207517      0.178039      0.148481      0.935207E-01  0.560658E-01   0.00000      0.148795    
  0.524772E-01   1.99766      0.752299      0.620400      0.275577      0.346591      0.476722      0.273809      0.622168      0.191374      0.161711      0.134479      0.842028E-01  0.501018E-01   0.00000      0.134778    
  0.575400E-01   1.80563      0.740229      0.593723      0.251319      0.312194      0.488910      0.281529      0.563513      0.175837      0.146136      0.121196      0.754811E-01  0.445785E-01   0.00000      0.121480    
  0.630913E-01   1.62558      0.728471      0.568072      0.228195      0.279625      0.500277      0.288447      0.507820      0.160880      0.131296      0.108603      0.673151E-01  0.394595E-01   0.00000      0.108870    
  0.691782E-01   1.45660      0.716866      0.543255      0.206154      0.248816      0.510712      0.294439      0.454970      0.146482      0.117175      0.966781E-01  0.596716E-01  0.347143E-01   0.00000      0.969269E-01
  0.758523E-01   1.29842      0.705266      0.519132      0.185200      0.219790      0.520065      0.299342      0.404991      0.132656      0.103795      0.854312E-01  0.525443E-01  0.303332E-01   0.00000      0.856617E-01
  0.831703E-01   1.15202      0.693472      0.495597      0.165476      0.192792      0.527996      0.302804      0.358268      0.119488      0.912738E-01  0.749589E-01  0.459883E-01  0.263477E-01   0.00000      0.751707E-01
  0.911943E-01   1.01628      0.681296      0.472423      0.146905      0.167708      0.534391      0.304715      0.314613      0.106949      0.795768E-01  0.652200E-01  0.399558E-01  0.227183E-01   0.00000      0.654130E-01
  0.999925E-01  0.888375      0.668585      0.449312      0.129246      0.144168      0.539339      0.305144      0.273414      0.949199E-01  0.685620E-01  0.560774E-01  0.343263E-01  0.193546E-01   0.00000      0.562515E-01
  0.109639      0.771297      0.655137      0.426291      0.112810      0.122643      0.542327      0.303649      0.235453      0.835832E-01  0.584345E-01  0.477093E-01  0.292269E-01  0.163434E-01   0.00000      0.478647E-01
  0.120217      0.665692      0.640578      0.403138      0.977237E-01  0.103335      0.542854      0.299803      0.201059      0.730299E-01  0.492999E-01  0.401967E-01  0.246938E-01  0.137013E-01   0.00000      0.403340E-01
  0.131815      0.569379      0.624729      0.379636      0.837922E-01  0.859178E-01  0.540937      0.293718      0.169710      0.631669E-01  0.410276E-01  0.334162E-01  0.206253E-01  0.113540E-01   0.00000      0.335361E-01
