   100.000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   33.3181       3.02181       4.02240       3.01215       4.01920      0.966670E-02  0.320371E-02   7.03135       1.81876       1.81820       1.65634       1.19339      0.544834       0.00000       1.65616    
  0.109648E-03   32.5661       2.95319       3.93151       2.94292       3.92810      0.102712E-01  0.340985E-02   6.87102       1.77957       1.77897       1.61910       1.16335      0.530201       0.00000       1.61892    
  0.120226E-03   31.8238       2.88606       3.84250       2.87512       3.83887      0.109378E-01  0.363916E-02   6.71398       1.74116       1.74051       1.58259       1.13396      0.515942       0.00000       1.58241    
  0.131825E-03   31.0858       2.81956       3.75430       2.80793       3.75042      0.116329E-01  0.387923E-02   6.55835       1.70307       1.70237       1.54639       1.10486      0.501838       0.00000       1.54621    
  0.144543E-03   30.3541       2.75397       3.66724       2.74160       3.66311      0.123686E-01  0.413470E-02   6.40471       1.66544       1.66469       1.51064       1.07616      0.487957       0.00000       1.51046    
  0.158489E-03   29.6317       2.68967       3.58180       2.67650       3.57738      0.131664E-01  0.441404E-02   6.25389       1.62847       1.62767       1.47551       1.04803      0.474386       0.00000       1.47533    
  0.173779E-03   28.9141       2.62601       3.49716       2.61201       3.49245      0.139966E-01  0.470598E-02   6.10446       1.59184       1.59096       1.44070       1.02018      0.460969       0.00000       1.44052    
  0.190545E-03   28.2060       2.56361       3.41409       2.54872       3.40906      0.148925E-01  0.502364E-02   5.95778       1.55584       1.55490       1.40650      0.992881      0.447849       0.00000       1.40632    
  0.208928E-03   27.5059       2.50222       3.33227       2.48638       3.32691      0.158459E-01  0.536416E-02   5.81329       1.52035       1.51934       1.37279      0.966029      0.434965       0.00000       1.37260    
  0.229085E-03   26.8110       2.44150       3.25127       2.42466       3.24555      0.168369E-01  0.571964E-02   5.67022       1.48520       1.48411       1.33940      0.939466      0.422234       0.00000       1.33921    
  0.251186E-03   26.1292       2.38239       3.17227       2.36446       3.16616      0.179276E-01  0.611549E-02   5.53062       1.45086       1.44968       1.30678      0.913607      0.409873       0.00000       1.30660    
  0.275420E-03   25.4534       2.32400       3.09414       2.30493       3.08761      0.190662E-01  0.653112E-02   5.39254       1.41687       1.41561       1.27451      0.888058      0.397672       0.00000       1.27433    
  0.301992E-03   24.7855       2.26656       3.01719       2.24629       3.01022      0.202693E-01  0.697334E-02   5.25651       1.38337       1.38201       1.24270      0.862924      0.385688       0.00000       1.24252    
  0.331127E-03   24.1296       2.21053       2.94194       2.18895       2.93448      0.215752E-01  0.745874E-02   5.12344       1.35056       1.34910       1.21155      0.838393      0.374013       0.00000       1.21137    
  0.363073E-03   23.4796       2.15518       2.86752       2.13224       2.85956      0.229340E-01  0.796659E-02   4.99180       1.31809       1.31651       1.18073      0.814154      0.362489       0.00000       1.18055    
  0.398101E-03   22.8409       2.10113       2.79468       2.07673       2.78616      0.243973E-01  0.851924E-02   4.86289       1.28626       1.28456       1.15052      0.790472      0.351249       0.00000       1.15035    
  0.436509E-03   22.2118       2.04816       2.72314       2.02220       2.71403      0.259560E-01  0.911355E-02   4.73623       1.25495       1.25314       1.12082      0.767250      0.340242       0.00000       1.12065    
  0.478622E-03   21.5888       1.99588       2.65243       1.96831       2.64270      0.275758E-01  0.973458E-02   4.61100       1.22399       1.22204       1.09144      0.744318      0.329383       0.00000       1.09128    
  0.524798E-03   20.9805       1.94525       2.58368       1.91590       2.57326      0.293542E-01  0.104263E-01   4.48915       1.19382       1.19172       1.06283      0.722077      0.318871       0.00000       1.06267    
  0.575429E-03   20.3791       1.89538       2.51584       1.86416       2.50468      0.312126E-01  0.111544E-01   4.36884       1.16401       1.16176       1.03456      0.700150      0.308518       0.00000       1.03441    
  0.630945E-03   19.7864       1.84646       2.44912       1.81328       2.43719      0.331723E-01  0.119286E-01   4.25048       1.13466       1.13224       1.00674      0.678621      0.298364       0.00000       1.00658    
  0.691816E-03   19.2071       1.79899       2.38411       1.76369       2.37133      0.353002E-01  0.127809E-01   4.13502       1.10600       1.10340      0.979568      0.657686      0.288507       0.00000      0.979423    
  0.758561E-03   18.6341       1.75221       2.31991       1.71470       2.30624      0.375132E-01  0.136733E-01   4.02094       1.07767       1.07488      0.952711      0.637033      0.278790       0.00000      0.952573    
  0.831745E-03   18.0730       1.70673       2.25722       1.66684       2.24257      0.398904E-01  0.146437E-01   3.90941       1.04993       1.04694      0.926433      0.616903      0.269333       0.00000      0.926302    
  0.911989E-03   17.5223       1.66236       2.19581       1.61993       2.18012      0.424236E-01  0.156898E-01   3.80006       1.02271       1.01950      0.900648      0.597219      0.260098       0.00000      0.900526    
  0.999975E-03   16.9780       1.61868       2.13521       1.57362       2.11843      0.450546E-01  0.167834E-01   3.69205      0.995813      0.992372      0.875167      0.577810      0.251000       0.00000      0.875054    
  0.109645E-02   16.4488       1.57662       2.07646       1.52868       2.05846      0.479337E-01  0.180003E-01   3.58714      0.969647      0.965955      0.850391      0.559037      0.242217       0.00000      0.850287    
  0.120223E-02   15.9270       1.53534       2.01859       1.48440       1.99931      0.509441E-01  0.192837E-01   3.48371      0.943830      0.939874      0.825948      0.540566      0.233583       0.00000      0.825854    
  0.131822E-02   15.4138       1.49499       1.96178       1.44088       1.94114      0.541102E-01  0.206462E-01   3.38202      0.918427      0.914191      0.801901      0.522453      0.225126       0.00000      0.801818    
  0.144540E-02   14.9143       1.45611       1.90662       1.39856       1.88447      0.575460E-01  0.221490E-01   3.28303      0.893666      0.889126      0.778468      0.504896      0.216945       0.00000      0.778397    
  0.158485E-02   14.4212       1.41791       1.85222       1.35680       1.82849      0.611157E-01  0.237224E-01   3.18529      0.869200      0.864343      0.755319      0.487595      0.208891       0.00000      0.755259    
  0.173775E-02   13.9399       1.38097       1.79921       1.31603       1.77378      0.649373E-01  0.254300E-01   3.08981      0.845272      0.840073      0.732682      0.470760      0.201067       0.00000      0.732635    
  0.190540E-02   13.4690       1.34516       1.74744       1.27615       1.72016      0.690072E-01  0.272730E-01   2.99631      0.821816      0.816253      0.710497      0.454334      0.193446       0.00000      0.710464    
